 	il	ne	mange	plus	les	baguettes	de	man	ioc	à	cause	du	mal	des	dents	</S>
w	0.945501	0.0297332	0.00185794	0.00741559	0.00978992	0.000560939	0.000670594	0.000379284	0.000127278	0.000822138	0.00056713	0.000706389	0.000627448	0.00118402	2.43006e-05	3.23237e-05
a	0.880818	0.0356024	0.000621465	0.0261903	0.0420948	0.00102288	0.000648016	0.000222219	0.000298906	0.00160266	0.00103921	0.0015376	0.0034966	0.00390409	0.00088213	1.82829e-05
á	0.0448462	0.867258	0.0372555	0.0250327	0.00996095	0.00269345	0.00160759	0.000131797	0.000563817	0.00208226	0.00170211	0.00122072	0.00110642	0.00187527	0.0014832	0.00117947
b	0.0224625	0.452418	0.334304	0.0476908	0.0237904	0.0282816	0.00798946	0.00615733	0.00810201	0.0089284	0.00627279	0.00620855	0.00489861	0.0102286	0.00676274	0.0255037
h	0.0200597	0.0651318	0.269289	0.218659	0.138204	0.055395	0.0208678	0.029098	0.0377555	0.0177004	0.0223998	0.0164607	0.0125459	0.009703	0.00142243	0.0653093
i	0.00526957	0.0451739	0.662155	0.185362	0.0644852	0.021452	0.00275211	0.00199267	0.0012048	0.000975824	0.00101333	0.000950702	0.000830688	0.000366033	0.000285452	0.00573066
á	0.00265881	0.0540291	0.275663	0.215504	0.16681	0.0281308	0.0484019	0.0329869	0.0248164	0.0134942	0.0165049	0.0186908	0.0113122	0.00431591	0.00413844	0.0825422
a	0.0149459	0.0873688	0.0743541	0.203034	0.455134	0.0828133	0.0196219	0.00677686	0.00666934	0.00596169	0.00473103	0.00484909	0.00624067	0.00642996	0.0119663	0.00910345
m	0.00096163	0.0128731	0.0807629	0.114853	0.247507	0.440179	0.0142229	0.00833726	0.00320862	0.00251621	0.0052534	0.00512356	0.00594487	0.00212876	0.0344171	0.0217111
b	0.000810873	0.00411948	0.00174563	0.00908592	0.0965878	0.815429	0.0222853	0.00357902	0.00170032	0.00238362	0.00271385	0.00144888	0.0027924	0.0010758	0.02869	0.00555213
a	0.000269314	0.000560999	0.00130363	0.016224	0.193049	0.699978	0.0344146	0.0102245	0.00211674	0.00200087	0.0027508	0.00161908	0.00562034	0.000969067	0.0241155	0.00478402
n	0.000468999	0.00202556	0.00395372	0.0377394	0.18561	0.633261	0.0483875	0.020912	0.00334928	0.00283881	0.00824599	0.00651183	0.00828223	0.00177856	0.00454671	0.0320879
d	0.00481196	0.0142562	0.0110072	0.18422	0.310022	0.277784	0.0621886	0.00562521	0.0136076	0.020893	0.011665	0.00894997	0.0185025	0.00551363	0.0101795	0.0407728
a	0.0202959	0.0277064	0.03946	0.196021	0.187872	0.251479	0.0357476	0.018746	0.0153631	0.0144251	0.0175551	0.0192743	0.0203307	0.0042378	0.00384588	0.12764
o	0.00591708	0.0613704	0.012299	0.102557	0.136614	0.0823663	0.280405	0.0471436	0.0959118	0.0539843	0.0268175	0.0211423	0.0152989	0.0134308	0.0045683	0.0401742
d	0.000172597	0.00483563	0.0129778	0.0356266	0.0417866	0.614433	0.0765001	0.0765584	0.0219507	0.0259539	0.038395	0.0264241	0.00752695	0.0025959	0.00570424	0.0085584
z	0.000881694	0.00573077	0.0271096	0.0144271	0.0420459	0.186546	0.0917767	0.0314309	0.0786825	0.0801047	0.158781	0.114199	0.0620255	0.0191263	0.00663966	0.080493
á	0.00642418	0.0200151	0.0373374	0.0360759	0.0540382	0.607661	0.0813101	0.00933258	0.0150542	0.0235681	0.0482694	0.015778	0.0175649	0.00316854	0.00221515	0.022187
a	0.000246799	0.00307195	0.00298606	0.0186556	0.0373427	0.01948	0.104924	0.139022	0.186106	0.112557	0.087651	0.0943666	0.0529681	0.0345317	0.00310544	0.102985
k	0.000210177	0.00614927	0.0061499	0.00659635	0.00918778	0.0158691	0.0906334	0.0803769	0.174968	0.13953	0.123886	0.111567	0.0788155	0.0457312	0.0528976	0.0574324
a	6.93325e-05	0.000586407	0.00404443	0.0287644	0.0133094	0.022017	0.0196435	0.415571	0.0290056	0.0336201	0.104705	0.180015	0.0771744	0.0195086	0.00568028	0.0462857
á	8.97009e-05	0.000175354	0.000947556	0.00920799	0.00808687	0.0281667	0.0180221	0.44536	0.0277975	0.0220573	0.0872474	0.203001	0.0903357	0.015362	0.00457724	0.0395661
m	0.000280215	0.000911199	0.000743217	0.00171178	0.00480347	0.00289227	0.0249778	0.0239195	0.0618733	0.0906903	0.113775	0.139609	0.188812	0.180748	0.0355345	0.12872
ó	0.00120363	0.000890711	0.000239214	0.00188269	0.00503561	0.00999141	0.0280916	0.0193602	0.0254491	0.0414207	0.0774577	0.0640404	0.0752875	0.293355	0.164328	0.191967
n	0.000355103	0.00189073	0.000405112	0.00472546	0.00464642	0.0032122	0.0103491	0.00567555	0.00784243	0.021562	0.0139226	0.0281565	0.0672573	0.160999	0.656111	0.0128889
ω	5.00197e-05	0.000108294	3.91389e-05	0.000296578	0.000709395	0.00118316	0.00128873	0.000729446	0.00157314	0.00602736	0.00281677	0.00427302	0.0546821	0.0200777	0.898425	0.00772008
ω	9.23361e-05	0.000254109	9.19886e-05	0.00054989	0.00136977	0.00332961	0.0189112	0.00409908	0.016572	0.0428251	0.0238131	0.042584	0.111542	0.0953209	0.364879	0.273766
