 	c'	est	un	brave	homme	</S>
a	0.62361	0.274153	0.0545635	0.0444566	0.00316057	5.67239e-05
d	0.155816	0.39331	0.223866	0.218402	0.00742036	0.00118549
í	0.194129	0.279244	0.31201	0.188732	0.00508265	0.0208029
n	0.0495632	0.103211	0.282824	0.269623	0.0485474	0.246232
d	0.10264	0.089335	0.322543	0.20045	0.00824379	0.276788
z	0.0257924	0.0426522	0.281062	0.356804	0.00516695	0.288522
a	0.0190455	0.0305223	0.175265	0.524456	0.00739421	0.243317
n	0.0385498	0.0572845	0.151022	0.149836	0.0198344	0.583474
g	0.0504911	0.0539924	0.181342	0.549078	0.0427708	0.122325
á	0.0579105	0.0345945	0.157433	0.177384	0.0572386	0.515439
y	0.110882	0.131615	0.264062	0.132818	0.166531	0.194092
i	0.192836	0.123643	0.248522	0.238111	0.0750065	0.121882
b	0.0315142	0.0314212	0.122631	0.220928	0.117842	0.475664
a	0.0585122	0.125682	0.118793	0.0435543	0.558313	0.0951459
a	0.0158985	0.0485238	0.106366	0.0464542	0.44805	0.334707
</S>	0.0218528	0.0252093	0.0836096	0.0313865	0.0206777	0.817264
