 	il	a	mal	à	l'	anus	</S>
w	0.744134	0.0780485	0.0783015	0.0571008	0.0416281	0.000478342	0.000309099
a	0.76021	0.0439561	0.0418878	0.0996307	0.0528012	0.00131062	0.000203248
o	0.163351	0.363085	0.257012	0.0928906	0.103582	0.00566367	0.0144164
s	0.127638	0.342125	0.281209	0.124825	0.0535209	0.0477096	0.0229728
ó	0.00562973	0.120509	0.436753	0.133741	0.067545	0.0784851	0.157337
m	0.00223724	0.0363496	0.30077	0.143742	0.0828941	0.124723	0.309285
b	0.0145492	0.0955118	0.325834	0.281038	0.156814	0.0409572	0.085295
á	0.024966	0.0399516	0.0899515	0.179078	0.0484499	0.101125	0.516478
m	0.121332	0.0537236	0.133083	0.217231	0.411337	0.0312818	0.0320113
ó	0.0321417	0.0309075	0.0309202	0.18323	0.124091	0.128781	0.469929
o	0.0238299	0.0233062	0.0385166	0.119231	0.192096	0.538037	0.0649824
l	0.00010694	0.00117056	0.00902746	0.0176103	0.0346936	0.898922	0.0384688
a	0.000277714	0.0102267	0.0277978	0.0274266	0.0264191	0.802735	0.105117
n	0.000695013	0.012064	0.179955	0.0920937	0.232847	0.242308	0.240037
d	0.000811333	0.0119909	0.0795776	0.117621	0.140349	0.265532	0.384118
a	0.00215047	0.00500796	0.0207443	0.0318563	0.0584053	0.19166	0.690176
</S>	0.0051008	0.00892616	0.0272517	0.0486027	0.159079	0.0880551	0.662985
