 	l'	épouse	délaissée	se	ronge	d'	inquiétudes	</S>
m	0.931242	0.0539544	0.00360263	0.00621493	0.00032306	0.00423425	0.000294755	0.000133897
w	0.0472307	0.945001	0.00106885	0.00102854	0.000173952	0.00200667	0.000120258	0.0033702
á	0.00345787	0.995347	0.00109604	3.73383e-05	7.9523e-06	2.36816e-05	1.99586e-05	1.04306e-05
s	0.670853	0.307411	0.00639524	0.0076485	0.000294856	0.00243853	0.000209277	0.00474942
í	0.33026	0.426953	0.0139713	0.0140539	0.0394606	0.0212571	0.00480244	0.149242
y	0.822154	0.0228557	0.0115493	0.0381681	0.00866657	0.0486845	0.00212602	0.0457952
e	0.521733	0.114611	0.0925198	0.0298782	0.0964475	0.0777368	0.00766186	0.059412
t	0.52291	0.102908	0.161811	0.0248331	0.0469494	0.0494454	0.00204738	0.0890967
u	0.165863	0.0329657	0.732756	0.013536	0.0260275	0.00899037	0.0117065	0.00815473
b	0.0100322	0.0606455	0.918326	0.00281787	0.00376404	0.000949294	0.000668079	0.00279661
h	0.106913	0.0162828	0.805136	0.0355975	0.00568595	0.00511826	0.00154924	0.0237178
u	0.260287	0.0055152	0.616363	0.0533623	0.00371845	0.0199148	0.000832304	0.0400065
l	0.143122	0.00495033	0.369332	0.347924	0.0343769	0.053834	0.00294835	0.0435123
á	0.0929043	0.00210511	0.343008	0.214447	0.145698	0.0312008	0.00570594	0.164931
a	0.11823	0.00233278	0.0608846	0.484416	0.190677	0.0635768	0.0142777	0.0656057
t	0.0078272	0.00239516	0.014952	0.353807	0.560428	0.0235443	0.00917674	0.0278699
s	0.000459247	0.000955688	0.0992925	0.200063	0.642018	0.0107582	0.0147944	0.0316589
á	0.000324358	0.00109104	0.0826465	0.16042	0.703397	0.0234865	0.00767048	0.0209647
l	0.00251894	0.000797522	0.113103	0.343683	0.404086	0.0265897	0.0173647	0.091856
á	0.00187103	0.000307068	0.0143972	0.128357	0.711685	0.0486672	0.00606278	0.0886524
m	0.00825224	0.00364525	0.00680177	0.143377	0.448055	0.282099	0.0588295	0.0489406
o	0.00546137	0.150879	0.00796925	0.0596257	0.0731506	0.347999	0.211346	0.14357
m	0.000320817	0.00223197	0.00602914	0.0144692	0.0272672	0.48746	0.355122	0.1071
b	0.00261078	0.00769228	0.00292885	0.00662104	0.00983385	0.0748242	0.374646	0.520843
a	0.00387874	0.0119705	0.00179914	0.014021	0.0160555	0.0569442	0.76922	0.126111
r	0.000330598	0.000284076	0.0145108	0.0191406	0.0230483	0.113708	0.536593	0.292384
á	0.00475382	0.00365035	0.0160013	0.0107442	0.0610493	0.188294	0.221566	0.493941
a	0.00480228	0.000307096	0.00809622	0.0133586	0.0198223	0.232674	0.206127	0.514813
</S>	0.00312657	7.59328e-05	0.00370257	0.055228	0.0357935	0.282149	0.320599	0.299326
