 	il	est	venu	à	midi	</S>
w	0.63235	0.326022	0.0312631	0.00657515	0.00344946	0.000340237
a	0.629745	0.306005	0.0289381	0.0232868	0.0117693	0.000256297
á	0.105299	0.48932	0.34197	0.0450194	0.0028127	0.0155799
y	0.00875892	0.103842	0.813429	0.039277	0.00426552	0.030427
ε	0.00835183	0.0968655	0.767666	0.0274489	0.00488408	0.0947834
ε	0.0641301	0.165959	0.476996	0.146811	0.0236994	0.122405
l	0.024416	0.113241	0.216306	0.303524	0.11755	0.224963
a	0.106986	0.157789	0.262234	0.299086	0.0537622	0.120143
s	0.222661	0.156737	0.261997	0.155066	0.0846571	0.118882
w	0.0174573	0.0432684	0.0367147	0.187523	0.499808	0.215228
έ	0.00692233	0.0174952	0.00582158	0.0725056	0.721673	0.175582
b	0.0102144	0.0222226	0.00910586	0.180543	0.426781	0.351133
h	0.122399	0.129472	0.0621561	0.169542	0.37047	0.14596
έ	0.019149	0.0235752	0.0162468	0.167308	0.618398	0.155323
y	0.00566143	0.00680224	0.0193864	0.172189	0.16958	0.626381
á	0.0271132	0.0325017	0.0235531	0.228614	0.453812	0.234406
m	0.0981232	0.0536517	0.0416948	0.285636	0.378692	0.142202
w	0.0140486	0.0128377	0.00296593	0.0954334	0.605923	0.268791
é	0.03677	0.00904736	0.00206272	0.032992	0.848856	0.0702716
s	0.00103867	0.0012105	0.00107568	0.0358223	0.38761	0.573243
é	0.00329459	0.00560822	0.0048649	0.0845437	0.430243	0.471446
</S>	0.0107693	0.0154356	0.0130978	0.213688	0.277685	0.469323
