 	beaucoup	de	gens	trouvent	que	la	lecture	du	mbochi	est	difficile	</S>
b	0.32681	0.429731	0.12148	0.0642786	0.0180008	0.0313885	0.00262862	0.00448451	0.000599048	0.000272502	0.000229448	9.64166e-05
a	0.118592	0.448486	0.354137	0.0158506	0.0180238	0.0113198	0.00186219	0.00169001	0.0273044	0.00167979	0.000403146	0.000651327
r	0.0117577	0.116565	0.790655	0.0345521	0.0214903	0.00832115	0.00417451	0.00161128	0.00767672	0.000433243	0.000171597	0.00259073
e	0.394878	0.437906	0.0830932	0.0161197	0.0267249	0.0159912	0.00738308	0.00429215	0.00340304	0.00035209	0.000123084	0.00973421
a	0.383193	0.299174	0.13351	0.082825	0.0481549	0.0182658	0.00294578	0.00865837	0.00285881	0.00629136	0.000867118	0.0132559
y	0.193118	0.114265	0.0272961	0.16319	0.181949	0.145116	0.0827603	0.0449506	0.00532175	0.0147587	0.0101863	0.0170887
í	0.0874232	0.100461	0.0316257	0.381791	0.166264	0.0997609	0.0276925	0.021878	0.00674349	0.0138224	0.0018081	0.0607302
í	0.0634269	0.0282699	0.105893	0.333982	0.131734	0.0567453	0.0171376	0.0189847	0.0061666	0.0229765	0.0110128	0.203671
b	0.0229175	0.00971046	0.149164	0.366677	0.253337	0.133025	0.0292967	0.0119818	0.00314366	0.00572105	0.00128897	0.0137373
á	0.0163627	0.0285997	0.165961	0.126558	0.168128	0.215834	0.171995	0.0421092	0.0418348	0.00734409	0.00868718	0.00658589
a	0.0371537	0.00986559	0.428957	0.225297	0.0952319	0.0665172	0.0476521	0.00874638	0.0101554	0.00929954	0.0114949	0.0496287
t	0.00324501	0.00560465	0.0114019	0.0991716	0.219515	0.361869	0.237063	0.0248969	0.00577607	0.00676606	0.00315214	0.02154
á	0.00161847	0.00528741	0.00284518	0.0263863	0.0584547	0.22726	0.625357	0.038177	0.00228169	0.0019105	0.0043542	0.006068
á	0.00406333	0.00480811	0.0403984	0.205586	0.110349	0.126515	0.235047	0.0302254	0.00657948	0.0173001	0.0207072	0.198421
w	0.0144384	0.00759105	0.0729626	0.128081	0.215366	0.177399	0.170568	0.140012	0.0296105	0.0222308	0.00520555	0.0165358
á	0.00861054	0.0101255	0.0617577	0.0328412	0.108601	0.0727549	0.389997	0.18962	0.0490064	0.0192478	0.0125993	0.0448387
r	0.0414774	0.00943379	0.229332	0.0972098	0.110538	0.0611611	0.124835	0.0880658	0.0436747	0.0275171	0.0286028	0.138153
e	0.0432441	0.0284641	0.0288205	0.0342018	0.186867	0.159496	0.169486	0.137476	0.0783629	0.0323338	0.00617368	0.095074
i	0.00273513	0.00328623	0.0113605	0.0524735	0.183687	0.147987	0.0887499	0.265486	0.168127	0.0326821	0.00425791	0.039168
t	0.00486271	0.00260029	0.00117496	0.00418563	0.0161059	0.033028	0.437046	0.398281	0.0314896	0.030473	0.0240866	0.0166661
á	0.00141195	0.00257725	0.00282125	0.0093566	0.0223882	0.0410758	0.342107	0.442428	0.054835	0.0279283	0.0348904	0.0181801
n	0.00450733	0.00336441	0.0374279	0.0495734	0.0348352	0.0343068	0.396423	0.173368	0.0842918	0.0223013	0.0450147	0.114587
g	0.00314964	0.00402842	0.00541147	0.0109109	0.0473859	0.0609107	0.371293	0.307405	0.0571817	0.0214464	0.0115369	0.0993402
a	0.0121217	0.0170439	0.0295365	0.0139473	0.132493	0.067266	0.0651548	0.339327	0.301097	0.00494081	0.00160816	0.0154632
l	0.00304492	0.00204972	0.00356449	0.00626843	0.0315545	0.0258796	0.024753	0.339276	0.21836	0.221489	0.0299157	0.0938447
é	0.00720309	0.00335002	0.0033217	0.0189853	0.0324018	0.0249154	0.0457345	0.266127	0.11718	0.254007	0.0466227	0.180153
m	0.00237597	0.00107266	0.00293609	0.00617361	0.021286	0.0203759	0.0180304	0.174848	0.169631	0.34932	0.139314	0.0946368
b	0.00174051	0.00429672	0.00477223	0.00178759	0.00809573	0.00459118	0.000861723	0.0428873	0.573065	0.265794	0.0205449	0.0715624
ώ	4.86943e-05	0.000200513	0.000539313	6.09709e-05	0.00107799	0.00124978	0.00148354	0.0191532	0.934535	0.0194474	0.00415001	0.0180539
s	0.000100161	0.000401721	0.00039083	0.000195007	0.00428849	0.00796358	0.0281783	0.119646	0.723625	0.0322852	0.0412292	0.0416966
í	0.000172167	0.000333661	0.00014448	0.000156451	0.0011785	0.00207235	0.0165411	0.149867	0.240563	0.0813249	0.12258	0.385067
í	0.000472883	0.00022644	0.000652385	0.0010962	0.00553523	0.00464758	0.00276974	0.047217	0.0806035	0.392938	0.119016	0.344825
d	0.0031777	0.00164729	0.00230013	0.00668141	0.0194737	0.0165546	0.00918165	0.0479374	0.018317	0.494002	0.250963	0.129764
í	0.000892145	0.000651799	0.000529516	0.00276562	0.00290616	0.00173702	0.000596955	0.00400404	0.0107251	0.219941	0.0626796	0.692571
l	0.00135642	0.000440915	0.00170132	0.00239422	0.00473942	0.00286017	0.000740342	0.0128801	0.00675663	0.144183	0.460761	0.361187
a	0.000793453	0.000335825	0.00232474	0.00707565	0.00295614	0.00170826	0.00313713	0.00830408	0.00998648	0.167451	0.268857	0.527071
k	0.000500332	0.00076282	0.00186999	0.00399217	0.00766088	0.00462715	0.00309301	0.034719	0.0289173	0.0981984	0.611244	0.204415
