 	il	viendra	après	demain	</S>
w	0.954704	0.0309849	0.0125523	0.00142789	0.000330515
a	0.893339	0.040064	0.0631421	0.00330072	0.000153911
l	0.345009	0.438298	0.145675	0.0122019	0.0588163
á	0.131889	0.116534	0.263117	0.0245215	0.463939
a	0.458687	0.0923487	0.228817	0.0305209	0.189626
y	0.0157739	0.881212	0.0585602	0.0070001	0.0374539
a	0.0288177	0.788583	0.101085	0.0294434	0.0520708
á	0.174953	0.240055	0.392806	0.0348289	0.157356
n	0.0390877	0.235917	0.675316	0.0129744	0.036705
g	0.100324	0.00467526	0.84652	0.011127	0.037354
o	0.0219567	0.00301772	0.92823	0.027807	0.018989
l	0.00390105	0.00193527	0.281402	0.602873	0.109889
o	0.0208261	0.0174695	0.223311	0.260886	0.477508
y	0.00127704	0.00408098	0.284686	0.348463	0.361494
a	0.00788844	0.0119291	0.634268	0.175781	0.170134
i	0.00325357	0.00900068	0.250006	0.395808	0.341932
m	0.000743833	0.00807464	0.0942857	0.537775	0.359121
b	0.00121045	0.00223755	0.189643	0.322555	0.484354
y	6.97032e-05	0.00029463	0.0101477	0.874796	0.114692
é	0.00264005	0.00191355	0.0131199	0.824317	0.158009
n	0.00310322	0.0215583	0.0153653	0.530319	0.429654
g	0.00239741	0.00601614	0.0192127	0.600172	0.372202
í	0.000488585	0.000723194	0.0108315	0.612893	0.375063
</S>	0.00258639	0.001277	0.0375546	0.0469014	0.911681
