 	les	jeunes	déracinent	l'	arbre	qui	est	au	coeur	du	vil-	lage	</S>
a	0.717645	0.252114	0.00595543	0.00731711	0.0109526	0.00051373	0.00104038	0.00128386	0.000153889	0.000750921	0.00103367	0.00123498	4.49156e-06
p	0.129174	0.839193	0.00945883	0.00218036	0.000927281	0.000399418	0.000744394	0.00148331	0.00159777	0.00160439	0.0011065	0.0115732	0.000558408
f	0.0400915	0.789514	0.0655851	0.0358482	0.0105784	0.00206549	0.00555744	0.00575141	0.0236981	0.00333764	0.00235552	0.0126415	0.00297544
é	0.0853008	0.785955	0.0893235	0.021179	0.00559427	0.000764686	0.00279318	0.00169095	0.00263026	0.00146501	0.00135345	0.000866624	0.00108369
é	0.230992	0.653236	0.0317459	0.0107698	0.00972374	0.00235844	0.00505523	0.00650556	0.0063328	0.00523177	0.00687268	0.00642833	0.024748
b	0.414062	0.384552	0.0943188	0.0182239	0.00643277	0.0100748	0.0131694	0.0141592	0.00762368	0.00588143	0.00458531	0.000851479	0.0260649
á	0.209932	0.407627	0.142123	0.044141	0.0369475	0.00864769	0.028606	0.0210255	0.00359322	0.016396	0.0105931	0.000308406	0.0700599
a	0.481884	0.165976	0.135485	0.0578874	0.0283769	0.00851143	0.0215209	0.0226233	0.00932213	0.0158395	0.0127648	0.00962203	0.0301867
f	0.00966107	0.0301268	0.884244	0.0434736	0.0030063	0.00221066	0.00409092	0.0020317	0.00952422	0.00149838	0.000867834	0.00122592	0.00803889
u	0.00465512	0.0279355	0.856908	0.053121	0.0110565	0.00444477	0.00835725	0.00487329	0.0114595	0.00352491	0.00228289	0.000238853	0.0111426
n	0.0255911	0.0167553	0.803243	0.0746164	0.0072344	0.00274225	0.00470178	0.00434106	0.0270357	0.00638437	0.00423155	0.000744101	0.0223787
d	0.131422	0.0430987	0.456801	0.199063	0.0193833	0.0064256	0.0132722	0.0248799	0.0145425	0.0218439	0.0375545	0.000521447	0.0311919
á	0.0499045	0.0413695	0.442596	0.300743	0.0353325	0.0106748	0.0140517	0.0332786	0.00478114	0.0227028	0.0340021	0.000240762	0.0103227
i	0.0971427	0.0189403	0.274866	0.437884	0.0949002	0.0267826	0.0106504	0.0124853	0.00241739	0.00783366	0.0106436	0.00252657	0.00292679
b	0.00830286	0.0081231	0.387295	0.425756	0.0743709	0.0186489	0.0169388	0.0068158	0.0172124	0.00707926	0.00343336	0.00739361	0.0186304
