 	cet	enfant	pisse	au	lit	</S>
m	0.766831	0.230597	0.000836838	0.00129818	0.000325525	0.00011057
w	0.0392849	0.954667	0.00147004	0.000882401	0.000173246	0.00352206
á	0.0017091	0.998172	7.73776e-05	7.63075e-06	1.81171e-05	1.58915e-05
n	0.0460921	0.951216	0.000105467	0.000120816	0.000188692	0.00227695
a	0.117975	0.573529	0.0276145	0.00397824	0.00275649	0.274146
w	0.699376	0.105292	0.102518	0.0351679	0.00782607	0.049821
ó	0.355865	0.049753	0.234362	0.0828195	0.0345249	0.242675
l	0.184932	0.0417512	0.400028	0.0991657	0.00595216	0.268172
á	0.0241241	0.0173192	0.39345	0.0973932	0.0126654	0.455048
a	0.119742	0.0851524	0.329864	0.240246	0.044994	0.180002
s	0.000683455	0.00145415	0.956125	0.0339106	0.0025685	0.00525843
í	0.000267201	5.43519e-05	0.978214	0.0200085	0.000446474	0.00100936
n	0.00487032	0.0017978	0.811323	0.0921035	0.0038463	0.0860595
y	0.00339126	0.00123951	0.831106	0.129158	0.0222821	0.012823
á	0.0131249	0.00170904	0.682552	0.205726	0.0406203	0.0562677
m	0.0232204	0.00353286	0.0448131	0.592678	0.28624	0.0495153
ó	0.0152957	0.0379151	0.0169085	0.0861071	0.334032	0.509741
b	0.0113523	0.00447306	0.00232223	0.0270954	0.922722	0.0320349
é	0.000564139	0.000195553	0.000198052	0.00178728	0.990969	0.00628608
é	0.000256716	0.000434191	0.0262874	0.0172585	0.788496	0.167268
</S>	0.00213826	0.00025141	0.0303479	0.121783	0.226733	0.618747
