 	mon	épouse	m'	a	emballé	du	poisson	dans	la	grosse	feuille	sauvage	lendubhu	</S>
m	0.445804	0.517428	0.00944176	0.0101384	0.00683037	0.00210927	0.000984004	0.00310551	0.00211252	0.000203072	0.000738784	0.000392656	0.000305374	0.000406363
w	0.0138777	0.971367	0.013539	0.000793914	1.6461e-05	3.28328e-05	0.000154676	8.40313e-05	5.37326e-05	2.42077e-06	8.51459e-06	2.24796e-05	1.25722e-05	3.46742e-05
á	0.0262903	0.93931	0.0191202	0.00322892	0.00822883	0.000742125	0.00108123	0.000536563	0.000214728	8.28611e-05	1.52362e-05	2.21707e-05	0.00107934	4.73175e-05
s	0.482289	0.496728	0.0157056	0.000572774	8.31123e-05	2.49532e-05	0.000183597	0.000215582	0.000198346	8.84024e-05	6.34622e-05	7.75181e-05	0.000117902	0.00365152
í	0.305535	0.556862	0.102577	0.0137692	0.000639564	0.000398597	0.00271547	0.00257129	0.00202888	0.000275369	0.000105026	0.000151152	0.00587141	0.00649903
y	0.468979	0.221758	0.0826341	0.103149	0.0154207	0.00674241	0.00946909	0.024239	0.0200794	0.00571984	0.0124475	0.0133191	0.00148522	0.0145577
a	0.330916	0.177166	0.0974558	0.135981	0.04174	0.057852	0.059417	0.0318335	0.0188388	0.0075137	0.003733	0.00700643	0.0131981	0.0173484
n	0.829599	0.0340816	0.0997644	0.0202665	0.001782	0.00266821	0.00379467	0.00189072	0.00131952	0.000513105	0.000274335	0.000356413	0.000488293	0.00320142
g	0.92869	0.0228378	0.0409719	0.00255233	0.000803982	0.000545592	0.00116789	0.00069405	0.000502379	0.00012029	8.9805e-05	7.34588e-05	0.00039873	0.000551396
á	0.106405	0.311604	0.537354	0.0108355	0.00548926	0.00436012	0.00282904	0.001474	0.00242757	0.00102493	0.000251294	0.000238182	0.010917	0.00479042
á	0.0338543	0.0393751	0.272054	0.462097	0.0260808	0.0990695	0.0101233	0.00924195	0.0126556	0.00415925	0.0122147	0.00649313	0.000548729	0.0120324
k	0.000724078	0.000283575	0.013661	0.33466	0.61458	0.0288187	0.00277545	0.00169532	0.000643863	0.000289137	0.000308551	0.00021388	0.000153136	0.00119339
a	7.91132e-05	1.10342e-05	0.00122133	0.0329259	0.940771	0.019217	0.00188295	0.00133024	0.000536663	0.00030951	0.000333034	0.000272817	4.04303e-05	0.00106913
n	0.000182184	5.58606e-06	0.000131651	0.00347273	0.982658	0.0127037	0.000185671	0.000119015	0.000111302	0.000204484	5.99557e-05	2.96024e-05	5.99018e-06	0.000130396
g	0.00117345	7.454e-06	0.000539226	0.0171607	0.928544	0.041964	0.00312943	0.00218236	0.00157133	0.00123601	0.000688603	0.000286504	0.000111324	0.0014052
i	0.00381947	0.000363731	0.0296128	0.0505961	0.734595	0.0945995	0.0079263	0.00830386	0.0104499	0.0128185	0.00373511	0.00178424	0.00187107	0.0395244
n	0.00273255	0.0010959	0.172393	0.106455	0.0580306	0.491008	0.0584797	0.0434882	0.0225236	0.0082989	0.0153412	0.00695021	0.00087016	0.012334
g	0.0717678	0.00338409	0.168632	0.0395991	0.0859666	0.308424	0.105809	0.0650108	0.0482746	0.0129005	0.00698566	0.00642149	0.0403844	0.0364405
á	0.14655	0.017128	0.579356	0.017985	0.0183164	0.135479	0.0202854	0.00820143	0.0140308	0.00370197	0.00127921	0.00119128	0.0294246	0.00707066
a	0.000491226	0.00062287	0.00457057	0.00462249	0.00954887	0.479578	0.19325	0.119916	0.121055	0.0202707	0.0187966	0.0150803	0.00350606	0.00869118
s	0.000542091	9.45786e-05	0.00171101	0.00475022	0.013522	0.369918	0.334825	0.123616	0.0995152	0.0327231	0.00821349	0.00626509	0.00229253	0.0020115
w	0.00157446	3.42876e-05	0.000409533	0.00169734	0.00469218	0.10555	0.557559	0.202835	0.0785275	0.0158239	0.00817754	0.0101916	0.00516954	0.00775809
é	0.00179044	0.00019323	0.00185087	0.00114338	0.0025858	0.0438089	0.555783	0.255731	0.0725729	0.0249464	0.00493985	0.00628793	0.0225668	0.00580037
m	5.414e-05	1.47145e-05	0.000564611	0.00482525	0.00719524	0.0724125	0.263814	0.326182	0.168966	0.0689971	0.0399471	0.0260492	0.00159413	0.0193841
ó	0.000218646	1.55578e-05	7.28095e-05	0.000472138	0.000281056	0.0233395	0.432725	0.321278	0.0788322	0.00661401	0.0206054	0.0246032	0.00870364	0.0822384
l	0.00330649	0.000128552	0.00027288	0.00041331	0.00132742	0.0297292	0.0578384	0.0601765	0.178788	0.322172	0.124001	0.0806361	0.108327	0.0328835
e	0.000448949	2.41173e-05	0.000642087	0.00134509	0.00214908	0.0108118	0.0864299	0.117604	0.175238	0.118183	0.124445	0.14556	0.0678959	0.149222
