 	ici	on	se	lève	avec	le	jour	</S>
m	0.742278	0.225859	0.0151099	0.00262555	0.0049055	0.00840298	0.000749562	6.9618e-05
ó	0.101966	0.173824	0.26263	0.0920085	0.097772	0.0581685	0.00325888	0.210372
b	0.537528	0.240722	0.05409	0.0663035	0.0224121	0.0251524	0.0444256	0.00936651
h	0.163295	0.487575	0.17596	0.0616282	0.0299158	0.00937815	0.0655494	0.00669899
á	0.438064	0.282247	0.128168	0.0741888	0.0414246	0.0102889	0.00948449	0.0161347
b	0.170719	0.230505	0.422574	0.0657252	0.0266181	0.00966966	0.00304168	0.0711472
á	0.397187	0.326844	0.147868	0.0498068	0.0458472	0.0156685	0.00927235	0.0075062
a	0.243858	0.226474	0.276359	0.139139	0.0609663	0.0177246	0.0130184	0.0224604
t	0.0182359	0.0806759	0.419176	0.418604	0.0183617	0.00623202	0.00591509	0.0327992
s	0.00420233	0.0277098	0.253096	0.634311	0.0249029	0.00437113	0.018572	0.0328347
á	0.0182719	0.0669894	0.146475	0.660026	0.0453124	0.0100707	0.0415938	0.0112605
l	0.00393896	0.00894084	0.0583772	0.317277	0.0882836	0.0363307	0.0286539	0.458198
a	0.00617122	0.0108363	0.103804	0.489087	0.134981	0.0572222	0.0283698	0.169528
b	0.00865992	0.00882153	0.092726	0.0974148	0.325674	0.312236	0.0335359	0.120932
v	0.0548238	0.0330355	0.0880964	0.0838355	0.119391	0.070092	0.491507	0.0592191
ú	0.00855401	0.00661883	0.0371027	0.299299	0.213962	0.138379	0.254675	0.0414096
s	0.0029953	0.00220643	0.0138192	0.0932553	0.150242	0.25345	0.261479	0.222552
á	0.0113941	0.00686491	0.017282	0.163919	0.226521	0.221489	0.26563	0.0869008
</S>	0.00727369	0.00380161	0.0162867	0.0181506	0.0996908	0.309564	0.263056	0.282177
