 	sa	spécialité	c'	est	le	vol	</S>
e	0.916661	0.0246722	0.032114	0.00823934	0.0142546	0.00290624	0.00115209
s	0.100053	0.859619	0.0156601	0.00751208	0.00659347	0.0100935	0.000468168
á	0.0159949	0.972914	0.00496046	0.00135984	0.00050217	0.00319735	0.0010718
á	0.0123799	0.946696	0.0102415	0.00260031	0.000849307	0.00543212	0.0218012
y	0.1439	0.12052	0.621009	0.0712625	0.014068	0.0027982	0.026442
á	0.363198	0.0603895	0.223881	0.112161	0.0502536	0.0372865	0.152831
w	0.381557	0.0532818	0.13966	0.0957516	0.130961	0.129773	0.0690159
a	0.21976	0.00894073	0.31901	0.164592	0.136796	0.097534	0.0533673
é	0.0387123	0.026463	0.450652	0.175002	0.161934	0.0752751	0.0719618
d	0.0110349	0.00630447	0.147447	0.274936	0.451059	0.0876951	0.0215234
í	0.00130777	0.00360142	0.0169158	0.214654	0.16485	0.259565	0.339106
y	0.00159586	0.00353763	0.0524362	0.119445	0.118865	0.515221	0.1889
í	0.000722738	0.00452017	0.00586313	0.0209428	0.0198052	0.847039	0.101107
b	0.000987304	0.00114873	0.00221884	0.00678262	0.0222466	0.812825	0.153791
h	0.00615619	0.00316908	0.00911325	0.0388991	0.060542	0.798463	0.0836575
a	0.000949102	0.00382928	0.00464873	0.0212716	0.0202742	0.510934	0.438093
</S>	0.000489266	0.000401303	0.00338805	0.0148916	0.0417224	0.39099	0.548118
