 	je	me	suis	égratigné	au	bras	lorsque	j'	ai	heurté	le	mur	</S>
n	0.628217	0.136818	0.0683451	0.0745737	0.01583	0.0497888	0.00745899	0.00932491	0.00396705	0.00175554	0.00272956	0.000574832	0.000616988
g	0.810473	0.183016	0.00119864	5.25884e-05	0.000147863	6.06288e-05	0.000180832	0.00456462	0.000264334	1.03646e-05	2.84857e-05	1.34971e-06	8.49329e-07
á	0.210304	0.452182	0.141593	0.00382576	0.00442376	0.00228362	0.0126188	0.139779	0.0248951	0.00659832	0.00123313	0.000203015	6.03533e-05
e	0.0459254	0.291191	0.368613	0.0561683	0.0253214	0.0184422	0.00776881	0.0425639	0.0431114	0.011946	0.0220154	0.0109457	0.055987
b	0.0156741	0.0397704	0.55945	0.221477	0.0121996	0.00902823	0.00798043	0.00697028	0.0192591	0.0638937	0.00957975	0.0127424	0.0219744
ώ	0.00375596	0.0110265	0.231383	0.6787	0.012153	0.0219117	0.00367991	0.000615584	0.00470802	0.0124569	0.00295633	0.0124023	0.00425018
ω	0.00284481	0.031409	0.346423	0.438534	0.0421983	0.0451789	0.00612042	0.00419198	0.0122252	0.0344473	0.012452	0.00816329	0.0158127
é	0.00506377	0.0799693	0.212259	0.31521	0.223227	0.0873016	0.0300861	0.0143896	0.0125652	0.00374222	0.00855196	0.00189102	0.00574357
w	0.000502364	0.0131202	0.114904	0.39631	0.221073	0.0924915	0.0590177	0.0132848	0.02963	0.0221826	0.00729089	0.00398055	0.0262113
o	0.000213609	0.0121671	0.144142	0.381912	0.105132	0.134511	0.0939209	0.0166928	0.0373999	0.0268416	0.0132807	0.0127409	0.0210457
r	0.0006368	0.00605096	0.0704854	0.442785	0.225956	0.0911245	0.0661056	0.00603514	0.0105813	0.0084892	0.0083917	0.00676129	0.0565966
i	0.00668456	0.078288	0.142528	0.0999709	0.248705	0.101303	0.129493	0.0530428	0.0500041	0.0150109	0.0168161	0.00819649	0.049958
l	0.00377635	0.0447725	0.0360608	0.0395154	0.281459	0.169563	0.174407	0.17449	0.0573189	0.00367476	0.00853346	0.0017167	0.00471239
i	0.00397991	0.00445042	0.0237693	0.0500498	0.143176	0.118222	0.227988	0.0215613	0.0406933	0.0408087	0.0454461	0.0242093	0.255646
é	0.00186965	0.00565618	0.00939879	0.0394837	0.183456	0.233735	0.320326	0.0611527	0.0498715	0.0280636	0.0167034	0.0136057	0.0366773
n	0.000187912	0.00119967	0.0110745	0.0251875	0.0530297	0.109581	0.216592	0.0549234	0.178155	0.294181	0.0167614	0.0180655	0.0210613
ω	0.000332874	0.00528353	0.00624314	0.000636086	0.0211269	0.0186752	0.342848	0.30389	0.149094	0.104428	0.0161623	0.0057004	0.0255793
n	8.48473e-06	0.000541811	0.0118356	0.00494822	0.0377162	0.0903719	0.271455	0.155836	0.204504	0.169693	0.0362782	0.00463012	0.0121825
g	4.19767e-05	0.000924791	0.00542413	0.00161038	0.0445172	0.0337456	0.27037	0.146074	0.226381	0.136117	0.0550343	0.0104277	0.0693322
í	0.00016954	0.0029633	0.00416078	0.00108782	0.031128	0.0322838	0.349148	0.314917	0.10795	0.0247406	0.0311759	0.0164964	0.0837789
n	5.99236e-05	0.000668461	0.00402207	0.0028101	0.0233579	0.0219238	0.0788638	0.131098	0.382079	0.0919456	0.18057	0.0230963	0.0595054
g	0.00461108	0.0106524	0.00799788	0.000544591	0.0075311	0.0067429	0.0641603	0.517889	0.202611	0.0389952	0.0439241	0.018154	0.076187
á	0.00318355	0.00589484	0.00127566	9.43952e-05	0.00305411	0.00256355	0.0467293	0.762288	0.106864	0.0198559	0.0309456	0.00685723	0.0103939
m	0.000125288	0.000591276	0.00177783	0.00135929	0.0107655	0.0096735	0.03119	0.1297	0.410495	0.10257	0.255142	0.0300617	0.0165483
é	4.42943e-05	0.000939545	0.00334602	0.000616208	0.00847607	0.0039997	0.00300889	0.0120177	0.0978152	0.0598954	0.492408	0.0754556	0.241977
b	1.82196e-05	0.000395832	0.0013981	0.000690039	0.0104778	0.0122643	0.0122887	0.040032	0.093827	0.113172	0.335754	0.347723	0.0319602
a	4.58891e-05	0.000411696	0.00270032	0.00641048	0.00354537	0.0107856	0.00198941	0.00856529	0.0321557	0.0812497	0.0869119	0.726471	0.0387575
á	1.53501e-05	0.000157105	0.000359927	0.00139967	0.00190473	0.00507129	0.00753013	0.0183224	0.0376954	0.0619036	0.113196	0.660292	0.0921525
y	0.000831137	0.00259048	0.00347331	0.000847684	0.00725992	0.00324725	0.00469698	0.114951	0.150215	0.0430318	0.177815	0.131037	0.360004
á	0.000414305	0.00518263	0.0148632	0.00179722	0.0245797	0.00516939	0.0252563	0.108262	0.152175	0.0824877	0.217248	0.168773	0.19379
n	0.000739032	0.00257239	0.0041451	0.00134645	0.0201377	0.00665731	0.0253627	0.215346	0.0830833	0.0226166	0.259485	0.282631	0.075878
d	0.0131934	0.0245172	0.00305519	0.000213466	0.00526155	0.00225472	0.017184	0.404754	0.121293	0.0324285	0.164843	0.136174	0.0748283
é	0.00116217	0.00198805	0.00118038	0.000113495	0.00157822	0.00085153	0.00769392	0.106196	0.0333926	0.0421414	0.140591	0.213543	0.449568
e	1.04967e-05	4.83079e-05	0.000379478	0.000329441	0.00194304	0.00143689	0.00562129	0.00555607	0.0190665	0.0411022	0.141599	0.266767	0.51614
</S>	1.8899e-05	0.000116754	0.00081956	0.000638072	0.00368901	0.00223353	0.0041162	0.00299702	0.0168184	0.0369234	0.140726	0.134051	0.656852
