 	je	n'	aime	jamais	rater	la	messe	</S>
n	0.74157	0.112481	0.0063912	0.0560296	0.0535088	0.0272521	0.00157616	0.0011916
g	0.983051	0.00337128	0.000279242	0.00327847	0.00861295	0.00112319	0.000273228	1.03608e-05
á	0.946383	0.0361589	0.00380781	0.00310358	0.0082781	0.000668095	0.00154721	5.29787e-05
i	0.198255	0.492649	0.0415748	0.0300659	0.0394268	0.0553158	0.0486966	0.0940165
d	0.0488379	0.722799	0.145425	0.00655259	0.0131356	0.00561807	0.0188739	0.0387574
i	0.117493	0.587431	0.192606	0.00670225	0.0118068	0.00465053	0.0139049	0.0654054
í	0.00497832	0.236797	0.611096	0.0738771	0.00520439	0.00526287	0.00895286	0.0538317
p	0.0606804	0.241861	0.556822	0.086409	0.0156828	0.0096189	0.00719626	0.0217297
ó	0.00135561	0.157723	0.595091	0.101885	0.0145325	0.00644338	0.00632845	0.116642
s	0.000534716	0.135566	0.705679	0.0992415	0.0133912	0.0121379	0.0029548	0.0304947
á	0.000947893	0.0332914	0.535163	0.265266	0.0444672	0.0161065	0.0102596	0.0944991
o	0.0360858	0.0765615	0.23085	0.386872	0.0641098	0.0790539	0.0248039	0.101664
n	0.000840003	0.0747965	0.518447	0.206132	0.135731	0.0161165	0.040674	0.00726298
y	0.010355	0.0296918	0.121018	0.140722	0.397896	0.0178487	0.121305	0.161163
í	0.0348739	0.0214449	0.0504589	0.29015	0.509119	0.0167351	0.0377993	0.0394187
m	0.00146097	0.0142262	0.0432813	0.360878	0.428715	0.0648234	0.0259778	0.0606367
í	0.00532596	0.00748611	0.0318243	0.413909	0.190608	0.0994999	0.137998	0.113349
n	0.0023778	0.0124196	0.0290794	0.142676	0.283085	0.330148	0.0680923	0.132122
á	0.0234369	0.00348932	0.00485619	0.111535	0.583737	0.103782	0.0595339	0.109629
l	0.00621237	0.00363107	0.00845697	0.0720285	0.246403	0.434716	0.145532	0.0830191
e	0.0139236	0.0108804	0.028179	0.0634312	0.23356	0.170062	0.298493	0.181471
m	0.000343729	0.00321122	0.00746686	0.0844352	0.101665	0.244388	0.469967	0.0885222
έ	2.78208e-05	0.00239832	0.00492135	0.00634688	0.00940229	0.0530646	0.784848	0.138991
s	1.40918e-05	0.00268001	0.011464	0.0421175	0.0298335	0.272087	0.411799	0.230005
i	0.000165765	0.00261138	0.0155551	0.0252988	0.121903	0.109657	0.505151	0.219657
k	0.000470809	0.00138642	0.00327495	0.0206658	0.0718939	0.36791	0.142923	0.391474
a	0.000607749	0.00190928	0.0125203	0.0633816	0.2941	0.310569	0.0842312	0.23268
á	0.000361909	0.000842949	0.00530106	0.0116299	0.0551535	0.0762941	0.0881155	0.762301
</S>	0.00355191	0.00458444	0.00816608	0.00804527	0.0355446	0.125667	0.188774	0.625667
