 	l'	eau	en	question	est	salée	</S>
m	0.655292	0.244895	0.0842272	0.00808433	0.00685183	0.000303455	0.000346467
á	0.0311475	0.217259	0.0404314	0.695928	0.00793242	8.96375e-05	0.0072126
a	0.342381	0.561306	0.0329947	0.0618456	0.000686953	0.000445682	0.000340148
m	0.114834	0.406884	0.383084	0.0552536	0.0221475	0.00553723	0.0122605
á	0.0145091	0.353118	0.0252243	0.595859	0.000829766	0.000842558	0.00961749
a	0.199637	0.355241	0.264208	0.0727625	0.031199	0.00466775	0.0722852
m	0.034758	0.0809378	0.343839	0.176481	0.23406	0.0567779	0.0731458
έ	0.0248483	0.108619	0.0371349	0.784599	0.00272135	0.00209004	0.0399872
n	0.0624853	0.129987	0.247721	0.422032	0.0705699	0.0298605	0.0373437
έ	0.112512	0.0574029	0.341306	0.334689	0.06411	0.0192271	0.0707529
á	0.0369592	0.0273664	0.207992	0.0511694	0.580263	0.017666	0.0785843
d	0.0062765	0.00881954	0.119301	0.0986298	0.509462	0.156058	0.101454
í	0.00184844	0.00253441	0.032774	0.0575403	0.244738	0.0469641	0.613601
l	0.00458147	0.00229278	0.128114	0.0198988	0.325648	0.190323	0.329142
o	0.00596344	0.0103086	0.0273693	0.0165866	0.0467712	0.0746408	0.81836
k	0.0189633	0.0193399	0.0422021	0.0095596	0.0666662	0.662184	0.181084
w	0.00400655	0.0024783	0.0370453	0.00719789	0.0356412	0.854053	0.059578
á	0.00920808	0.00419959	0.0184817	0.0173519	0.0261851	0.857031	0.0675424
</S>	0.00354754	0.00280292	0.0191538	0.019066	0.0448681	0.14748	0.763082
