 	ma	mère	m'	a	acheté	du	pain	pour	que	je	prenne	avec	du	thé	</S>
n	0.778536	0.192692	0.0070856	0.00282741	0.00287101	0.00570162	0.00297684	0.00302623	0.0011896	0.00115375	0.00147909	0.000352396	8.723e-05	3.96752e-06	1.64045e-05
g	0.544898	0.444477	0.00875596	0.00117318	5.13937e-05	0.000206898	5.87819e-05	4.96728e-05	1.30044e-05	0.000284056	7.7768e-07	1.04477e-05	1.82456e-05	1.42133e-06	9.6622e-07
ó	0.167615	0.818824	0.0108638	0.000923154	0.000126956	0.000210481	0.000135032	9.24691e-05	3.20443e-05	0.000767669	1.05989e-05	1.71279e-05	2.23177e-05	0.000352733	5.99374e-06
o	0.0579409	0.918587	0.0143837	0.00373121	0.00239595	0.000424268	0.000120456	8.98347e-05	6.13849e-05	0.00155107	4.43828e-05	6.46226e-05	6.72254e-05	0.000418032	0.000119719
á	0.547539	0.074859	0.281614	0.0355792	0.0137892	0.00827859	0.0102226	0.00621569	0.00553346	0.00286948	0.00200793	0.00415954	0.00341865	0.00207199	0.00184115
s	0.310072	0.0475008	0.0485357	0.215589	0.287989	0.0124318	0.00727507	0.00537893	0.00303183	0.00356322	0.00111818	0.0106644	0.00955528	0.0105467	0.0267477
ó	0.122328	0.0095783	0.0138105	0.157991	0.438535	0.0125202	0.00642889	0.00307787	0.0017293	0.00692626	0.000254952	0.0088521	0.0111098	0.104915	0.101943
m	0.0368982	0.00257653	0.016187	0.127664	0.56677	0.0743606	0.0343069	0.0164826	0.00890828	0.00557882	0.000349393	0.0191794	0.0199892	0.0192513	0.0514981
b	0.0120512	0.000254777	0.0285247	0.24457	0.317213	0.142631	0.137429	0.0521623	0.0176093	0.00535154	0.000383666	0.0096951	0.0106284	0.0105695	0.0109261
i	0.0145989	0.000104219	0.0556446	0.139341	0.204087	0.116444	0.058974	0.132111	0.125905	0.0246766	0.01499	0.00981987	0.00226992	0.0047577	0.0962757
n	0.0097491	0.000318368	0.342776	0.22763	0.0426425	0.209826	0.0673462	0.0340723	0.0258876	0.0148917	0.00852983	0.00619897	0.00364002	0.000919175	0.0055729
g	0.12173	0.000659395	0.198011	0.221495	0.122248	0.128983	0.035894	0.032079	0.0159384	0.0611283	0.00227843	0.00586598	0.00863124	0.0256907	0.0193673
á	0.0205798	0.00315546	0.115127	0.0973589	0.166258	0.208118	0.0576237	0.0229285	0.00933299	0.160337	0.00434082	0.0050309	0.00671792	0.114362	0.00872792
m	0.000657527	1.37036e-05	0.0115802	0.0306914	0.049593	0.511532	0.210682	0.0983686	0.0490443	0.00672982	0.00860695	0.00900297	0.00775403	0.00121458	0.0045281
á	0.000591597	2.67794e-05	0.00444818	0.0303455	0.0324275	0.0923101	0.417379	0.283003	0.0478966	0.020429	0.001314	0.0150395	0.00508711	0.00564802	0.0440536
p	0.000426985	0.00013289	0.018587	0.0142325	0.00430763	0.150514	0.555252	0.119077	0.0401844	0.0190643	0.0493193	0.0121674	0.00281526	0.00728541	0.00663448
a	0.000173365	1.13143e-05	0.000207314	0.0026094	0.00436585	0.196973	0.559815	0.047788	0.0327266	0.00683818	0.108959	0.0202799	0.00230367	0.00271149	0.0142384
b	0.00121859	3.34545e-05	0.00138597	0.0047727	0.0108194	0.214612	0.400346	0.0762264	0.0783244	0.0235685	0.10193	0.0319584	0.00598129	0.00528879	0.0435339
a	0.00020386	6.06641e-07	4.72046e-05	0.000925717	0.00330563	0.107723	0.173926	0.110271	0.183106	0.025786	0.291524	0.0705018	0.00471994	0.00134616	0.0266134
á	0.00016449	2.13983e-06	0.000638349	0.00680191	0.00254018	0.0462522	0.0949994	0.134765	0.181204	0.173034	0.182716	0.0867409	0.0113555	0.00516344	0.0736218
l	0.000516414	2.56751e-05	0.00265447	0.0151399	0.00866999	0.0181514	0.0549317	0.103062	0.0962547	0.105845	0.0231899	0.296381	0.1634	0.0304051	0.081372
í	0.00084977	1.84387e-05	0.00113443	0.00952527	0.00354566	0.0112599	0.0439898	0.0440421	0.0406573	0.09009	0.0197095	0.308315	0.172675	0.0672852	0.186902
i	0.00103312	3.24431e-05	0.00451411	0.00590455	0.00137089	0.0130171	0.0372871	0.0607809	0.063775	0.180409	0.0931411	0.252061	0.173281	0.0746146	0.0387787
n	1.84313e-05	2.63877e-05	0.000414971	0.00375345	0.0139901	0.00919842	0.0273548	0.0250359	0.0116423	0.0294163	0.0405907	0.149025	0.101872	0.512566	0.0750955
