 	va	chercher	les	allumettes	</S>
d	0.939976	0.0505575	0.00812022	0.00128594	5.99305e-05
z	0.679558	0.288517	0.0146779	0.00281511	0.0144319
w	0.802047	0.194356	0.00299819	0.000111852	0.000486301
a	0.891227	0.0901074	0.00864182	0.000357326	0.00966649
á	0.230128	0.211542	0.0608982	0.00443703	0.492995
o	0.126965	0.586954	0.223523	0.00691697	0.0556402
y	0.0403839	0.66502	0.217644	0.065236	0.011716
é	0.0895772	0.770455	0.10488	0.0167083	0.0183789
n	0.0631066	0.548603	0.238752	0.0242445	0.125293
g	0.0199409	0.315249	0.541828	0.0556794	0.0673021
á	0.0622155	0.441033	0.268382	0.0814619	0.146907
a	0.0386459	0.228661	0.35667	0.313771	0.0622525
l	0.0171726	0.0908119	0.341831	0.500301	0.049884
i	0.0061432	0.0331173	0.135388	0.609002	0.216349
m	0.00342694	0.0267706	0.117077	0.385301	0.467424
έ	0.0178826	0.00663707	0.287397	0.164515	0.523569
t	0.00442814	0.0102554	0.154522	0.133805	0.696989
i	0.0115184	0.0177468	0.116624	0.528898	0.325213
</S>	0.00081721	0.00464434	0.0366364	0.164951	0.792951
