 	il	est	très	brouillon	</S>
w	0.918089	0.0478823	0.026345	0.00651943	0.00116454
a	0.933256	0.0190169	0.0411576	0.00549687	0.00107231
a	0.122502	0.643697	0.202384	0.00218356	0.0292344
p	0.0834008	0.442963	0.296426	0.0670671	0.110143
é	0.0115785	0.220078	0.0781574	0.352611	0.337575
n	0.016063	0.219282	0.294611	0.328709	0.141335
d	0.0627216	0.333492	0.351705	0.208432	0.0436502
í	0.109916	0.589411	0.211562	0.0769593	0.0121514
o	0.122324	0.023942	0.153628	0.58297	0.117136
t	0.00158727	0.0233104	0.0339506	0.908378	0.0327741
s	0.000596304	0.0139431	0.0450546	0.882676	0.05773
a	0.00228887	0.048737	0.1838	0.670503	0.0946718
</S>	0.00215212	0.0178184	0.146069	0.266927	0.567034
