 	les	chasseurs	ont	fait	une	battue	</S>
a	0.96986	0.0234534	0.00531362	0.000403194	0.000699617	0.000204028	6.58035e-05
b	0.0261179	0.967997	0.00327494	0.00176241	0.000533691	0.0002419	7.21126e-05
e	0.0186924	0.980243	0.000177288	0.000423482	8.73314e-05	0.000291909	8.42702e-05
n	0.0154679	0.962704	0.00152689	0.00431295	0.00139456	0.000853621	0.0137399
g	0.463672	0.467383	0.0287915	0.0158636	0.0032703	0.000969386	0.0200504
i	0.224802	0.730386	0.0138457	0.0095218	0.0045001	0.00177951	0.0151648
á	0.086944	0.0241004	0.825957	0.0387659	0.00803703	0.000504837	0.0156911
m	0.00566811	0.00741355	0.403993	0.465301	0.0820651	0.00752932	0.0280297
i	0.0280461	0.00445682	0.121129	0.407858	0.376948	0.0215741	0.039988
d	0.000414407	0.00249439	0.021465	0.881574	0.0749068	0.00927938	0.00986613
z	0.00135278	0.00174541	0.0162889	0.814258	0.117816	0.0134168	0.0351215
w	0.00758683	0.000394989	0.0790846	0.755038	0.118504	0.00583154	0.0335598
á	0.00311598	6.76193e-05	0.023055	0.445637	0.215949	0.0394174	0.272757
o	0.0042744	0.000320409	0.0176355	0.182799	0.375565	0.275227	0.144177
t	0.000707158	0.00610464	0.00293874	0.0858736	0.152228	0.694542	0.0576057
ú	0.000135574	0.00389472	0.00198029	0.0874068	0.053005	0.735615	0.117963
ú	0.000507684	0.000326843	0.00113313	0.103571	0.0867856	0.529659	0.278017
r	0.00148663	2.56082e-05	0.00271524	0.0601531	0.208048	0.425943	0.301629
á	0.00529862	0.000113175	0.0017543	0.0653734	0.237709	0.33718	0.352571
</S>	0.0110565	0.000189631	0.0143223	0.0421246	0.16149	0.393754	0.377063
