 	le	féticheur	a	induit	cette	femme	en	erreur	</S>
n	0.587747	0.404324	0.00345866	4.62108e-05	0.00394415	0.00019607	0.00023563	3.59757e-05	1.29674e-05
g	0.184512	0.810855	0.00155624	2.62294e-05	0.00301296	8.59119e-06	8.66588e-06	1.77677e-05	2.01654e-06
a	0.0261694	0.971462	0.00168691	0.000111334	0.000368129	0.000116924	9.71727e-06	7.354e-05	1.89557e-06
n	0.133288	0.838105	0.0138206	0.0034685	0.00611569	0.00204273	0.000229974	0.00199331	0.000936059
g	0.203788	0.71949	0.0541398	0.0011873	0.00756759	0.00270882	0.000994264	0.00243581	0.00768854
a	0.114781	0.44608	0.274653	0.0327275	0.040352	0.00820549	0.00637882	0.0189161	0.057907
á	0.0253772	0.00460588	0.867863	0.0494697	0.0154468	0.00387915	0.0114573	0.0031349	0.0187658
m	0.00356101	0.00151901	0.144641	0.777644	0.0359408	0.00529692	0.00545594	0.0174847	0.00845632
i	0.00165487	0.000470445	0.137132	0.781322	0.0332143	0.016737	0.0143904	0.00293077	0.0121475
d	0.00062753	0.000144969	0.0167088	0.957845	0.012434	0.00383439	0.00114579	0.00296241	0.0042969
z	0.000197424	1.21586e-05	0.00120449	0.990041	0.00472266	0.000771993	0.000243408	0.000948126	0.00185901
o	0.00438122	0.000181739	0.0101279	0.942768	0.0238849	0.0173224	0.000226462	0.000231997	0.000875216
s	0.00694797	0.000371746	0.0307746	0.418896	0.46535	0.0353684	0.0144964	0.0104418	0.0173531
á	0.0136148	0.000145904	0.0169773	0.57178	0.190007	0.00409922	0.0182864	0.0104544	0.174635
á	0.0120506	0.00208729	0.0384076	0.0333857	0.788364	0.0176859	0.0770218	0.0225027	0.00849411
o	0.00490572	0.001693	0.0288097	0.0407077	0.478206	0.0701099	0.171086	0.188061	0.0164207
y	0.00107223	0.000153831	0.00842623	0.124958	0.169328	0.0920483	0.128441	0.422828	0.0527437
ú	0.000445383	2.52677e-05	0.00311672	0.467552	0.129024	0.184812	0.0738364	0.125969	0.0152197
r	0.00327105	0.000152073	0.00511251	0.317125	0.389097	0.0635376	0.0841308	0.0455942	0.0919801
u	0.00791832	0.000363331	0.00659972	0.10003	0.40126	0.0356906	0.0979285	0.0405364	0.309674
w	0.00953707	0.000351518	0.0140785	0.00908654	0.223515	0.00583224	0.419029	0.141807	0.176763
ó	0.0273407	0.00347581	0.00870683	0.00333059	0.264686	0.00518046	0.341725	0.0620014	0.283553
</S>	0.000930708	7.01431e-05	0.00142365	0.0020929	0.0125043	0.00210908	0.187765	0.0472827	0.745822
