 	cette	maladie	a	rendu	ngakosso	muet	</S>
i	0.36253	0.525515	0.0871373	0.00580306	0.0174067	0.00136745	0.000240199
k	0.0311595	0.899153	0.0186553	0.021035	0.0233109	0.00558105	0.00110506
ω	0.00474067	0.781927	0.00337006	0.00858446	0.0991569	0.0962301	0.00599116
n	0.00512058	0.961262	0.00337209	0.00363867	0.0103728	0.0146801	0.0015536
í	0.109231	0.636588	0.0136377	0.0430369	0.0909563	0.0239072	0.0826429
d	0.482358	0.213211	0.217709	0.0329369	0.0100992	0.00492588	0.0387604
í	0.65548	0.0322496	0.112758	0.0423824	0.00895635	0.00253203	0.145641
í	0.384541	0.0536928	0.406002	0.0511043	0.0226881	0.0045897	0.0773816
m	0.0286006	0.0182363	0.515369	0.358241	0.0171076	0.0038543	0.058591
i	0.0411875	0.00384909	0.222729	0.429145	0.0993729	0.0330248	0.170692
í	0.00569755	0.00709133	0.0316252	0.842722	0.0503098	0.0334615	0.0290932
y	0.0104738	0.0125951	0.0563514	0.705461	0.0257821	0.0464401	0.142897
í	0.050987	0.0111133	0.118747	0.418583	0.208399	0.100525	0.0916458
á	0.0271358	0.00656527	0.0604528	0.23384	0.303692	0.0587693	0.309545
n	0.0219046	0.00447185	0.213641	0.395263	0.161163	0.0555898	0.147968
g	0.145377	0.0366013	0.119608	0.2701	0.166507	0.0325718	0.229235
a	0.0304766	0.044075	0.245687	0.164637	0.347078	0.0592552	0.108792
k	0.00464086	0.00373459	0.0501702	0.0846574	0.156952	0.0324026	0.667442
o	0.00107171	0.00797537	0.00529414	0.0212809	0.340154	0.526542	0.0976812
s	0.00055211	0.00504275	0.00411848	0.048271	0.280459	0.568143	0.0934132
o	0.0159523	0.0214354	0.00628744	0.0118017	0.39231	0.467266	0.0849475
e	0.00941197	0.0041187	0.0314147	0.0940268	0.0261355	0.0552663	0.779626
b	0.0095428	0.00863552	0.0587911	0.124888	0.0483753	0.116421	0.633346
v	0.00159344	0.0293481	0.052761	0.213328	0.103929	0.3303	0.26874
ú	0.00653589	0.00878436	0.0132427	0.12036	0.202642	0.398452	0.249983
b	0.00932837	0.00344045	0.00315875	0.0307054	0.303182	0.402463	0.247723
h	0.0069298	0.0088366	0.00809741	0.0198999	0.48471	0.293295	0.178231
ú	0.00465854	0.00794904	0.00207504	0.0211754	0.408252	0.417294	0.138597
</S>	0.00454097	0.00352077	0.00316798	0.0321987	0.194712	0.138493	0.623367
