 	la	hotte	en	question	est	cassé	prends-la	et	ramène-la	</S>
m	0.520295	0.281625	0.150831	0.00971222	0.00859234	0.00912159	0.0104382	0.00843617	0.000876938	7.11149e-05
ú	0.0845092	0.474947	0.103678	0.238937	0.0154419	0.00932959	0.000779503	0.00367121	0.0189464	0.0497603
a	0.0776486	0.81823	0.0230659	0.0597396	0.0037713	0.00524118	0.000119902	0.000523749	0.0101859	0.00147397
m	0.156053	0.131357	0.523815	0.0247135	0.0285771	0.013112	0.00828438	0.0136503	0.00229668	0.0981407
ú	0.103898	0.280882	0.300069	0.215321	0.0582576	0.00936328	0.000433772	0.000951604	0.0236622	0.00716247
a	0.097263	0.125828	0.128174	0.562765	0.0517352	0.00908855	0.000406657	0.00129928	0.0169476	0.00649181
m	0.0663408	0.013961	0.411739	0.116891	0.166232	0.0800959	0.0295851	0.0298129	0.00895471	0.0763871
έ	0.0259849	0.0545995	0.131852	0.55621	0.14857	0.0439972	0.000820524	0.000988938	0.0242033	0.0127729
n	0.038987	0.067695	0.141454	0.260096	0.273588	0.135743	0.01157	0.0145936	0.0292476	0.0270255
έ	0.0137753	0.0580633	0.114168	0.685164	0.065848	0.020099	0.000955359	0.00313928	0.00576077	0.0330271
ó	0.0137783	0.00608435	0.229131	0.229409	0.424249	0.0412996	0.00441367	0.00629612	0.00542916	0.0399101
m	0.0111046	0.00468278	0.00834234	0.10681	0.477458	0.320575	0.0642013	0.0023756	0.00193561	0.00251445
i	0.0110912	0.0214839	0.0111311	0.128305	0.277683	0.4837	0.0075018	0.00422051	0.0316546	0.0232295
b	0.00299073	0.0022921	0.00288139	0.0187973	0.139463	0.753188	0.0342063	0.00435968	0.00302584	0.0387952
v	0.00110695	0.0010625	0.000980339	0.00194474	0.0404104	0.855894	0.0623256	0.0138507	0.00796568	0.0144595
ú	0.000651952	0.000787369	0.00121987	0.00278901	0.0444086	0.86627	0.0589436	0.0173547	0.00447893	0.00309614
n	0.00295089	0.000805895	0.0041487	0.00918666	0.0453104	0.713061	0.167742	0.0271197	0.00958569	0.0200891
y	0.00281065	0.00144074	0.00325888	0.0184968	0.0301674	0.862869	0.0544834	0.0156873	0.00269125	0.00809469
a	0.00190201	0.00171464	0.00326532	0.0236778	0.0311074	0.788009	0.08774	0.025148	0.0139414	0.0234946
a	0.00627535	0.00138553	0.027171	0.0380836	0.153027	0.141185	0.328918	0.223392	0.0593006	0.0212633
k	0.00902309	0.0033232	0.00924632	0.0100677	0.0516106	0.0511222	0.45827	0.178283	0.177242	0.0518126
o	0.000553631	0.000201688	0.000604846	5.51767e-05	0.00225146	0.0163426	0.758108	0.163549	0.0191547	0.0391788
b	0.00089211	0.000709104	0.000975676	0.000459949	0.0131264	0.169743	0.651916	0.1125	0.00804275	0.0416345
h	0.00375576	0.00052146	0.00101836	0.00062743	0.0101667	0.0428444	0.339283	0.20043	0.01046	0.390894
á	0.0120281	0.00259829	0.0126158	0.00115466	0.0139349	0.169034	0.222035	0.213797	0.0451211	0.307681
m	0.0134428	0.00136853	0.0139574	0.00510394	0.0102853	0.0122671	0.0505047	0.259336	0.419805	0.21393
ú	0.000622073	0.00284946	0.00237743	0.00107379	0.000590614	0.000670716	0.000274765	0.0157846	0.915061	0.0606958
a	0.000957471	0.017276	0.00133607	0.00612739	0.00460485	0.0190926	0.00698161	0.112371	0.733052	0.0982002
ó	0.00110715	0.000108882	0.00327032	0.000404091	0.00316091	0.0020922	0.0254457	0.367751	0.0537106	0.542949
b	0.013997	0.00903886	0.0469171	0.0116754	0.159183	0.0880032	0.0838658	0.277705	0.135223	0.174392
v	0.00125273	0.00160563	0.00581474	0.000889401	0.0210828	0.0454744	0.152408	0.474394	0.131837	0.165241
ú	0.00374443	0.000647779	0.00192445	0.000481562	0.00314001	0.0175703	0.143688	0.304272	0.412818	0.111714
r	0.0034939	0.00230043	0.00215666	0.00170235	0.00836777	0.02954	0.0570163	0.208884	0.242894	0.443645
a	0.0134295	0.00428217	0.00326129	0.00787285	0.0117924	0.061671	0.0345273	0.158937	0.416167	0.28806
l	0.00156475	0.00023684	0.00333057	0.000521781	0.00211969	0.00184836	0.0197803	0.132411	0.0431829	0.795004
a	0.00691916	0.00325731	0.00432752	0.00203278	0.00939517	0.00963048	0.0114865	0.0813402	0.0659917	0.805619
m	0.000900426	0.000487407	0.0054513	0.000882198	0.00349082	0.00309295	0.0103677	0.157829	0.20891	0.608588
ú	0.000486078	0.00706577	0.00662514	0.00822456	0.0059526	0.00580913	0.000429756	0.0271712	0.809589	0.128647
a	0.000344806	0.00294803	0.00133095	0.00271221	0.00494316	0.018769	0.00686562	0.204909	0.381507	0.37567
</S>	0.00599491	0.000569541	0.0108307	0.00135155	0.00731183	0.00464654	0.015729	0.198471	0.0388264	0.716268
