 	ils	vont	débattre	sur	cette	question	après	demain	</S>
b	0.660096	0.245439	0.019754	0.0271908	0.0213563	0.00133286	0.0222137	0.00250437	0.000112587
á	0.972791	0.0198916	0.00452319	0.000576713	0.000367903	0.00051934	0.0010147	0.000241684	7.36446e-05
a	0.961791	0.0371296	0.000404174	0.000204883	0.000142298	0.000129556	5.63397e-05	1.70903e-05	0.000124792
b	0.509657	0.427159	0.0172729	0.0054196	0.00282191	0.00536862	0.00614174	0.000344853	0.0258148
á	0.66253	0.281813	0.0215198	0.0143153	0.00437216	0.00167512	0.000907179	0.000123539	0.0127438
a	0.581844	0.313372	0.0451361	0.00634829	0.00606401	0.00524784	0.0114229	0.00503484	0.0255292
f	0.162737	0.455881	0.295824	0.0250651	0.0106919	0.0128646	0.0126667	0.00148773	0.0227816
ú	0.0636195	0.247903	0.608632	0.0312059	0.0142545	0.00450678	0.00218638	0.00326007	0.0244319
r	0.0347802	0.274327	0.476559	0.040363	0.0243835	0.0263345	0.00579726	0.0317105	0.0857447
á	0.0548816	0.588827	0.251303	0.0336614	0.0248909	0.0181062	0.0064744	0.00588984	0.0159657
í	0.00794383	0.133678	0.578956	0.207563	0.0349969	0.00504274	0.00221882	0.000847043	0.0287537
b	0.0163675	0.0366353	0.105612	0.53019	0.149826	0.076327	0.0648188	0.00392705	0.0162963
h	0.0340387	0.0242419	0.359826	0.365544	0.170572	0.023312	0.0048035	0.0018107	0.0158503
ώ	0.00914236	0.0966336	0.55293	0.18656	0.093532	0.0111208	0.00632977	0.00168564	0.0420661
ω	0.000401016	0.0196257	0.2189	0.441235	0.246573	0.0257183	0.0089254	0.00373061	0.0348907
d	0.0010604	0.00964553	0.086595	0.322619	0.397046	0.135058	0.0190011	0.00543777	0.0235373
í	0.000159789	0.00461861	0.0131897	0.347686	0.286166	0.18258	0.012612	0.0312881	0.1217
i	0.000447786	0.0034859	0.0103804	0.162421	0.386951	0.273293	0.0296781	0.018715	0.114628
n	0.00238094	0.00870831	0.0503572	0.0939358	0.359786	0.307907	0.081065	0.0274707	0.068389
g	0.00140408	0.00774065	0.00323171	0.0384438	0.173942	0.279374	0.341857	0.0685769	0.0854295
o	0.000394997	0.00069853	0.000761913	0.0113859	0.0861209	0.0538633	0.725134	0.112581	0.00905996
l	6.72587e-05	0.000506052	0.000930371	0.0133514	0.0530371	0.0296541	0.392927	0.472187	0.0373401
o	0.000514081	0.00375513	0.0105775	0.038184	0.164702	0.234941	0.131874	0.162661	0.252792
y	0.000193994	0.00280453	0.00307313	0.0331532	0.136745	0.233764	0.308881	0.0589798	0.222405
á	0.00129988	0.0283666	0.0158722	0.0926057	0.135783	0.221916	0.209143	0.226778	0.068235
i	0.00123646	0.00980014	0.0124978	0.0583081	0.143273	0.0886237	0.487279	0.1444	0.0545828
m	0.00119889	0.00329138	0.020387	0.00858143	0.0183001	0.0328235	0.109906	0.686838	0.118674
b	0.000124128	0.00571097	0.0111299	0.0575976	0.0689646	0.205749	0.0289847	0.430697	0.191042
y	0.000321764	0.00273097	0.00389872	0.00889069	0.0165561	0.0341884	0.0101111	0.719881	0.203422
é	4.24275e-05	0.000616976	0.00211572	0.00371764	0.0136423	0.0173421	0.00784622	0.632784	0.321892
n	0.000330889	0.00474335	0.00482881	0.0117254	0.0456317	0.0782908	0.0202755	0.415456	0.418718
g	0.000186313	0.00141032	0.000773204	0.00265236	0.0129661	0.028622	0.0444041	0.643508	0.265478
í	1.27181e-05	0.000427271	0.000228852	0.0005662	0.00583819	0.0118467	0.021627	0.695635	0.263818
</S>	5.46705e-05	0.00227901	0.00251803	0.00603864	0.0152258	0.0640746	0.103276	0.158152	0.648381
