 	l'	étoile	polaire	apparait	le	matin	</S>
o	0.901289	0.0964134	0.000757109	0.000581821	0.000827741	9.21132e-05	3.89376e-05
k	0.0158535	0.977695	0.0041336	0.00141518	0.000307325	0.000346866	0.000248964
u	0.0401332	0.92461	0.00884204	0.00727522	0.000766473	0.0168959	0.00147677
m	0.0134843	0.933058	0.0284823	0.0184719	0.00249032	0.00113679	0.00287662
a	0.858335	0.127744	0.00796801	0.00107751	0.00298153	6.51947e-05	0.00182882
m	0.447389	0.200363	0.230675	0.0336398	0.0230664	0.00094897	0.0639187
b	0.353399	0.156555	0.336582	0.0508635	0.0509023	0.00309552	0.0486033
o	0.0249132	0.0743222	0.88654	0.00767446	0.00311605	0.000115168	0.00331872
i	0.067464	0.222027	0.631127	0.0410168	0.00398322	0.00174328	0.0326388
o	0.143952	0.0485965	0.465876	0.181453	0.0814993	0.0052322	0.0733918
m	0.00452297	0.0117367	0.136081	0.826535	0.0125505	0.00459528	0.00397828
ó	0.0283113	0.018172	0.280524	0.149074	0.258431	0.00652017	0.258968
o	0.00450747	0.0126727	0.451455	0.417546	0.0622218	0.000779176	0.0508174
p	0.0013655	0.00277826	0.222194	0.698866	0.0364678	0.00229804	0.0360307
f	0.00117271	0.00299526	0.0231295	0.917186	0.0215452	0.00895835	0.0250131
ú	0.000624239	0.00432246	0.0493302	0.858733	0.0520181	0.0057939	0.029178
á	0.0214389	0.0028115	0.0492327	0.5727	0.292938	0.0323093	0.0285694
l	0.000743791	0.000708263	0.00416028	0.128455	0.661146	0.0766993	0.128087
o	0.000756932	0.000654129	0.00619171	0.0673138	0.310858	0.359279	0.254947
y	0.000631547	0.000106634	0.000930733	0.0183336	0.0675701	0.793981	0.118446
ó	0.00138178	0.000808557	0.00134377	0.00978441	0.051543	0.855154	0.0799843
l	0.000111488	8.80969e-05	0.00140193	0.00464985	0.0252752	0.727895	0.240579
o	0.000200238	0.00072294	0.0109938	0.0407436	0.0602691	0.547343	0.339728
</S>	0.000329672	0.000162907	0.00360394	0.0267027	0.063185	0.340228	0.565788
