 	cette	manière	de	dire	au-revoir	est	celle	de	quelqu'	un	qui	ne	veut	pas	parler	</S>
e	0.0520045	0.196218	0.0623063	0.0855227	0.0694744	0.0430752	0.0192133	0.103834	0.0970994	0.041722	0.0341978	0.0709896	0.0131104	0.0274011	0.00710018	0.0767304
l	0.000133213	0.00015104	0.000698835	0.0265558	0.105478	0.0146733	0.0117751	0.00488239	0.0137057	0.0303136	0.0108536	0.0480814	0.697999	0.00617977	0.0215209	0.00699798
a	8.10512e-05	0.00166512	0.000886574	0.00612779	0.0364303	0.00322661	0.00451236	0.00264019	0.0119642	0.0282638	0.0173693	0.0413448	0.600696	0.0131025	0.129483	0.102206
a	0.000269268	0.000698984	0.00421848	0.0478293	0.0877641	0.0101879	0.0132055	0.00605041	0.042313	0.105682	0.0528836	0.0922375	0.449209	0.0212453	0.0214087	0.0447975
n	0.00789667	0.00416688	0.0216217	0.0220901	0.0141808	0.0326626	0.0755356	0.0801343	0.0802972	0.100228	0.17137	0.239346	0.046523	0.0509435	0.0091072	0.0438971
í	0.00348425	0.000933284	0.00400482	0.0113181	0.057915	0.065356	0.0513022	0.0357519	0.0258245	0.0481032	0.116689	0.131737	0.114922	0.0645561	0.0583277	0.209775
l	0.117258	0.0521671	0.114611	0.0232292	0.0131227	0.0353537	0.0464677	0.0948401	0.101485	0.109812	0.0859119	0.0668165	0.0281642	0.0589046	0.0230084	0.0288484
í	0.0397802	0.00352164	0.137205	0.070134	0.0640959	0.0320128	0.04433	0.0195325	0.0184515	0.0179879	0.0284152	0.0472587	0.0744536	0.0394234	0.0497851	0.313613
y	0.0366819	0.0133043	0.126478	0.065502	0.0299713	0.0390371	0.100873	0.0661102	0.10704	0.0987845	0.0699054	0.0665143	0.0299732	0.0700044	0.0182029	0.0616168
í	0.0115399	0.00446548	0.0362225	0.0335335	0.289224	0.0776058	0.22442	0.0514008	0.030447	0.0366197	0.0259979	0.0277211	0.0653661	0.0113021	0.0164997	0.0576344
i	0.0112303	0.00205191	0.0336007	0.0327916	0.0831274	0.067783	0.160354	0.101113	0.0875779	0.0921664	0.0656901	0.0636367	0.0506208	0.0348873	0.013738	0.0996316
y	0.000238611	0.000310625	0.0137996	0.0235762	0.0248192	0.0823181	0.0948504	0.0579022	0.102616	0.0839002	0.0671706	0.1398	0.187674	0.0310244	0.0222345	0.0677645
á	0.00191417	0.00173484	0.0190427	0.0223235	0.100302	0.123128	0.123367	0.0929916	0.06347	0.0879735	0.0485535	0.058751	0.198693	0.0178423	0.0182948	0.0216185
m	0.00263421	0.000147875	0.00407761	0.00375172	0.00979333	0.0548297	0.119863	0.131202	0.163087	0.147783	0.087175	0.0927404	0.0908058	0.0204898	0.0168852	0.0547335
o	0.000136944	2.07864e-05	0.0012706	0.00419684	0.00364238	0.0490882	0.132048	0.0626629	0.107658	0.138415	0.193316	0.156559	0.10546	0.0183732	0.0144684	0.0126825
r	0.000861978	0.000253296	0.00214071	0.00546408	0.00380134	0.0214597	0.030193	0.0410034	0.188088	0.239717	0.074104	0.0765477	0.133847	0.0597039	0.0951504	0.0276649
o	0.00214509	0.00140565	0.00397038	0.00224883	0.00610837	0.0348992	0.0230865	0.10107	0.134584	0.24276	0.122106	0.0702638	0.139638	0.030359	0.0565851	0.02877
