 	ton	enfant	est	d'	un	suivisme	exagéré	</S>
m	0.686136	0.232127	0.0246617	0.0149568	0.0402783	0.00125916	0.000134741	0.000446213
w	0.00786739	0.98887	0.00178131	0.000408612	0.000322429	2.56134e-05	1.20317e-05	0.000712707
á	0.00987651	0.987723	0.00182928	0.000322006	0.000200006	2.57943e-05	1.88156e-06	2.10506e-05
n	0.264219	0.679	0.0136994	0.00698494	0.00417855	0.00056812	0.000645	0.0307047
a	0.310246	0.541289	0.0317806	0.028927	0.0123115	0.0123928	0.00200008	0.0610531
y	0.891765	0.0421243	0.0231571	0.0161524	0.0198166	0.00216013	0.00198814	0.00283654
a	0.431563	0.105932	0.152189	0.0348871	0.0260329	0.224896	0.00960443	0.0148957
n	0.551664	0.178394	0.0937289	0.0351495	0.0564118	0.0617855	0.0064316	0.0164348
ω	0.909346	0.0452113	0.00511874	0.00809168	0.010853	0.00487851	0.00967472	0.00682599
w	0.0198712	0.0261297	0.390464	0.219966	0.144987	0.129581	0.0282987	0.0407021
ó	0.197721	0.0503457	0.199084	0.197428	0.189177	0.0853678	0.00941133	0.0714659
a	0.0248104	0.00938079	0.195939	0.22374	0.28424	0.224427	0.00812235	0.02934
p	0.00186472	0.000464753	0.131751	0.368446	0.17724	0.198287	0.0438923	0.0780536
é	0.000403142	9.5173e-05	0.0682377	0.244711	0.121657	0.456947	0.0726411	0.0353072
n	0.00424266	0.000425855	0.0497818	0.199309	0.163874	0.35948	0.152337	0.070549
d	0.00343154	0.000512302	0.0538417	0.276618	0.32376	0.249089	0.0699152	0.0228326
í	0.0142738	0.00206032	0.0412521	0.0927095	0.215837	0.585341	0.0389956	0.00952986
o	0.0246647	0.00974998	0.112276	0.162317	0.509859	0.0830278	0.0380588	0.0600459
l	0.00140816	0.000889138	0.0214199	0.0751676	0.0640614	0.144115	0.641274	0.0516647
ω	0.000118415	1.22715e-05	0.00256348	0.0196399	0.0167852	0.0479027	0.847203	0.0657748
n	0.000716066	0.000137179	0.0143267	0.023303	0.0364959	0.102374	0.70052	0.122127
d	0.00142551	0.00027095	0.0103902	0.0296709	0.0278498	0.0580607	0.74346	0.128872
í	0.00395299	0.00157214	0.0290854	0.0587534	0.0719336	0.105505	0.498866	0.230332
</S>	0.00892255	0.000790913	0.0223919	0.0524896	0.150084	0.0174243	0.0578963	0.69
