 	cette	termitière	a	de	gros	trous	d'	aération	</S>
o	0.682108	0.168317	0.0297278	0.0154927	0.025441	0.0514988	0.0178146	0.00833013	0.00126941
s	0.0374063	0.938969	0.00871924	0.00344292	0.00246774	0.00213343	0.00317791	0.00215275	0.00153087
é	0.00765373	0.985555	0.000648001	0.00450051	0.000429644	0.000341171	0.000133508	0.000296885	0.000441387
m	0.0335423	0.909384	0.00299266	0.0196602	0.0107347	0.0019896	0.0015698	0.000413804	0.019713
b	0.337002	0.581894	0.0277211	0.0164906	0.0118826	0.00791621	0.00345211	0.00437911	0.00926193
á	0.198838	0.09594	0.11069	0.125744	0.209834	0.0806385	0.0237388	0.00465776	0.149919
m	0.466422	0.148349	0.259652	0.0553929	0.0217737	0.0158703	0.0154127	0.00140914	0.0157177
ú	0.797389	0.0335415	0.052424	0.0317331	0.0348599	0.0219849	0.0116017	0.000387393	0.0160787
ó	0.0920808	0.0606914	0.442895	0.238793	0.0673594	0.0434105	0.031608	0.000919537	0.0222422
d	0.280916	0.0136503	0.254594	0.262879	0.0530164	0.0523215	0.0344937	0.0108207	0.0373082
í	0.047136	0.0652826	0.0503086	0.242814	0.131674	0.03139	0.0210311	0.000156366	0.410208
a	0.12373	0.00712978	0.0668003	0.20785	0.158895	0.12638	0.0991306	0.0230712	0.187013
p	0.0256447	0.00796975	0.0490473	0.181234	0.232323	0.182272	0.140062	0.0909511	0.0904967
ó	0.00107688	0.00100408	0.0174781	0.172215	0.0309236	0.0856722	0.0735186	0.560909	0.0572025
p	0.00316495	0.000444882	0.0478739	0.134807	0.0412657	0.0760035	0.113098	0.498368	0.084974
o	0.00413184	0.000142657	0.0110226	0.0199053	0.00966018	0.0124624	0.0370559	0.888359	0.01726
r	0.00917116	0.000340236	0.0290538	0.0712692	0.134555	0.107773	0.184031	0.286444	0.177363
o	0.0125721	0.00304628	0.0293538	0.108371	0.249093	0.107529	0.164791	0.0524754	0.272768
a	0.028521	0.000342708	0.022952	0.0327709	0.256575	0.0878864	0.222261	0.0103093	0.338382
n	0.0197123	0.00489151	0.0549187	0.0839364	0.150825	0.130463	0.243666	0.0501649	0.261422
έ	0.0547668	0.00793437	0.0209112	0.0322475	0.268389	0.0295579	0.0925996	0.00264882	0.490945
a	0.00194086	0.000349207	0.0188696	0.03633	0.202771	0.0615401	0.194659	0.00256095	0.480979
n	0.0331688	0.0119613	0.050949	0.112555	0.127419	0.0966417	0.286713	0.0436395	0.236953
έ	0.0526985	0.0107752	0.0173589	0.0406286	0.249432	0.0317999	0.0907131	0.00364238	0.502951
</S>	0.00210788	0.000211335	0.00457403	0.0167098	0.150093	0.056323	0.277175	0.00267284	0.490134
