 	cette	chenille	s'	est	engraissée	</S>
o	0.516722	0.439789	0.0345125	0.00584935	0.00159727	0.00152995
b	0.0800892	0.882	0.0229684	0.00741577	0.00618887	0.00133796
v	0.0152845	0.971407	0.00437141	0.00121458	0.00646211	0.0012607
u	0.00761045	0.956549	0.0109198	0.0085977	0.0140181	0.00230494
r	0.299683	0.669146	0.014962	0.00194819	0.0039674	0.0102925
a	0.654492	0.290724	0.00992734	0.00269511	0.0085776	0.0335842
m	0.188615	0.180652	0.502169	0.100701	0.0103004	0.0175625
ú	0.413686	0.0927523	0.354493	0.0778415	0.00674446	0.0544826
ó	0.250197	0.0212035	0.446924	0.23184	0.00764702	0.0421879
b	0.0192971	0.00861324	0.283383	0.477698	0.164112	0.046897
h	0.0156669	0.0518948	0.18966	0.378438	0.157608	0.206732
í	0.00773099	0.0541494	0.0783567	0.288431	0.336869	0.234462
l	0.0455472	0.0066426	0.173611	0.262322	0.0818617	0.430015
a	0.0164693	0.0038723	0.0919842	0.162011	0.270782	0.454881
p	0.0423431	0.010115	0.088796	0.0534773	0.505297	0.299972
ó	0.0372328	0.034749	0.144359	0.117973	0.322243	0.343443
n	0.00642355	0.0132711	0.0955837	0.0912729	0.394883	0.398566
g	0.00780057	0.0480546	0.0207641	0.0226939	0.613926	0.286761
i	0.0188089	0.0974012	0.0219122	0.00443094	0.61908	0.238367
</S>	0.00824785	0.00882166	0.0536624	0.057693	0.10391	0.767665
