 	l'	enfant	bave	</S>
m	0.906389	0.093254	0.0003346	2.22577e-05
w	0.104177	0.885759	0.00214628	0.00791732
á	0.382657	0.602664	0.0141877	0.000491856
n	0.516844	0.28989	0.00454429	0.188722
a	0.346931	0.204715	0.0390859	0.409269
i	0.851752	0.103202	0.0152269	0.0298192
l	0.245883	0.168325	0.337891	0.247901
ώ	0.0360745	0.0282607	0.386426	0.549239
n	0.0152048	0.0400253	0.730554	0.214216
g	0.0326288	0.0282844	0.780707	0.15838
í	0.0919063	0.0775075	0.610129	0.220457
l	0.0508444	0.0205977	0.474057	0.4545
í	0.00720694	0.00412624	0.681794	0.306872
i	0.0129325	0.00851465	0.636029	0.342524
t	0.00587439	0.0145697	0.73464	0.244916
a	0.00155203	0.000508736	0.927171	0.0707684
n	0.00612966	0.000980695	0.489741	0.503148
g	0.00452282	0.00203872	0.408402	0.585037
a	0.0410328	0.00871239	0.450764	0.49949
</S>	0.0535669	0.0116213	0.105843	0.828969
