 	l'	homme	tirait	calmement	des	bouffées	de	sa	pipe	</S>
i	0.839069	0.153036	0.000520587	0.00026832	0.000675867	0.00381777	0.000943161	0.000762241	0.000810803	9.61816e-05
b	0.290299	0.694938	0.0105145	0.00279523	0.000527035	0.000150066	0.000274816	0.000205294	9.36469e-05	0.000201734
a	0.0491512	0.94098	0.000758127	0.000387042	0.000227867	0.00100394	0.000909374	0.000419116	0.00581866	0.000344924
a	0.175286	0.679622	0.00783207	0.00831055	0.00569197	0.0154163	0.0142843	0.00505736	0.0118619	0.0766378
á	0.708072	0.0561213	0.170535	0.0334566	0.00899446	0.000830284	0.00482479	0.00278103	0.000316931	0.0140677
d	0.0410719	0.00399481	0.476322	0.395989	0.0529839	0.00607024	0.011953	0.00420886	0.00112155	0.00628474
z	0.00223672	0.00842497	0.731022	0.209729	0.024926	0.0006779	0.00123744	0.000563553	0.000111699	0.0210708
a	0.0303828	0.00209728	0.829226	0.107489	0.0235008	0.000482728	0.00150665	0.00106942	0.000129313	0.00411543
l	0.00812758	0.000978285	0.286715	0.413591	0.10773	0.0190148	0.0203255	0.0222182	0.00454677	0.116753
á	0.00246278	0.00144327	0.155364	0.43659	0.0987776	0.0208857	0.035451	0.0233667	0.00887724	0.216782
a	0.0319413	0.00564624	0.182047	0.207084	0.157356	0.144293	0.0800257	0.0393027	0.0430107	0.109293
n	0.00216243	0.00479097	0.0803856	0.488261	0.15727	0.122316	0.102816	0.0135252	0.00987459	0.0185977
y	0.00791856	0.00329751	0.123833	0.266005	0.147199	0.281973	0.0670821	0.00753642	0.0156626	0.0794934
w	0.0264646	0.00316056	0.227593	0.217946	0.165707	0.2335	0.0604189	0.0109003	0.0105311	0.043779
á	0.0107604	0.00359834	0.114689	0.305899	0.238625	0.10325	0.0795314	0.0209681	0.00950727	0.11317
m	0.0040808	0.000170236	0.00753448	0.0770558	0.191521	0.192064	0.216562	0.0985407	0.0547124	0.157758
b	0.00201615	0.00028745	0.000962009	0.00556599	0.0427353	0.0947553	0.220288	0.253082	0.171657	0.208652
έ	0.00468006	0.000270419	0.000484707	0.0055785	0.0225855	0.110905	0.259148	0.146719	0.323313	0.126316
ε	0.000192539	1.95212e-05	0.000513843	0.0149369	0.0180212	0.0666739	0.202893	0.171731	0.331178	0.193841
y	0.000260713	2.89601e-05	0.000323293	0.0046336	0.0100502	0.0213727	0.143545	0.254462	0.250448	0.314876
á	0.0245568	0.00112849	0.0175677	0.0507697	0.052492	0.0262777	0.111343	0.445217	0.168006	0.102641
w	0.0302598	0.000655503	0.0057888	0.00394298	0.0141788	0.0214209	0.0466735	0.357694	0.476002	0.0433834
a	0.00369086	0.000363742	0.00176294	0.0129523	0.023428	0.0344915	0.118597	0.435882	0.332524	0.0363075
ó	0.000830917	3.54328e-05	0.00051238	0.00138906	0.00234363	0.00585642	0.024789	0.227036	0.401541	0.335666
t	0.00546375	0.0018691	0.0457544	0.0784233	0.0924042	0.0158959	0.142613	0.408607	0.129335	0.0796337
s	0.0015473	0.000172236	0.0030853	0.0826779	0.0471188	0.0243943	0.218867	0.274793	0.187479	0.159865
ω	0.00143316	0.000148673	0.000436984	0.0156407	0.0150228	0.0497588	0.118292	0.222404	0.483412	0.0934516
p	0.00466811	8.99283e-05	0.00105	0.00538336	0.00774505	0.0188766	0.0424425	0.0945701	0.118198	0.706976
í	0.00260108	9.65573e-05	0.000851399	0.0148787	0.0109816	0.0163045	0.113808	0.268461	0.213913	0.358104
</S>	0.000623987	6.87666e-05	0.00040402	0.00223875	0.00273849	0.00738875	0.0186904	0.0572036	0.169747	0.740896
