 	tu	veux	bien	que	je	sorte	</S>
n	0.771117	0.0884482	0.070458	0.032524	0.0314604	0.00486357	0.00112898
ω	0.933336	0.00756825	0.00186919	0.00871065	0.0420724	0.00616047	0.000283198
o	0.376714	0.249707	0.0101123	0.100649	0.0803688	0.10538	0.0770695
d	0.0298497	0.520532	0.178845	0.115133	0.0110069	0.0477767	0.0968559
í	0.00332253	0.144213	0.0269624	0.0493614	0.009275	0.0165167	0.750349
l	0.00325927	0.107917	0.141822	0.123836	0.0158322	0.013324	0.59401
a	0.0665054	0.19599	0.0915717	0.14996	0.181263	0.0671249	0.247585
p	0.0633792	0.247947	0.0525868	0.179591	0.130899	0.13742	0.188177
ó	0.00311242	0.471682	0.0809865	0.165726	0.0145542	0.126662	0.137277
s	0.0110596	0.625962	0.0872414	0.161566	0.0238372	0.0298544	0.06048
á	0.0139208	0.235113	0.167727	0.328166	0.0210339	0.108382	0.125657
k	0.045166	0.054418	0.22588	0.242965	0.29585	0.0869333	0.0487871
á	0.00986386	0.0996009	0.0998163	0.21431	0.0542431	0.430737	0.0914288
a	0.00926821	0.046599	0.0716237	0.150911	0.271142	0.25932	0.191135
n	0.00280363	0.00861502	0.0436615	0.116729	0.366933	0.269505	0.191752
g	0.0204727	0.00247982	0.00405406	0.0696029	0.518591	0.271025	0.113774
á	0.00448283	0.00119709	0.0029912	0.0742547	0.6561	0.201737	0.0592366
í	0.00471676	0.0115878	0.0412338	0.145695	0.108901	0.377336	0.310531
p	0.00439046	0.0896688	0.0980779	0.103685	0.0758579	0.522835	0.105485
f	0.000907516	0.104119	0.0453873	0.148328	0.0558771	0.372202	0.273179
ú	0.00224041	0.043225	0.0647241	0.234574	0.0604057	0.266683	0.328148
a	0.00842282	0.0139907	0.0323602	0.201004	0.0285018	0.1105	0.60522
</S>	0.00371533	0.0140456	0.0710676	0.108694	0.1704	0.241575	0.390502
