 	la	lune	apparaît	à	l'	horizon	</S>
s	0.811996	0.152635	0.0168577	0.0123145	0.00449753	0.00115171	0.000548229
w	0.163823	0.83172	0.000597919	0.00122275	0.00150362	8.89028e-05	0.00104337
é	0.0125126	0.986926	0.000381639	9.27577e-05	4.74438e-05	8.79294e-06	3.07203e-05
n	0.335093	0.252848	0.122144	0.0394573	0.0319009	0.0229654	0.195592
g	0.122713	0.72002	0.004485	0.00677625	0.00393699	0.000555479	0.141513
é	0.418678	0.521465	0.0159454	0.00960496	0.00611171	0.000331842	0.0278638
a	0.242785	0.0760823	0.481727	0.0906215	0.0387517	0.00902563	0.0610064
p	0.0690144	0.0110368	0.730049	0.0968437	0.0414698	0.00832659	0.0432597
f	0.00476666	0.00139262	0.705286	0.210468	0.0311215	0.0127748	0.034191
ú	0.0164786	0.0026375	0.693212	0.224129	0.0408355	0.00477409	0.0179335
ú	0.0205897	0.0100037	0.546285	0.27346	0.0633402	0.0309538	0.0553673
m	0.0114679	0.00267661	0.0889358	0.512428	0.309372	0.0249596	0.0501603
ó	0.0288966	0.0163841	0.00892971	0.127642	0.33246	0.0185621	0.467126
i	0.0431082	0.00452596	0.0255228	0.220764	0.292164	0.362459	0.0514566
k	0.00273144	0.000457954	0.0171677	0.101467	0.109767	0.715833	0.0525763
o	0.000323731	1.65611e-05	0.0320173	0.0349762	0.0159021	0.908855	0.00790889
ó	0.000172649	3.79625e-05	0.0706772	0.0713139	0.0256498	0.792138	0.0400102
</S>	0.0101718	0.00131735	0.00856919	0.1612	0.38051	0.0865153	0.351716
