 	elle	veut	des	boucles	d'	oreille	</S>
w	0.987047	0.00141001	0.00491002	0.00449239	0.00183426	0.000278706	2.79696e-05
a	0.867443	0.00251764	0.0859955	0.0154604	0.0274887	0.000484642	0.000610102
a	0.653071	0.142443	0.0891202	0.0284712	0.0435098	0.0105883	0.0327971
d	0.15881	0.508835	0.104377	0.020293	0.0289002	0.019548	0.159238
í	0.157499	0.435376	0.0605471	0.0307366	0.00415691	0.0118994	0.299784
l	0.0216098	0.651603	0.0624813	0.0115899	0.00734205	0.0110445	0.23433
a	0.185246	0.3828	0.158903	0.0733765	0.0358861	0.0146046	0.149184
p	0.0571017	0.745712	0.0730054	0.0618231	0.00979063	0.00788393	0.0446832
ó	0.0140652	0.866422	0.0510578	0.0249085	0.00301441	0.0130111	0.0275211
s	0.00198964	0.921634	0.0452778	0.0023544	0.00347889	0.00226345	0.0230017
á	0.00113129	0.837944	0.0824729	0.0267854	0.00615354	0.00945045	0.0360621
m	0.0281941	0.0610919	0.267789	0.290786	0.170134	0.0806897	0.101315
y	0.00330651	0.00126012	0.142579	0.710969	0.0663541	0.0281727	0.0473588
e	0.000116517	0.00411651	0.0199065	0.837985	0.00656971	0.110684	0.0206218
r	0.0017565	0.0111109	0.0737357	0.8222	0.0207306	0.0487153	0.0217514
é	0.00115109	0.00292309	0.082578	0.832343	0.0189758	0.0226035	0.0394252
m	0.00379998	0.0103309	0.173344	0.132017	0.367228	0.0702941	0.242986
á	0.0039277	0.00203161	0.11869	0.162349	0.22883	0.204117	0.280055
t	0.00662782	0.0108987	0.0627702	0.117973	0.160686	0.594611	0.0464326
ú	0.00121422	0.00764982	0.0143702	0.0229329	0.0285969	0.86034	0.0648963
e	0.000360567	0.00820713	0.0150091	0.0267308	0.0705254	0.625045	0.254122
</S>	0.000599346	0.00345289	0.021496	0.0069479	0.171115	0.173545	0.622844
