 	la	bonne	qualité	de	sa	marchandise	a	causé	la	mévente	de	la	mienne	</S>
o	0.524169	0.441508	0.0167517	0.00467676	0.00362822	0.00335661	0.00301473	0.000112333	0.000163271	0.000446682	0.000194754	0.00193074	2.81839e-05	1.89258e-05
b	0.0839908	0.600656	0.223337	0.030309	0.0240164	0.00684308	0.00188311	0.00151063	0.0031407	0.00319607	0.00989585	0.00384565	0.00241676	0.00495903
v	0.0698758	0.405409	0.335181	0.0729162	0.0442239	0.0400644	0.0037742	0.0041838	0.00508732	0.00267558	0.00518206	0.00446603	0.00617646	0.000783915
έ	0.0244638	0.563544	0.371932	0.0203842	0.0053347	0.0038697	0.00312781	0.000866705	0.000605045	0.00279049	0.00069667	0.00198085	0.000239945	0.000164269
b	0.295956	0.0720078	0.0651952	0.0935469	0.0805986	0.0208674	0.0346676	0.0191399	0.0114863	0.00856075	0.0312823	0.0056022	0.00162987	0.259459
á	0.0649986	0.0318475	0.394333	0.0935616	0.0966818	0.0179834	0.0320251	0.0566243	0.0443355	0.0190586	0.0389807	0.0373061	0.0284155	0.0438481
b	0.088578	0.0168569	0.0658496	0.132377	0.116352	0.109252	0.119821	0.0994297	0.0228087	0.0176363	0.0167537	0.0234787	0.0147027	0.156104
e	0.05295	0.0312253	0.377819	0.116205	0.07539	0.0405259	0.0563698	0.062241	0.0270832	0.0166723	0.0640276	0.0380698	0.013435	0.0279859
a	0.0583425	0.0160355	0.141046	0.170485	0.143614	0.0600285	0.124285	0.1256	0.0213522	0.0255903	0.0206732	0.0314753	0.0259807	0.0354919
b	0.0111387	0.00708806	0.0791178	0.248035	0.214923	0.137049	0.0689677	0.10268	0.0321568	0.0120363	0.0226526	0.0047742	0.00166183	0.0577191
á	0.00805099	0.0124373	0.293473	0.232716	0.20911	0.0803447	0.0611936	0.0520266	0.0188038	0.00384639	0.0189305	0.00358863	0.000889946	0.00458867
w	0.0122494	0.00330463	0.0364688	0.112701	0.15736	0.0796883	0.17483	0.256781	0.0484992	0.0110825	0.022253	0.014936	0.00871285	0.0611325
a	0.0105633	0.00359	0.0945005	0.159206	0.194842	0.101212	0.0755179	0.16393	0.0604535	0.0140904	0.0385158	0.0417199	0.00996864	0.0318891
í	0.00202778	0.00138447	0.019097	0.0766408	0.150209	0.209746	0.208445	0.152293	0.072554	0.0120949	0.0220199	0.0189161	0.00760976	0.0469618
t	0.00159231	0.00453098	0.0270466	0.0551637	0.0824315	0.104581	0.0452592	0.411099	0.193919	0.0108146	0.0409783	0.00393862	0.00169804	0.0169473
ú	0.000112959	0.000326558	0.0227051	0.0346457	0.0605669	0.0142567	0.0130708	0.644283	0.170895	0.00366069	0.0229098	0.00225972	0.00102433	0.00928283
n	0.00142918	0.00224713	0.0387971	0.0831217	0.115808	0.0326857	0.0369037	0.314655	0.229754	0.00733372	0.0508778	0.0126899	0.00147318	0.0722246
g	0.00120804	0.0015099	0.0138418	0.0724651	0.12898	0.0919692	0.129848	0.29297	0.16893	0.046151	0.0217724	0.0116781	0.00238965	0.0162871
u	0.00877237	0.00437424	0.00771618	0.053746	0.134348	0.210337	0.079423	0.109261	0.252763	0.079016	0.0330473	0.0182171	0.00290045	0.00607977
s	0.000816535	0.000236052	0.000887437	0.0193313	0.0989581	0.175696	0.123373	0.0484998	0.298415	0.0765959	0.108552	0.0360348	0.0057632	0.0068411
u	0.00167209	0.000119326	0.000165811	0.0113278	0.0779198	0.13532	0.00760375	0.0111577	0.391228	0.245874	0.0744816	0.0348549	0.00276856	0.00550633
b	0.000715596	5.97841e-05	9.42796e-05	0.0106385	0.0508522	0.120208	0.0710144	0.005441	0.276847	0.237398	0.120442	0.0936133	0.00300069	0.00967478
á	0.00218513	0.00111199	0.00342225	0.0111043	0.0258648	0.0145098	0.0672618	0.185103	0.220103	0.15487	0.177801	0.11259	0.0140938	0.00997979
n	0.00135073	0.000386269	0.0016318	0.00662809	0.0180278	0.0269171	0.0846955	0.15085	0.125435	0.0871685	0.211934	0.195081	0.0513967	0.0384981
g	0.000230626	5.85841e-05	0.000125766	0.00197023	0.0103021	0.00882269	0.00162657	0.00584469	0.127465	0.432291	0.23116	0.0642613	0.0574526	0.0583879
á	0.000198379	6.8327e-05	3.34847e-05	0.000851775	0.0110617	0.0680947	0.00760739	0.00228077	0.065871	0.527762	0.0832691	0.0487154	0.170677	0.0135082
</S>	0.000666645	0.000337233	0.000646007	0.0041139	0.0113975	0.00968082	0.0342898	0.010013	0.0470102	0.0433889	0.246889	0.446366	0.0799743	0.0652269
