 	notre	père	a	coupé	l'	arbre	olembe	pour	scier	des	planches	</S>
t	0.223201	0.769058	0.00513663	0.000769474	0.000360247	0.00101448	0.000118783	0.000194506	3.3936e-05	7.96864e-05	1.9846e-05	1.41573e-05
á	0.013541	0.981119	0.00413278	0.00050142	0.000157201	0.000204754	5.04223e-05	0.00012915	7.13313e-05	6.35188e-05	1.99992e-05	9.01719e-06
á	0.0661374	0.780263	0.0777214	0.0456171	0.0130587	0.00946015	0.00276276	0.00202673	0.000585723	0.000577024	0.000659872	0.00112978
y	0.17072	0.294418	0.354859	0.0474397	0.0328366	0.014775	0.00183355	0.0164706	0.00282283	0.0182448	0.00489842	0.040681
a	0.163345	0.214572	0.280228	0.145215	0.0588743	0.00426812	0.0135829	0.0173488	0.0150549	0.00925823	0.00452207	0.0737309
b	0.841594	0.019728	0.078759	0.0200518	0.00973309	0.00124717	0.00103039	0.00298741	0.000765505	0.00176243	0.000185517	0.0221553
í	0.692471	0.0596303	0.109629	0.0819009	0.0266431	0.020255	0.00132806	0.00182912	0.0017564	0.00150312	0.00127069	0.00178362
s	0.761032	0.128123	0.046466	0.0300791	0.010257	0.00879604	0.000394215	0.00358717	0.000538662	0.00182562	0.00403713	0.00486399
í	0.611302	0.0161714	0.0751745	0.10278	0.0618858	0.0122066	0.0123759	0.0277609	0.00628895	0.0117156	0.00153856	0.0607998
á	0.0351189	0.00736193	0.572627	0.159755	0.150779	0.0483311	0.00191511	0.00748632	0.00313015	0.00527947	0.00124973	0.00696634
s	0.000897668	0.00106349	0.0751496	0.359515	0.405541	0.0865073	0.0513736	0.00573894	0.00451057	0.00109469	0.00240025	0.0062089
έ	0.00491806	0.000943231	0.0390832	0.487646	0.358264	0.0165728	0.0684913	0.00392609	0.0104938	0.000753829	0.001555	0.00735273
n	0.00434795	0.000361913	0.043649	0.339658	0.4345	0.0981163	0.0388825	0.0144492	0.00887587	0.00517248	0.00142828	0.0105578
g	0.0164372	0.000361855	0.0918456	0.225754	0.428203	0.201492	0.00764767	0.00809956	0.00476404	0.00959913	0.00141157	0.00438465
i	0.0431685	0.00083484	0.0547277	0.216924	0.505078	0.0892667	0.041446	0.0211339	0.0075253	0.0114191	0.000808712	0.00766787
o	0.00399835	0.000724947	0.0673277	0.0752763	0.412643	0.336136	0.0163858	0.0456475	0.0141081	0.0161527	0.00330572	0.00829354
l	0.000197502	0.000246101	0.000688022	0.00997141	0.0174467	0.0251163	0.90673	0.0101294	0.0264949	0.00057561	0.00153946	0.000864673
e	0.000157735	2.13263e-05	0.00107575	0.0256287	0.0465661	0.0141292	0.845639	0.0138151	0.0487489	0.000529301	0.000803394	0.00288511
m	6.76202e-05	3.68663e-05	0.000970254	0.0374889	0.047968	0.0101972	0.784069	0.0209095	0.0883425	0.000764763	0.000125819	0.00905979
b	0.00445157	0.000125657	0.00480135	0.0269385	0.0641314	0.0393927	0.457907	0.261963	0.0528303	0.0683806	0.000868081	0.0182098
e	0.000209227	5.56564e-05	0.00236424	0.0580597	0.0796458	0.0517921	0.585643	0.157859	0.0416472	0.0125367	0.000719174	0.00946839
m	4.96944e-05	1.74065e-05	0.0037168	0.0281986	0.0708344	0.0868682	0.107625	0.44137	0.228538	0.00974873	0.0016722	0.0213618
í	0.00136501	3.16868e-05	0.000311024	0.00150359	0.00431697	0.0164404	0.0253712	0.624182	0.0204329	0.221146	0.00366747	0.0812317
p	0.00209659	4.86037e-05	0.00271922	0.00459869	0.0131076	0.0404735	0.0622326	0.391562	0.409522	0.0389021	0.0162081	0.0185292
a	0.00313932	0.000296785	0.00217365	0.00459781	0.00387903	0.00821892	0.0376356	0.050269	0.785741	0.0200265	0.072122	0.0119003
s	0.000142961	1.93982e-05	0.000366622	0.00178792	0.00300503	0.00963369	0.0167973	0.0442244	0.832839	0.0138192	0.0645948	0.0127698
a	0.000161294	2.88808e-06	0.000154717	0.00150606	0.00203852	0.00327042	0.031993	0.0252795	0.876958	0.0271895	0.0163594	0.0150865
a	0.000364181	6.29386e-06	0.000642351	0.00281744	0.00783781	0.0120423	0.0073022	0.291017	0.375053	0.216431	0.0212079	0.0652789
l	0.000355723	1.33253e-05	0.00251585	0.00772477	0.0249033	0.0218406	0.00634168	0.201016	0.155193	0.427199	0.0396971	0.1132
á	0.00207592	5.25921e-05	0.00298877	0.0178016	0.0299148	0.0068658	0.0095332	0.0449914	0.148749	0.258544	0.0688441	0.409639
b	0.00372585	0.000114923	0.00359903	0.00368489	0.0140323	0.00835925	0.0036427	0.0405145	0.15029	0.321637	0.322511	0.127888
á	0.00183883	0.000124043	0.000844772	0.000621531	0.00230342	0.00514029	0.00029833	0.00537797	0.0932924	0.0428714	0.835093	0.0121935
y	0.000161011	2.89264e-05	0.000306483	0.000124335	0.000413849	0.0013971	8.23643e-05	0.00358931	0.0398761	0.04973	0.882825	0.0214654
á	0.00160788	5.66345e-05	0.000896254	0.00392184	0.00297197	0.00198534	0.00629846	0.0276033	0.463103	0.185986	0.173822	0.131747
</S>	0.00604905	7.48326e-05	0.000853479	0.00202863	0.0048912	0.00684203	0.00249743	0.0478747	0.0250764	0.273925	0.21733	0.412557
