 	les	feuilles	bougent	</S>
k	0.528116	0.468989	0.00235163	0.000543327
á	0.270568	0.645229	0.0648749	0.0193283
s	0.0306674	0.914672	0.0296054	0.0250552
i	0.195359	0.688977	0.05725	0.0584145
y	0.311428	0.327535	0.269514	0.0915231
é	0.124875	0.1189	0.716077	0.0401485
e	0.611392	0.126134	0.162945	0.0995285
t	0.0123825	0.0205537	0.157863	0.809201
í	0.00194869	0.0164953	0.555398	0.426158
n	0.00323159	0.0258985	0.405139	0.565731
a	0.111772	0.0929141	0.225141	0.570173
a	0.112772	0.0384991	0.15061	0.698119
</S>	0.032746	0.0222911	0.0659128	0.87905
