 	la	maladie	dont	il	souffre	a	beaucoup	duré	</S>
i	0.550188	0.33252	0.0723598	0.0196654	0.0081852	0.00851198	0.00740595	0.000834071	0.000329221
k	0.0689483	0.907362	0.00627375	0.00272701	0.00351862	0.00664464	0.00127652	0.00123246	0.00201698
ω	0.00588082	0.969286	0.00474927	0.00184056	0.00836636	0.00716255	0.000456553	0.000322225	0.00193564
n	0.0120129	0.94565	0.0166942	0.00427426	0.00901159	0.00396641	0.00384958	0.00219719	0.00234406
í	0.116515	0.830531	0.0288381	0.00577304	0.006495	0.00524516	0.00353192	0.00135983	0.00171118
l	0.276887	0.129743	0.434326	0.0714171	0.0300447	0.0194477	0.0195269	0.00178749	0.01682
í	0.127827	0.0319383	0.158392	0.104741	0.085835	0.0587759	0.0459018	0.00509873	0.38149
í	0.265631	0.0331139	0.177624	0.186122	0.10784	0.0506952	0.0637314	0.0158014	0.0994414
d	0.158569	0.0140654	0.128198	0.156387	0.134509	0.141173	0.0824544	0.0181968	0.166447
í	0.0303594	0.00177001	0.0618064	0.0407417	0.0872989	0.244536	0.0703341	0.00103118	0.462123
l	0.061943	0.00600111	0.106172	0.0626993	0.0910651	0.26178	0.167534	0.0119099	0.230895
a	0.01454	0.002535	0.0710107	0.288721	0.213319	0.13498	0.064556	0.004492	0.205846
w	0.0139737	0.0148	0.0670181	0.179236	0.264068	0.161432	0.0813683	0.082147	0.135957
a	0.00772604	0.00670332	0.0586782	0.223951	0.386918	0.198773	0.0427258	0.017076	0.0574483
d	0.00195258	0.00160566	0.0327236	0.149879	0.316836	0.305446	0.0850661	0.00841349	0.0980776
í	0.00708843	0.00206966	0.0248647	0.0307283	0.078695	0.389362	0.163991	0.00538438	0.297816
í	0.00287764	0.000865537	0.0229731	0.0754554	0.0792014	0.279332	0.261815	0.109582	0.167897
m	0.0198421	0.0118924	0.0218984	0.0256041	0.0169935	0.188658	0.564895	0.0900635	0.0601536
i	0.00769521	0.0013278	0.00624017	0.00520307	0.00970362	0.140184	0.370521	0.32119	0.137935
b	0.00381053	0.00808606	0.00126597	0.00210527	0.00734237	0.0759524	0.146696	0.229373	0.525369
í	0.00406663	0.0259395	0.00381152	0.0026492	0.00745878	0.120923	0.102053	0.496614	0.236485
a	0.000725827	0.00133363	0.000911254	0.00240861	0.0171532	0.168952	0.0601628	0.183875	0.564477
</S>	0.00596373	0.003848	0.0111011	0.0184514	0.0263023	0.0781787	0.479279	0.15693	0.219946
