 	le	bateau	a	accosté	là-bas	au	port	</S>
a	0.754788	0.191939	0.0381861	0.00118207	0.00481676	0.00804286	0.000595275	0.000449868
s	0.142875	0.801076	0.0410743	0.00547853	0.00148058	0.00442453	0.0023949	0.00119592
ú	0.036831	0.926562	0.0100194	0.0202683	0.00207798	0.00171953	0.000389525	0.00213226
a	0.122037	0.745322	0.0269182	0.0651529	0.00646387	0.00892601	0.00153124	0.0236484
á	0.128069	0.104281	0.564737	0.0438063	0.0251212	0.0200399	0.00166051	0.112285
m	0.0242638	0.0137234	0.424461	0.394656	0.0653739	0.0481203	0.00400487	0.0253972
i	0.0143698	0.0228779	0.0666095	0.751596	0.0841422	0.0347787	0.00351786	0.0221081
s	0.00373646	0.0121457	0.0616149	0.800332	0.0695441	0.0216423	0.00331587	0.0276689
e	0.000544985	0.0153115	0.00576653	0.916511	0.0351632	0.00900785	0.0024183	0.0152767
m	0.00641489	0.00626365	0.0395851	0.749843	0.0641749	0.013757	0.00234492	0.117616
é	0.0253429	0.0265358	0.165347	0.381168	0.31955	0.052751	0.00661853	0.0226876
ó	0.00869491	0.00457639	0.0545477	0.137752	0.394209	0.269369	0.0829263	0.0479254
i	0.00442913	0.00366279	0.0113713	0.164042	0.244192	0.410853	0.140098	0.0213517
b	0.00330493	0.00961766	0.00985061	0.166909	0.282951	0.295429	0.167079	0.0648584
ó	0.00248006	0.00328963	0.00965236	0.101659	0.101541	0.170117	0.51572	0.0955418
n	0.000399132	0.00168768	0.0106191	0.0920579	0.168324	0.186702	0.199791	0.340419
g	0.00490033	0.0199964	0.023817	0.10626	0.244388	0.154924	0.0992444	0.34647
o	0.0634885	0.0350233	0.0187979	0.0926427	0.140092	0.0777143	0.25657	0.315672
p	0.00247091	0.00129062	0.00955491	0.0109296	0.0742228	0.271811	0.213258	0.416462
é	0.00817566	0.00326047	0.0248288	0.00497283	0.196774	0.305667	0.216819	0.239502
</S>	0.000540203	0.000826606	0.0021635	0.00370819	0.0931544	0.13385	0.236493	0.529264
