 	la	pluie	a	abîmé	mes	chaussures	</S>
m	0.79037	0.199014	0.00514597	0.00173222	0.00307049	0.000599987	6.78865e-05
v	0.0453197	0.938246	0.00513272	0.000626823	0.00780139	4.80895e-05	0.00282482
ú	0.0252934	0.972903	0.000514288	0.000300944	0.000886179	4.7853e-05	5.39553e-05
á	0.0991628	0.881783	0.0153026	0.000240311	0.00230745	8.21893e-06	0.00119581
á	0.136344	0.084462	0.724747	0.00982928	0.00771031	0.00084135	0.0360664
m	0.0259069	0.0279951	0.665327	0.251337	0.00376923	0.00374352	0.0219212
i	0.0235208	0.0299634	0.572117	0.314799	0.0106635	0.00330479	0.0456315
b	0.00258034	0.00528153	0.0974371	0.8689	0.00200595	0.00803875	0.0157561
é	0.00117398	0.00214591	0.0253553	0.955731	0.00476586	0.00110597	0.0097218
b	0.000883503	0.00516628	0.0262702	0.947299	0.00219193	0.00114539	0.017044
h	0.0161981	0.00548002	0.0140464	0.838617	0.0991768	0.00337687	0.0231049
í	0.0097609	0.00729375	0.00438691	0.890491	0.042213	0.0053698	0.0404842
s	0.0151461	0.00468236	0.0309846	0.292759	0.456006	0.033797	0.166625
á	0.0126299	0.00375816	0.00787376	0.372382	0.498835	0.0114759	0.0930458
n	0.0268939	0.0137972	0.0391151	0.0649853	0.717581	0.118036	0.0195914
g	0.0172088	0.0148896	0.00170258	0.0117503	0.916706	0.00552134	0.0322212
á	0.0467664	0.095395	0.0586886	0.0133259	0.684538	0.0289549	0.0723312
a	0.00793314	0.00239136	0.0065002	0.00885652	0.60642	0.316272	0.0516264
p	0.000928281	0.000447497	0.00297877	0.0229882	0.0175404	0.892398	0.0627187
á	0.000123455	5.31417e-05	0.000311534	0.00208608	0.000275537	0.988685	0.00846486
p	0.00334884	0.000170537	0.00123227	0.0469024	0.0195581	0.903547	0.025241
a	0.000301288	3.15757e-05	0.000211854	0.00237472	0.00336828	0.945738	0.0479746
</S>	0.000419197	0.000158612	0.00143219	0.0037133	0.0183821	0.735657	0.240238
