 	il	répare	la	bretelle	du	fusil	</S>
w	0.987083	0.00294651	0.00807062	0.000707872	0.00117626	1.06801e-05	5.00818e-06
a	0.983966	0.00112405	0.0118572	0.000271222	0.0024693	0.000300982	1.14421e-05
l	0.650193	0.207455	0.100755	0.00782991	0.0215783	0.00230926	0.0098792
á	0.113545	0.0384502	0.200077	0.131303	0.0765898	0.0216324	0.418403
a	0.408313	0.13569	0.195392	0.0946329	0.0466321	0.0128155	0.106526
l	0.0207808	0.926765	0.0303278	0.0136196	0.00198878	0.00220315	0.0043151
o	0.0099736	0.975641	0.0086805	0.00148947	0.000539132	0.000344618	0.00333172
n	0.00401094	0.952243	0.0317793	0.00357246	0.00181454	0.000877868	0.00570223
d	0.0858972	0.394912	0.4374	0.0385905	0.0237327	0.0010048	0.0184626
á	0.100081	0.29451	0.382408	0.0970958	0.0377183	0.00203023	0.0861562
i	0.0353622	0.0050213	0.58653	0.087937	0.254118	0.0243931	0.00663833
l	0.00342179	0.0307225	0.0803579	0.709342	0.100151	0.0614193	0.0145859
a	0.000860764	0.0057516	0.0683867	0.557713	0.269276	0.0728093	0.0252019
m	0.000320669	0.0054217	0.105481	0.546668	0.19623	0.106634	0.0392449
b	0.00362892	0.000704959	0.131892	0.306893	0.307914	0.0346059	0.214361
í	0.00262698	0.0010076	0.10676	0.350686	0.27486	0.0596899	0.204369
l	0.0044266	0.00102512	0.047552	0.242559	0.195592	0.151967	0.356878
ó	0.00175305	0.00756657	0.0129229	0.134404	0.0701433	0.532146	0.241064
t	0.00679513	0.00250446	0.0172975	0.0277509	0.0743124	0.787354	0.0839854
á	0.00126964	0.00459906	0.00621838	0.015245	0.0124388	0.93138	0.0288495
</S>	0.000493945	0.00145679	0.00227657	0.00906319	0.00828327	0.788825	0.189602
