 	j'	écris	une	lettre	</S>
n	0.690742	0.28403	0.0221283	0.00275546	0.000343836
g	0.931792	0.0675101	0.000531925	9.69578e-05	6.89513e-05
á	0.875442	0.121133	0.00239928	0.00081749	0.000208278
l	0.3358	0.442095	0.0754648	0.0340131	0.112627
í	0.588778	0.110106	0.0503816	0.0265809	0.224153
i	0.124762	0.225729	0.185422	0.148296	0.315791
k	0.00995602	0.789025	0.164399	0.0226566	0.0139639
y	0.00177607	0.830552	0.126487	0.0345632	0.0066216
έ	0.00369494	0.899114	0.070673	0.0214462	0.00507197
m	0.00809345	0.404289	0.418974	0.0700732	0.0985708
b	0.00356562	0.216921	0.432657	0.0695476	0.277308
έ	0.0897674	0.198343	0.447008	0.0675954	0.197286
l	0.0979079	0.130014	0.513378	0.197968	0.0607324
e	0.0207519	0.0320459	0.373597	0.301521	0.272084
k	0.00558766	0.0188516	0.206834	0.497799	0.270928
á	0.000370829	0.0133554	0.104463	0.829519	0.0522917
s	0.0102848	0.0330137	0.156236	0.617365	0.1831
i	0.00374139	0.0427888	0.0978744	0.621918	0.233677
</S>	0.00238411	0.0072988	0.108873	0.331483	0.549961
