 	l'	enfant	est	en	train	de	toucher	le	poisson	partout	avec	ses	doigts	</S>
m	0.818145	0.151744	0.00838973	0.007475	0.00474117	0.00603696	0.000839203	0.00058102	0.000349267	0.000187467	0.000819082	0.000446018	0.000160675	8.55122e-05
w	0.0360199	0.929213	0.0130408	0.017446	0.00163237	0.000550678	0.000639557	0.000131366	7.3661e-05	0.000106695	0.000196115	0.000231157	0.000187877	0.000530865
á	0.0187018	0.977742	0.00112204	0.00132086	0.00051201	0.000159174	0.000117497	4.45687e-05	5.32225e-05	9.42891e-05	5.64324e-05	1.04597e-05	5.29213e-05	1.26795e-05
n	0.0959739	0.897761	0.00105324	0.00277677	0.0016418	0.000380146	4.30069e-05	2.12286e-05	5.62678e-06	1.11161e-05	5.85542e-05	1.58871e-05	1.18539e-05	0.000245798
a	0.0645003	0.406925	0.13082	0.143659	0.034873	0.0441065	0.0137074	0.00658416	0.0105737	0.00135854	0.00346334	0.00269383	0.000642121	0.136094
b	0.357793	0.0713787	0.269883	0.176717	0.0195088	0.054219	0.00905325	0.0117328	0.00423412	0.00288324	0.00380756	0.00881804	0.00125702	0.0087142
ó	0.026799	0.0143124	0.102263	0.129486	0.207614	0.345147	0.0709817	0.010934	0.0173423	0.0018383	0.0226808	0.030243	0.0099922	0.0103671
l	0.0485803	0.00553173	0.199762	0.39137	0.0893357	0.170268	0.0468172	0.014296	0.00346449	0.00393173	0.00523512	0.00732034	0.00172148	0.012366
á	0.113133	0.0145255	0.110026	0.0499825	0.0054448	0.135334	0.11628	0.0544579	0.0183216	0.0441803	0.0560417	0.065038	0.0227413	0.194494
a	0.279436	0.0264757	0.115359	0.0899991	0.0065085	0.165389	0.144383	0.0736755	0.0231235	0.0175751	0.0153993	0.0120794	0.00806662	0.0225289
m	0.0148454	0.00664038	0.0283974	0.0245082	0.00136267	0.0725895	0.564157	0.146037	0.0539559	0.0450462	0.0171176	0.00639824	0.00328978	0.0156548
ω	0.00474737	0.00564182	0.0275006	0.0737706	0.00225139	0.0243141	0.251057	0.227395	0.279036	0.0346623	0.0262812	0.00851008	0.0060119	0.0288217
n	0.0020306	0.00155172	0.00589059	0.00917237	0.000153719	0.0136204	0.324587	0.304051	0.0280932	0.0766712	0.0711994	0.0235673	0.0116926	0.127718
y	0.00434226	0.00182605	0.00693554	0.0103461	0.000219277	0.0408585	0.277331	0.28597	0.0686117	0.207239	0.0608254	0.0168682	0.00460997	0.0140179
ω	0.0040535	0.00122555	0.00804936	0.0126406	0.000158126	0.0245587	0.150433	0.193726	0.115154	0.29055	0.100461	0.0270411	0.00927658	0.0626726
ω	0.00647423	0.00031332	0.0113295	0.00736222	0.000124562	0.0446542	0.0887783	0.236725	0.217173	0.230762	0.10101	0.0340793	0.00739067	0.0138232
s	0.00537424	0.00146041	0.00378308	0.00178919	7.22033e-05	0.0112312	0.0259807	0.140651	0.230092	0.26197	0.219686	0.0680832	0.0181682	0.0116582
w	0.002316	7.95243e-05	0.00137777	0.00187227	1.11448e-05	0.000778423	0.00315573	0.0580914	0.347464	0.33678	0.145031	0.0542599	0.0291917	0.0195912
é	0.000841323	0.000314815	0.000164559	0.000281653	2.95749e-06	0.000421132	0.00234957	0.0598018	0.252439	0.500791	0.121484	0.0285936	0.0255471	0.00696776
</S>	0.000130127	4.87006e-05	0.000877132	0.00146763	1.80471e-05	0.000799587	0.00242834	0.0556709	0.164138	0.254234	0.223802	0.153345	0.0707713	0.0722702
