 	le	garçon	bée	d'	admiration	devant	son	père	</S>
m	0.837157	0.14509	0.00121717	0.00590153	0.00548142	0.00254849	0.00246581	7.73146e-05	6.14489e-05
w	0.476027	0.455066	0.0274631	0.0124391	0.00351049	0.00376112	0.017158	7.95977e-05	0.00449593
á	0.0911669	0.900817	0.000650857	0.00362866	0.00160243	0.000690911	0.000974023	0.000425326	4.37656e-05
n	0.514139	0.432525	0.000309088	0.00300701	0.00328178	0.00156685	0.00526027	0.00161329	0.0382979
a	0.233235	0.332975	0.0117989	0.0336194	0.00302937	0.00401493	0.0169137	0.00384389	0.360569
a	0.802604	0.0782508	0.0244502	0.0217838	0.00807398	0.0071443	0.0207125	0.00401928	0.0329614
s	0.205421	0.322122	0.179097	0.0762812	0.0703275	0.0621747	0.00716557	0.0181322	0.0592786
ú	0.0213984	0.0441826	0.738153	0.0448829	0.00465758	0.0087281	0.00579027	0.00174286	0.130464
ú	0.0434562	0.0167702	0.762028	0.0848458	0.0100653	0.0136573	0.0185056	0.000913556	0.0497578
ω	0.0161365	0.00991379	0.593027	0.261572	0.0548635	0.0270658	0.0115893	0.0032299	0.0226021
n	0.000733835	0.00158031	0.459058	0.366409	0.119904	0.0427873	0.00508817	0.00143181	0.00300829
ω	0.00208766	0.000732791	0.913528	0.0561407	0.00450823	0.00753597	0.00211264	0.000281602	0.013072
ω	0.00202101	0.00085188	0.701263	0.21939	0.0142486	0.0434646	0.00679823	0.000560214	0.0114029
w	0.00116403	0.00016418	0.175114	0.326482	0.250283	0.209246	0.0264317	0.00185425	0.00926149
ó	0.0104726	0.00345219	0.064298	0.130158	0.367402	0.127666	0.0795618	0.135606	0.0813841
ó	0.00117175	0.000473131	0.054822	0.10898	0.262927	0.412653	0.0560788	0.0469226	0.0559727
m	0.000552826	0.000304979	0.0614814	0.101147	0.217095	0.563255	0.0243095	0.00716675	0.0246877
ó	0.00536778	0.00128984	0.0167659	0.0523974	0.170768	0.254118	0.0969373	0.00845515	0.3939
i	0.0177132	0.000808231	0.0333659	0.0681509	0.0706769	0.466132	0.0274416	0.281897	0.0338141
b	0.000287266	0.000379902	0.0226513	0.037435	0.154671	0.580581	0.0205979	0.0161034	0.167293
é	0.00104829	0.000344449	0.00257235	0.0383416	0.255394	0.652512	0.00776412	0.0186198	0.0234037
n	0.000130305	3.71108e-05	0.00743813	0.0325185	0.184437	0.526218	0.0121995	0.0549055	0.182116
y	0.000383544	0.00010807	0.0205821	0.110821	0.217362	0.257504	0.037679	0.0296422	0.325919
a	0.000458837	0.000183548	0.0216517	0.0954412	0.149871	0.246088	0.0307775	0.0614512	0.394077
l	0.00168379	0.000262723	0.0365237	0.0851663	0.0394238	0.130795	0.260303	0.0188412	0.427001
á	0.00254792	0.00036441	0.0145144	0.0319955	0.0184061	0.0421361	0.211026	0.0641614	0.614848
t	0.0167508	0.000264922	0.00385684	0.00808504	0.00473838	0.0161866	0.406964	0.483841	0.0593125
á	0.000311499	3.23788e-05	0.000167385	0.00201286	0.00633403	0.00649268	0.0103209	0.953754	0.0205745
á	0.000136714	9.16357e-06	0.000105353	0.00045744	0.00164016	0.00359356	0.0218258	0.842991	0.129241
</S>	0.00238562	0.00240459	0.0127332	0.0200285	0.0186144	0.0224222	0.354485	0.161757	0.405169
