 	il	dit	aux	hommes	de	venir	</S>
w	0.87221	0.0574021	0.0557123	0.0126428	0.00156767	0.000403684	6.12646e-05
a	0.769653	0.0589219	0.114421	0.0377466	0.0160924	0.00302008	0.000145203
á	0.223197	0.509244	0.182619	0.0202813	0.0333401	0.0147696	0.0165491
s	0.0846412	0.667317	0.106833	0.022867	0.034748	0.0278155	0.0557787
ε	0.0162269	0.597793	0.0912326	0.00464377	0.00617656	0.0292373	0.25469
r	0.0288551	0.331659	0.51474	0.015336	0.0103786	0.0265812	0.0724496
i	0.0274952	0.184208	0.707942	0.0200345	0.0313533	0.0225154	0.00645125
l	0.0403433	0.0989677	0.537327	0.164215	0.108479	0.0386829	0.0119853
a	0.117353	0.0806378	0.346788	0.0484722	0.0962075	0.0965143	0.214027
b	0.0825873	0.0982946	0.26609	0.163034	0.0590824	0.294123	0.0367888
a	0.0162649	0.0202645	0.0377403	0.911116	0.0115024	0.00123804	0.00187395
r	0.00374153	0.0196981	0.0472735	0.849741	0.0425884	0.00807549	0.0288818
e	0.0562696	0.0319182	0.368792	0.200784	0.1027	0.0275878	0.211949
á	0.016329	0.0398419	0.150243	0.0963982	0.32527	0.302997	0.0689207
y	0.0111696	0.0297681	0.0354942	0.0106881	0.334781	0.472506	0.105593
a	0.00315633	0.0107169	0.0198641	0.00124719	0.1125	0.553495	0.29902
a	0.00135565	0.00457304	0.0209668	0.00479064	0.114306	0.268857	0.585151
</S>	0.0014061	0.00619928	0.0182587	0.00976111	0.264534	0.177598	0.522243
