 	la	secousse	du	fusil	a	fait	tomber	le	chasseur	</S>
e	0.893821	0.0744173	0.00990011	0.00293877	0.00330695	0.00261617	0.00439725	0.00432114	0.0038209	0.000460168
s	0.179036	0.715472	0.0293625	0.0230348	0.00465154	0.00374761	0.0156894	0.00380345	0.0188804	0.00632257
ú	0.00210063	0.980949	0.00622258	0.00567899	0.000299672	0.000703562	0.00145741	0.000243577	0.000272512	0.00207255
l	0.0994746	0.760019	0.0441037	0.00865276	0.00206773	0.00500632	0.0123427	0.0207684	0.00933759	0.0382272
u	0.264729	0.315771	0.129756	0.0494001	0.0355013	0.027626	0.0192312	0.0730214	0.00711906	0.0778445
y	0.0839585	0.0362633	0.702488	0.0831258	0.0373001	0.0115689	0.00866225	0.018094	0.00345616	0.0150825
ó	0.218275	0.0941508	0.351327	0.196505	0.0573911	0.0240978	0.00930948	0.0155089	0.00176593	0.0316691
t	0.328736	0.0459506	0.185707	0.187675	0.0675881	0.0621728	0.0266884	0.0209156	0.00871464	0.0658519
á	0.0700338	0.045411	0.187487	0.409133	0.038292	0.0615654	0.037131	0.0131038	0.0313514	0.106492
é	0.0145222	0.0103497	0.0851073	0.363858	0.0562103	0.102985	0.0589742	0.01658	0.0246212	0.266791
b	0.00592286	0.0013427	0.0995911	0.182607	0.336087	0.167673	0.0892424	0.0657814	0.0148105	0.0369419
v	0.0113716	0.00136066	0.0330851	0.11106	0.0882701	0.307568	0.1827	0.0465613	0.0302645	0.187759
e	0.000548579	0.000202957	0.00306382	0.00719528	0.0173567	0.259883	0.522501	0.067851	0.104407	0.0169903
e	0.00162128	0.00259522	0.0347335	0.0710123	0.0929661	0.233685	0.248063	0.0785484	0.182703	0.0540726
s	0.00279016	0.0007204	0.0430884	0.0484582	0.191394	0.239547	0.179333	0.137371	0.055538	0.10176
i	0.0111216	0.0147318	0.0341864	0.0717834	0.0982028	0.194625	0.230108	0.109053	0.0520351	0.184153
o	0.00403942	0.000743442	0.016592	0.0153833	0.06973	0.13493	0.138763	0.434815	0.0336463	0.151358
b	0.00171249	0.00477036	0.00346497	0.00466666	0.00862031	0.0242203	0.157377	0.176201	0.377511	0.241456
e	0.000794885	0.000582489	0.00132374	0.000763452	0.00399836	0.0176687	0.0852011	0.0233496	0.85232	0.0139972
n	6.4907e-05	0.000364095	0.000911715	0.00180854	0.00242729	0.0174426	0.183814	0.108539	0.508285	0.176342
g	0.00328445	0.00138123	0.0104481	0.0218213	0.0638046	0.143603	0.147417	0.10285	0.257619	0.247771
i	0.00920026	0.00178749	0.0138443	0.0128076	0.0424374	0.134049	0.141773	0.0834167	0.317382	0.243303
</S>	0.00127872	0.000156842	0.00891761	0.004783	0.0272459	0.0527518	0.0427422	0.11536	0.0253034	0.72146
