 	dans	mon	champ	il	y	a	des	palmiers	à	huile	de	petite	taille	</S>
s	0.477285	0.104362	0.0588511	0.113023	0.0704604	0.0238637	0.0200667	0.0428546	0.0135534	0.0304476	0.0183582	0.0143852	0.000875493	0.0116129
á	0.304105	0.443053	0.0459476	0.145593	0.00971916	0.0099893	0.00488847	0.00186302	0.00387558	0.00826856	0.00659183	0.00932148	0.00202999	0.00475445
n	0.139087	0.288049	0.50675	0.0312025	0.00627965	0.00598854	0.00659924	0.000185607	0.00407345	0.00181627	0.00233753	0.00272433	0.00370591	0.00120074
g	0.0342351	0.25857	0.653342	0.0111565	0.00175412	0.00188509	0.00127546	0.00124775	0.00165032	0.0022222	0.0023142	0.00144512	0.00169139	0.027211
o	0.00702089	0.0925189	0.892474	0.00078548	0.000491917	0.000632444	0.00113661	0.000342825	0.000439344	0.000300651	0.000410149	0.000258947	0.00075155	0.00243607
n	0.00994613	0.0626488	0.806439	0.0145291	0.00618223	0.0129575	0.0153891	0.00247813	0.00531261	0.0012994	0.00789398	0.00720979	0.0103359	0.037378
d	0.118001	0.0573688	0.0772154	0.0906079	0.0205211	0.0625682	0.0820705	0.00819176	0.0368882	0.0115904	0.0333927	0.0291701	0.00699055	0.365424
a	0.0956588	0.126507	0.397358	0.1014	0.0202341	0.0335843	0.05474	0.0111305	0.025246	0.0170693	0.0182004	0.00892451	0.0148845	0.0750615
y	0.117089	0.184179	0.0211988	0.232803	0.123383	0.0582885	0.102621	0.0383574	0.0342479	0.0269373	0.0300901	0.0148487	0.00166296	0.0142939
á	0.248648	0.336367	0.0142894	0.106992	0.0535842	0.0473752	0.0656606	0.00621583	0.0414146	0.0119621	0.0206741	0.0116984	0.0090422	0.0260769
n	0.0528923	0.748471	0.034562	0.063424	0.0257092	0.0149546	0.0303037	0.00254821	0.00921668	0.00711559	0.00348611	0.00280301	0.00195893	0.00255456
g	0.0302092	0.84301	0.0785858	0.0146295	0.0054788	0.00404721	0.00735937	0.00300647	0.00284121	0.00230648	0.00299215	0.00186886	0.000464286	0.0032009
á	0.0116212	0.258273	0.46934	0.0610777	0.0166372	0.0373055	0.0705204	0.00888594	0.0126888	0.00613992	0.0142617	0.00659328	0.00623604	0.0204193
é	0.00178033	0.00499654	0.00148315	0.155616	0.186024	0.169002	0.207971	0.0350482	0.10735	0.0362391	0.0578826	0.0268893	0.0040172	0.00570083
d	0.0137327	0.00137917	0.00137315	0.0159935	0.0731382	0.0908951	0.0621352	0.263578	0.146438	0.047723	0.162818	0.0477934	0.0630926	0.00990983
í	0.0166023	0.00146766	4.67011e-05	0.0104553	0.0180582	0.0412472	0.0551458	0.180781	0.170776	0.0836424	0.150504	0.0486416	0.0609938	0.161638
l	0.0170516	0.0110641	0.000263976	0.0155778	0.0287501	0.0262071	0.0452826	0.102392	0.123392	0.0985879	0.201691	0.189065	0.0617246	0.07895
a	0.018989	0.00484692	0.000323704	0.00935239	0.0137917	0.0144006	0.0149688	0.0907957	0.140552	0.0490047	0.160644	0.07765	0.150913	0.253767
t	0.0107065	0.024014	0.00206828	0.0209009	0.0115867	0.0214665	0.0211378	0.0378629	0.109617	0.0329193	0.0942811	0.0814596	0.462357	0.0696222
έ	0.0011273	0.00129898	0.001807	0.0140554	0.0176443	0.00695545	0.00674136	0.228619	0.0550922	0.0927974	0.0726911	0.0374863	0.405829	0.0578548
n	0.000820258	0.00078454	0.00135467	0.00535787	0.0222695	0.00945041	0.0129448	0.057739	0.0796499	0.0408395	0.155196	0.193506	0.323701	0.0963874
d	0.00147719	0.00193912	0.0038897	0.0294344	0.0201014	0.0231512	0.0322617	0.051246	0.0927877	0.0907019	0.283288	0.192106	0.118805	0.0588099
έ	0.00564259	0.00555792	0.0135595	0.0464789	0.0332748	0.0685961	0.0543816	0.0348862	0.139901	0.0330116	0.262719	0.142523	0.121942	0.0375252
m	0.00759148	0.00119611	0.000243403	0.0112654	0.00548769	0.0042094	0.00824977	0.0104288	0.117651	0.0608343	0.156573	0.205718	0.128006	0.282546
á	0.00663812	0.0206265	6.22258e-05	0.0290552	0.00862509	0.00598824	0.0117763	0.0177402	0.205426	0.183154	0.0920574	0.197422	0.0242523	0.197177
b	0.0174405	0.0168676	0.00198322	0.0351365	0.0171174	0.0114459	0.0102378	0.00780142	0.0729185	0.0211265	0.0556321	0.199143	0.412432	0.120718
í	0.0191384	0.0587002	0.000670795	0.13454	0.094578	0.0212251	0.0136642	0.0864369	0.0690942	0.0792339	0.08003	0.183608	0.112854	0.046226
a	0.0137254	0.146175	0.000584156	0.043082	0.020057	0.00466012	0.00542753	0.151249	0.0503955	0.114872	0.0733161	0.0786168	0.0883229	0.209516
</S>	0.0115143	0.00152141	5.29715e-05	0.00360015	0.0046651	0.00352371	0.00323401	0.0118889	0.0251562	0.0132237	0.0906023	0.235422	0.13871	0.456885
