 	les	femmes	sont	parties	travailler	en	équipe	dans	le	jardin	d'	ambee	</S>
a	0.616701	0.381144	0.000520086	3.32216e-05	0.000604663	0.000103915	0.000162636	0.000338712	0.000327857	9.76091e-06	4.65464e-05	2.21353e-06	4.64801e-06
y	0.164057	0.817673	0.0140413	0.000942577	0.00119172	9.65844e-05	0.000563501	0.000252786	0.000209726	0.000317306	0.000192716	0.00022629	0.000235839
ú	0.355095	0.638639	0.000986947	0.000216073	0.00378637	0.000107176	1.07532e-05	0.000165846	0.000465726	0.000379941	3.56386e-05	1.83623e-05	9.31563e-05
r	0.62278	0.335118	0.00169559	0.00405723	0.0135798	0.00265899	0.000358684	0.00166273	0.00725732	0.00311194	0.00149888	0.00136978	0.00485084
u	0.678107	0.291085	0.00404415	0.00284971	0.00396478	0.00415383	0.00172782	0.000995539	0.00293321	0.00148865	0.0026806	0.000769856	0.00519922
á	0.201408	0.0221834	0.564183	0.0574492	0.0465341	0.0116817	0.00166498	0.0189124	0.0102195	0.00092981	0.0145214	0.00230077	0.0480122
m	0.0201236	0.00601392	0.653654	0.195706	0.0986347	0.00684032	0.00158673	0.00302652	0.00333188	0.000723472	0.000707439	0.00055783	0.00909272
i	0.0180722	0.00599688	0.382382	0.485705	0.0952539	0.00654647	0.000727208	0.000584858	0.000984544	0.000154348	0.000191062	0.000195858	0.00320554
d	0.00142473	0.000163029	0.0619672	0.884116	0.0404854	0.00310273	0.00482705	0.000462691	0.00038814	0.000193599	8.42064e-05	0.000294444	0.00249063
z	0.00288241	9.77617e-05	0.0368031	0.84997	0.0919592	0.00593422	0.00406436	0.00111403	0.000502865	0.000306881	0.000168149	0.0013359	0.00486129
w	0.00936614	0.0006767	0.0259797	0.929883	0.0314803	0.00129682	0.000268868	0.000108975	5.51888e-05	2.88008e-05	2.55488e-05	0.000481331	0.000348296
á	0.0267498	0.00184954	0.0456803	0.522317	0.177966	0.120196	0.0121254	0.0241445	0.0281214	0.00130528	0.0063201	0.00203844	0.0311871
e	0.0041943	0.00053901	0.0128265	0.0852985	0.351344	0.300967	0.122782	0.0635713	0.0346415	0.00869754	0.00380338	0.00587867	0.00545658
b	0.00264503	0.000390284	0.00698438	0.0182841	0.0933569	0.218418	0.556003	0.0304411	0.015044	0.0294241	0.00191645	0.0180057	0.00908768
h	0.00699521	0.000450581	0.00174543	0.00187793	0.0098188	0.105688	0.727755	0.0340578	0.0122581	0.00134322	0.00200176	0.0877519	0.00825609
o	0.000928497	1.5302e-05	0.000324463	0.00104285	0.00673952	0.0572613	0.880588	0.0208298	0.00741249	0.000418042	0.00141396	0.00705051	0.0159749
n	0.00170877	2.20101e-05	0.000377101	0.00214458	0.00979551	0.0700527	0.826683	0.0515561	0.0134783	0.0026719	0.00248815	0.00741607	0.0116058
g	0.00815468	0.00135732	0.00156306	0.00256273	0.0258285	0.274553	0.499774	0.0391476	0.0244692	0.0118929	0.00537416	0.00773209	0.0975908
ó	0.00432658	0.0012417	0.00112069	0.000706525	0.0119292	0.138287	0.579121	0.0120371	0.0401191	0.183931	0.00549265	0.00232908	0.0193587
ó	0.00100241	0.000103829	0.00190731	4.19438e-05	0.00989288	0.139063	0.0268296	0.408309	0.320797	0.0499735	0.0192218	0.000892125	0.0219661
k	0.00734934	0.00157312	0.0118964	0.0019594	0.0419238	0.0484501	0.0943078	0.372999	0.274062	0.059325	0.0277586	0.0173559	0.0410395
ú	0.00018996	1.81025e-05	0.000190832	0.000242012	0.00208992	0.0115498	0.656467	0.0462807	0.0339545	0.0101892	0.00890251	0.06644	0.163485
b	0.00193181	7.59629e-05	5.34253e-05	0.001295	0.00156685	0.0131511	0.859706	0.0219963	0.0146561	0.00967042	0.00331713	0.0202565	0.0523234
h	0.181459	0.00251006	0.000418549	0.0107327	0.00957704	0.0493233	0.372746	0.08755	0.116483	0.00589847	0.0424959	0.017545	0.103261
á	0.0105049	5.61506e-05	0.000145036	0.000318868	0.00347734	0.0541152	0.303193	0.101814	0.091503	0.00437469	0.0891908	0.0181686	0.323139
y	0.00747635	0.00033733	0.00264398	0.000897358	0.00562303	0.0345146	0.00783745	0.107886	0.335721	0.0269052	0.232428	0.0463897	0.19134
á	0.0118196	0.00312345	0.0075465	0.00415531	0.0436778	0.0460921	0.00798832	0.0441364	0.238184	0.158873	0.173141	0.168438	0.0928252
a	0.00270356	0.000624466	0.00211347	0.00110636	0.0133186	0.0134062	0.0100042	0.0340355	0.276859	0.0808132	0.245067	0.27183	0.0481182
m	0.00118335	0.000321405	0.00441963	0.000831713	0.00640502	0.00704157	0.018353	0.0185941	0.0269376	0.0335327	0.133939	0.510436	0.238005
b	0.000170736	8.48585e-05	0.00110026	0.00142345	0.000658406	0.00416973	0.00140799	0.00303873	0.00482548	0.000487026	0.0744854	0.866788	0.0413597
e	6.31577e-05	1.54642e-05	2.97238e-05	7.41643e-05	6.52466e-05	0.00225231	0.00151898	0.000308147	0.000592466	0.000295286	0.00724428	0.972934	0.0146063
e	8.49657e-05	7.26009e-06	0.000118391	0.000290032	0.000237902	0.00351738	0.00438552	0.00276348	0.0029068	0.000126588	0.0337059	0.639314	0.312541
</S>	0.0024648	7.82026e-05	0.000247134	8.18533e-05	0.00103651	0.00778893	0.00617587	0.0217984	0.0376163	0.00422027	0.320942	0.124234	0.473316
