 	je	suis	assis	à	côté	du	chef	</S>
n	0.870184	0.0949692	0.00205172	0.00725642	0.0162007	0.00783294	0.00130159	0.00020325
g	0.99529	0.00436997	2.14693e-05	0.000148068	8.1728e-05	8.44359e-05	1.41709e-06	3.00994e-06
á	0.971913	0.0262751	0.000289322	0.000667514	0.00059276	0.000241776	1.64864e-05	4.32552e-06
i	0.15783	0.712177	0.0458358	0.0167997	0.0151636	0.0112653	0.0034974	0.0374315
d	0.0260627	0.383673	0.468482	0.0386962	0.0298178	0.00854041	0.00509345	0.0396344
í	0.0359624	0.467954	0.442118	0.0234019	0.00378494	0.00377423	0.000101245	0.0229033
d	0.00367612	0.0802095	0.767597	0.1125	0.00814133	0.00968605	0.000472704	0.0177173
z	0.0125798	0.112491	0.777554	0.0709738	0.00391312	0.00383195	0.0010801	0.0175764
a	0.00374824	0.00942396	0.979834	0.00632431	0.000228188	0.000152314	3.22703e-05	0.000257178
a	0.00216699	0.0145396	0.760556	0.183769	0.00640189	0.0107453	0.00331582	0.0185063
p	0.00090812	0.0221786	0.0775396	0.697136	0.100146	0.0799993	0.00443147	0.0176608
ε	0.000320454	0.00675723	0.125881	0.323002	0.336684	0.0541878	0.100202	0.0529659
l	0.000818414	0.0121482	0.0475688	0.165168	0.38671	0.0721218	0.14478	0.170685
έ	0.000746182	0.00822003	0.00906554	0.22329	0.492342	0.0775581	0.0206279	0.16815
έ	0.00113965	0.0124597	0.00366216	0.190432	0.204936	0.488611	0.0178301	0.080929
l	0.0017432	0.0112792	0.00685251	0.13005	0.203612	0.275011	0.101618	0.269834
o	0.00162691	0.00558493	0.00351123	0.0810245	0.13588	0.270537	0.117724	0.384111
k	0.000145235	0.00360656	0.00153001	0.0475739	0.0386375	0.177158	0.694163	0.0371851
o	3.38214e-06	8.10797e-05	0.000246759	0.00223657	0.00668389	0.00726195	0.978976	0.00451078
n	4.72761e-06	0.0001776	0.00329627	0.00631692	0.0188572	0.00348534	0.947835	0.0200272
d	2.49271e-05	0.000306799	0.00318949	0.00243608	0.012165	0.00491107	0.940385	0.0365812
z	0.00011755	0.000276896	0.000122094	0.00379413	0.0193399	0.00974685	0.932116	0.034487
i	0.000245487	0.000218511	0.00144068	0.005195	0.0834749	0.0104187	0.854357	0.0446494
</S>	0.000620571	0.00262552	0.000341204	0.0229987	0.0492801	0.0801175	0.0417993	0.802217
