 	on	extrait	de	l'	huile	de	la	datte	lekolo	</S>
l	0.356517	0.166503	0.215244	0.0893865	0.120934	0.0383157	0.0123782	1.03529e-05	0.000667611	4.30994e-05
e	0.213718	0.184927	0.268789	0.248185	0.0313574	0.0359817	0.00915494	0.000112116	0.00291784	0.00485715
k	0.0650203	0.411707	0.21482	0.205705	0.0383227	0.0373452	0.0047314	0.00400946	0.00598249	0.0123562
ó	0.010281	0.610424	0.149734	0.0921624	0.0295821	0.0431668	0.00386339	0.0131784	0.0215223	0.0260864
l	0.0277947	0.590859	0.150891	0.152176	0.0209685	0.0315342	0.00263364	0.00456148	0.000851867	0.017729
o	0.0822399	0.465902	0.1418	0.140364	0.0379184	0.0731712	0.0110891	0.00531902	0.0036974	0.0384996
b	0.222023	0.0540767	0.2181	0.148148	0.131927	0.13894	0.0727012	0.00385953	0.000941824	0.00928328
á	0.31826	0.0234192	0.10444	0.113054	0.0785407	0.16389	0.102021	0.00119195	0.016935	0.0782477
a	0.188062	0.0107859	0.084278	0.0712832	0.41275	0.124525	0.0701822	0.0136094	0.00911276	0.0154114
t	0.0223862	0.0555927	0.0413234	0.0422959	0.032983	0.119355	0.0422094	0.624926	0.00426452	0.0146642
s	0.000789805	0.0356167	0.00952015	0.0111175	0.0100417	0.0301807	0.00773363	0.876736	0.00944409	0.00881965
w	0.0128968	0.0643825	0.0872943	0.12241	0.0664091	0.197737	0.0461523	0.318959	0.0658111	0.0179483
á	0.00844902	0.0236228	0.0596373	0.106636	0.113771	0.226785	0.121104	0.168695	0.0917158	0.0795847
a	0.0062807	0.00107077	0.011047	0.0326665	0.122786	0.112917	0.421085	0.106151	0.0853298	0.100665
w	0.0422402	0.0147589	0.0274353	0.0344139	0.0630234	0.0915064	0.121447	0.284994	0.177617	0.142565
ú	0.00319809	0.0138567	0.0141298	0.0166157	0.0181154	0.040533	0.0396849	0.264461	0.479644	0.109761
r	0.00128825	0.00197919	0.0108473	0.0400151	0.00713826	0.0299386	0.0518343	0.202983	0.258283	0.395693
a	0.00641303	0.00218397	0.0221745	0.13695	0.031798	0.0971478	0.254758	0.0540307	0.144259	0.250284
</S>	0.00610574	0.00210737	0.012683	0.0329556	0.0167854	0.0525188	0.130898	0.0278154	0.0796012	0.63853
