 	c'	est	donc	toi	qui	a	occupé	cette	parcelle	</S>
m	0.612113	0.148503	0.0604896	0.101374	0.017829	0.0262499	0.0132942	0.0142722	0.00451161	0.00136452
o	0.087405	0.0735834	0.0527599	0.194023	0.166261	0.171882	0.0124554	0.0421664	0.0235953	0.175869
r	0.339943	0.182636	0.182798	0.0169629	0.0358767	0.0750164	0.0441561	0.0102549	0.0282227	0.0841334
o	0.144078	0.062408	0.0831004	0.0708128	0.150754	0.169458	0.0581231	0.0712913	0.146146	0.0438272
y	0.283285	0.175675	0.296395	0.044006	0.0687467	0.0597071	0.0192206	0.0189185	0.00528503	0.0287604
e	0.305901	0.312554	0.169925	0.0153107	0.0463776	0.0462967	0.00743956	0.0357013	0.0378776	0.0226164
e	0.311367	0.110534	0.0994985	0.181718	0.121846	0.0938848	0.00350833	0.0523667	0.0102923	0.014984
b	0.0137108	0.0178086	0.0481096	0.0133382	0.0581516	0.156326	0.223961	0.0604312	0.0873767	0.320786
a	0.0104549	0.0108525	0.00416263	0.00779757	0.015634	0.102803	0.43534	0.0673369	0.0500444	0.295573
n	0.00165917	0.00217236	0.0014017	0.00683703	0.0269006	0.101048	0.621862	0.0671788	0.0343464	0.136593
d	0.029519	0.0226101	0.0148443	0.0444621	0.0729014	0.086754	0.330143	0.119095	0.0664957	0.213175
í	0.0261661	0.0289378	0.00740553	0.0189538	0.0495667	0.0528381	0.254824	0.096388	0.133842	0.331078
e	0.0312529	0.0493192	0.0401875	0.101443	0.116853	0.147334	0.0342925	0.410613	0.0428456	0.0258596
f	0.00325682	0.00454618	0.00493873	0.0269262	0.0607476	0.111632	0.118046	0.121241	0.329038	0.219627
u	0.00284607	0.00391885	0.00173943	0.0121848	0.0227036	0.0593932	0.218785	0.132701	0.265479	0.28025
n	0.00154244	0.0021301	0.000523101	0.0318249	0.062501	0.0839239	0.163109	0.22157	0.204295	0.22858
d	0.00526123	0.0055623	0.00228459	0.147194	0.130989	0.0710667	0.12807	0.111705	0.333077	0.0647906
u	0.0113128	0.0139853	0.00437486	0.0299816	0.109851	0.0588853	0.118419	0.153991	0.346388	0.152811
y	0.00845691	0.0127054	0.0120163	0.0532893	0.0978082	0.109153	0.0226754	0.355417	0.0706191	0.257859
é	0.0308398	0.0403426	0.00319387	0.0117381	0.097739	0.0633385	0.0157391	0.155287	0.446333	0.135449
l	0.0141304	0.0107195	0.00283648	0.0130645	0.0454775	0.0630393	0.0111192	0.206104	0.190471	0.443038
í	0.00106371	0.00113083	0.000281798	0.00099674	0.00541552	0.00755699	0.00527421	0.0393673	0.0701335	0.868779
n	0.00083708	0.00188431	0.00058616	0.00774175	0.0313265	0.044093	0.00781923	0.322257	0.0655771	0.517878
ω	0.0010522	0.00243263	0.00147497	0.00512341	0.0454146	0.0284538	0.00236734	0.081561	0.0836515	0.748469
</S>	6.88764e-05	0.000343396	0.000397371	0.00137638	0.0135478	0.0195048	0.00315779	0.0648331	0.0744707	0.8223
