 	la	mère	maudit	son	enfant	</S>
n	0.952768	0.0228667	0.0119583	0.0118244	0.000445518	0.000136931
g	0.306517	0.680446	0.0017289	0.0110008	0.00024374	6.35562e-05
ó	0.0328285	0.963066	0.000536929	0.000669029	0.00287768	2.23603e-05
o	0.0376079	0.948052	0.00514475	0.00455663	0.00434567	0.000293367
á	0.471275	0.175842	0.229917	0.0781105	0.00945111	0.0354046
s	0.034628	0.0656702	0.812161	0.03445	0.00219716	0.0508937
i	0.013859	0.041419	0.886376	0.0299384	0.00305327	0.0253542
i	0.0164771	0.00399535	0.88335	0.0411994	0.00139559	0.0535821
m	0.0161519	0.00127562	0.354836	0.527601	0.0455504	0.0545851
w	0.00194453	7.18556e-05	0.0162677	0.033209	0.923278	0.0252289
á	0.000300844	4.06519e-05	0.0175063	0.0041279	0.97645	0.00157414
n	0.0145333	5.21852e-05	0.00137197	0.0277318	0.953468	0.00284256
a	0.0222029	0.00240973	0.0549259	0.146739	0.744696	0.0290268
p	0.00924868	0.00100282	0.349576	0.444825	0.00542995	0.189918
a	0.0450078	0.00097829	0.252062	0.280226	0.0735645	0.348161
a	0.000772573	0.000371196	0.22329	0.135977	0.00608316	0.633506
n	0.00125699	0.000350994	0.0585149	0.276909	0.00120335	0.661765
á	0.0296207	0.00548863	0.0205434	0.551625	0.0299136	0.362808
</S>	0.00312307	0.000191934	0.0154828	0.386221	0.0112144	0.583767
