 	il	fait	toujours	attention	à	sa	petite	soeur	</S>
w	0.658774	0.128562	0.0531018	0.0377119	0.041113	0.0344895	0.0426246	0.00294686	0.000675785
a	0.564681	0.0626397	0.015285	0.0245344	0.0842047	0.0691285	0.133618	0.0454837	0.000425214
a	0.11335	0.325465	0.127051	0.138894	0.0812644	0.0688654	0.0518398	0.00717453	0.0860965
d	0.0535935	0.33896	0.223238	0.0813064	0.0440276	0.0373059	0.0578407	0.0374499	0.126278
í	0.0693766	0.37907	0.214478	0.0524564	0.0390892	0.0310787	0.00877731	0.00292137	0.202753
í	0.0152549	0.0631185	0.226623	0.114837	0.0811775	0.0567963	0.0424362	0.0168521	0.382904
p	0.0309347	0.0680504	0.41752	0.223736	0.082548	0.0449883	0.0205003	0.024604	0.0871188
ó	0.00297731	0.0708849	0.0954948	0.49365	0.102002	0.100671	0.0170287	0.0695652	0.047726
s	0.0139106	0.0730729	0.158091	0.39183	0.11443	0.0886619	0.0295695	0.0495086	0.0809255
á	0.0104829	0.0946855	0.24575	0.369055	0.123415	0.104816	0.019184	0.0106015	0.0220108
b	0.0128115	0.00749137	0.100197	0.200831	0.228092	0.173405	0.156684	0.0770271	0.0434611
o	0.00872948	0.0224451	0.0609281	0.21012	0.0681136	0.097083	0.0575949	0.410511	0.0644752
l	0.000979337	0.00626632	0.0481713	0.180215	0.11507	0.13494	0.0330555	0.389546	0.0917568
a	0.00564013	0.0179852	0.0799296	0.0643127	0.150903	0.173805	0.0804303	0.301802	0.125192
w	0.00264313	0.00422946	0.0203834	0.0143829	0.0756522	0.150772	0.171718	0.370599	0.189619
a	0.0222806	0.0235292	0.0666947	0.0901196	0.176969	0.231351	0.209365	0.102873	0.0768183
m	0.00539537	0.00279867	0.0243214	0.02381	0.117001	0.217293	0.259193	0.177093	0.173093
έ	0.0101749	0.013039	0.0349667	0.0181072	0.141078	0.261551	0.412981	0.0162231	0.0918784
n	0.00189033	0.00412814	0.0191839	0.0146742	0.119002	0.237785	0.375621	0.110175	0.117541
d	0.00178495	0.00519127	0.0175837	0.00334288	0.0366582	0.102165	0.274095	0.0425108	0.516668
e	0.000907939	0.00269786	0.00754915	0.00328703	0.017267	0.0519865	0.0543524	0.0857216	0.77623
</S>	0.000275587	0.00201181	0.00580768	0.00424829	0.026729	0.0727624	0.0400771	0.0234522	0.824636
