 	aujourd'	hui	ma	femme	et	moi	allons	comparaître	devant	les	juges	</S>
a66	0.0369197	0.0400594	0.0640951	0.0974916	0.279293	0.29095	0.135297	0.033396	0.00834953	0.00539331	0.00484671	0.00390926
a87	0.165067	0.0980441	0.0827641	0.0856855	0.133681	0.126105	0.0753508	0.0474165	0.0456699	0.0303871	0.0486853	0.0611436
a10	0.223742	0.131046	0.0960764	0.0635644	0.0717139	0.0938701	0.0662784	0.0301533	0.0586248	0.0384368	0.0593831	0.0671107
a97	0.239438	0.1781	0.13538	0.0751455	0.0621891	0.0728121	0.0765356	0.0525445	0.048931	0.0188245	0.0207711	0.0193283
a23	0.181823	0.131302	0.093353	0.0556702	0.0634085	0.0866221	0.0904113	0.0753736	0.0836663	0.0403723	0.0490651	0.0489334
a50	0.139654	0.1043	0.0927199	0.0652474	0.07153	0.110246	0.139537	0.108679	0.0821583	0.0304127	0.0301995	0.0253166
a0	0.0905272	0.0828012	0.0736517	0.0737317	0.120793	0.168909	0.173362	0.153314	0.0334964	0.00955733	0.0100502	0.00980697
a75	0.210239	0.133888	0.0800664	0.0667098	0.0843431	0.0984379	0.110984	0.129659	0.0445437	0.0149365	0.0152465	0.010947
a85	0.140605	0.0998773	0.0811146	0.0796495	0.0983746	0.108255	0.111285	0.163938	0.0483617	0.023376	0.0250181	0.0201447
a79	0.12953	0.100222	0.0794834	0.0825699	0.102923	0.118254	0.111657	0.123489	0.0512505	0.0364433	0.0343334	0.0298445
a37	0.0953453	0.0989733	0.105599	0.117347	0.127368	0.123524	0.10338	0.100635	0.0500571	0.0292105	0.0251836	0.0233762
a98	0.0981689	0.0859633	0.0934738	0.108855	0.114155	0.114918	0.108724	0.111944	0.0668486	0.0454379	0.0300857	0.0214254
a0	0.04838	0.0630011	0.0762768	0.0906847	0.101694	0.113532	0.103738	0.119183	0.0866182	0.0732417	0.0645822	0.0590681
a56	0.071462	0.0886019	0.103332	0.107299	0.0955489	0.0831815	0.0684932	0.0834282	0.0730271	0.0771261	0.0693791	0.0791204
a61	0.0690134	0.0825311	0.0922006	0.103645	0.106237	0.0970031	0.0729368	0.0744472	0.0714149	0.0951011	0.0756951	0.0597747
a21	0.0424274	0.0589627	0.0778849	0.0950779	0.104071	0.0998886	0.0777672	0.084667	0.0838232	0.109292	0.0938517	0.0722861
a43	0.0413878	0.0591895	0.0930693	0.109238	0.12446	0.100813	0.0596614	0.0556013	0.0610816	0.102134	0.102404	0.0909591
a75	0.0239919	0.0323133	0.050986	0.0744851	0.0922651	0.0942226	0.0702516	0.0789712	0.0880326	0.135	0.135263	0.124218
a79	0.0130061	0.0172202	0.0278238	0.0394184	0.0481119	0.0451442	0.036477	0.0730624	0.0845185	0.149572	0.190146	0.275499
a37	0.0090785	0.0121551	0.0191874	0.0309425	0.0444409	0.0473087	0.0350496	0.0693432	0.0875751	0.152631	0.197147	0.29514
a93	0.0113468	0.0137143	0.0195969	0.0336305	0.0532721	0.0623296	0.0474369	0.080097	0.0948828	0.152495	0.180587	0.250612
a94	0.0205131	0.0233579	0.030889	0.0493879	0.0744788	0.0836406	0.0611155	0.08334	0.0964803	0.135711	0.152271	0.188815
a70	0.0122874	0.0135898	0.0161625	0.0261241	0.0368063	0.0450406	0.0409729	0.0817121	0.107498	0.165931	0.192277	0.261599
a0	0.00594405	0.00622681	0.00654927	0.00954752	0.0107574	0.0137219	0.0167891	0.0552916	0.0876215	0.178284	0.240081	0.369186
a11	0.00436762	0.00433885	0.00434556	0.00581582	0.00628334	0.00846565	0.0117272	0.0418218	0.0667979	0.150787	0.249083	0.446166
a54	0.00336482	0.00312712	0.00283822	0.00332908	0.00352116	0.00466271	0.00471689	0.0168624	0.0315591	0.117428	0.234285	0.574306
a47	0.00116996	0.00109707	0.0010113	0.0013874	0.00176469	0.00303173	0.00391961	0.0226985	0.0420922	0.120132	0.24573	0.555966
a36	0.000841221	0.000740412	0.000609217	0.000711504	0.000990364	0.00187331	0.00186158	0.0168913	0.0339918	0.106572	0.240276	0.594641
a6	0.00262599	0.00179451	0.00116064	0.00125291	0.00154856	0.00252206	0.00278715	0.0136505	0.0283651	0.093971	0.191101	0.659221
a37	0.000681193	0.000486968	0.000301194	0.000336675	0.000392426	0.000812265	0.000974092	0.00908703	0.0205667	0.062277	0.194679	0.709405
