 	elle	changea	d'	avis	et	rentra	chez	son	mari	</S>
a23	0.302527	0.159297	0.0749341	0.0766183	0.0683132	0.0637152	0.0647515	0.0644441	0.0628217	0.0625778
a10	0.253543	0.13822	0.0903124	0.100982	0.0799041	0.0661423	0.0641124	0.065674	0.0678154	0.0732947
a30	0.134985	0.109253	0.113209	0.141039	0.121362	0.08952	0.0703496	0.0682893	0.0700603	0.081934
a87	0.1218	0.12264	0.137173	0.125924	0.0920478	0.0683189	0.0626454	0.0698465	0.0853869	0.114218
a23	0.134231	0.148137	0.157515	0.140452	0.11183	0.0682186	0.0535429	0.0531393	0.057665	0.075269
a79	0.119794	0.130139	0.164207	0.146886	0.101098	0.0685529	0.0568997	0.058956	0.0665684	0.0868989
a20	0.465107	0.295702	0.106501	0.0516805	0.0229303	0.0107755	0.00709155	0.00841608	0.0121141	0.0196824
a94	0.442452	0.270329	0.115961	0.073832	0.0373299	0.0176784	0.0105121	0.00997711	0.0103172	0.0116114
a58	0.376436	0.241003	0.128427	0.0951755	0.0552424	0.0285245	0.0176098	0.0172786	0.01877	0.0215327
a38	0.342761	0.234863	0.127657	0.0888795	0.0577878	0.0329739	0.0218669	0.0237282	0.0303882	0.0390945
a94	0.248732	0.209504	0.146929	0.119698	0.0872758	0.0513781	0.0300411	0.0293107	0.0352	0.0419309
a32	0.244489	0.21239	0.15448	0.127023	0.0880575	0.0492519	0.0281595	0.0266401	0.0321887	0.0373202
a75	0.197598	0.19218	0.164323	0.15023	0.102836	0.052654	0.0295402	0.0285652	0.0366164	0.0454565
a25	0.174676	0.164397	0.15579	0.146652	0.106876	0.0674338	0.0445442	0.0403865	0.0457919	0.0534521
a90	0.138514	0.144128	0.159804	0.164963	0.118338	0.0745284	0.049459	0.0437085	0.0494831	0.0570734
a38	0.123171	0.126845	0.136626	0.148133	0.123281	0.0886054	0.0677017	0.0583857	0.0598761	0.0673754
a75	0.0860244	0.0758788	0.0720649	0.100453	0.119695	0.11045	0.100191	0.0939263	0.108273	0.133043
a41	0.0824453	0.0660341	0.0523038	0.0683272	0.0834741	0.095414	0.114601	0.123481	0.143616	0.170303
a35	0.0619116	0.048712	0.0390602	0.0564483	0.0823226	0.110071	0.136101	0.133582	0.149725	0.182066
a73	0.0471514	0.0394514	0.0285562	0.0358006	0.0466412	0.083182	0.1429	0.1624	0.191562	0.222354
a94	0.0558242	0.0503703	0.0372534	0.0480135	0.0572678	0.0997782	0.157221	0.150665	0.16067	0.182937
a98	0.0598219	0.0557752	0.0393405	0.0455947	0.0439092	0.0721404	0.139549	0.147639	0.175427	0.220804
a90	0.0425342	0.0389546	0.0273025	0.0306088	0.036309	0.0747285	0.14302	0.16686	0.203297	0.236385
a98	0.0691126	0.067689	0.0479752	0.0533255	0.0612726	0.106937	0.177779	0.147407	0.128332	0.140171
a99	0.0377174	0.0343166	0.0266045	0.0302816	0.0361447	0.0753419	0.156858	0.173955	0.200544	0.228236
a4	0.0327126	0.0291765	0.0240992	0.0303471	0.0394987	0.0789193	0.173126	0.183217	0.192491	0.216412
a57	0.0516301	0.0486534	0.0374074	0.037909	0.041167	0.061913	0.139933	0.16947	0.185052	0.226865
a82	0.0408421	0.0414786	0.0321376	0.032428	0.0351489	0.0579783	0.125037	0.166959	0.197927	0.270063
a87	0.0334642	0.0316351	0.0216785	0.0222435	0.0225344	0.0489729	0.136662	0.179176	0.211782	0.291851
a40	0.0195916	0.0159365	0.0134879	0.0163428	0.0216358	0.0518935	0.13569	0.184303	0.234393	0.306726
a30	0.0202775	0.0143109	0.0101226	0.00963201	0.00935374	0.017358	0.0599014	0.134172	0.262176	0.462696
a73	0.00819319	0.00691867	0.00556094	0.00622929	0.00895947	0.0242525	0.090912	0.179539	0.278896	0.390539
a44	0.00481187	0.00503912	0.00424037	0.00520457	0.00715757	0.0216488	0.0908987	0.176932	0.28547	0.398597
a13	0.00801875	0.00745746	0.00591775	0.00629611	0.00739359	0.0183783	0.0777776	0.162802	0.277237	0.428721
a90	0.00534144	0.00450523	0.00418704	0.00476603	0.00575192	0.0131376	0.0567816	0.148597	0.29726	0.459672
a56	0.0118759	0.0104757	0.00807119	0.00759666	0.00786618	0.0152279	0.0601837	0.143655	0.289159	0.445889
a35	0.00961089	0.00816428	0.00749736	0.00791501	0.00803149	0.0132023	0.0467684	0.124201	0.29424	0.480369
a75	0.00805207	0.00610924	0.00547234	0.00598621	0.00578981	0.00998315	0.0396993	0.118547	0.304211	0.496151
a56	0.0091334	0.00694614	0.00622018	0.00722375	0.00742843	0.0119772	0.0450764	0.122717	0.29745	0.485827
a90	0.00814729	0.00671534	0.00671039	0.00820798	0.00870682	0.0138035	0.0462396	0.118818	0.287037	0.495615
a35	0.0137529	0.0115767	0.0109708	0.0121425	0.0116859	0.0164534	0.0437863	0.109064	0.276248	0.494319
