 	je	le	trouve	bien	jeune	pour	cela	</S>
a23	0.398698	0.199678	0.132376	0.0904977	0.0535882	0.0393539	0.0374033	0.0484052
a87	0.601451	0.187226	0.0851085	0.0439646	0.0252281	0.0165764	0.0163358	0.0241097
a23	0.407377	0.24199	0.116844	0.0540899	0.0339455	0.0326615	0.0424143	0.0706783
a20	0.486284	0.23245	0.0907793	0.0367367	0.0207072	0.0212334	0.0363708	0.0754385
a94	0.533206	0.169914	0.0944022	0.0572464	0.0544819	0.0408786	0.0269982	0.0228732
a24	0.368243	0.28561	0.201181	0.0803201	0.0326316	0.0147133	0.00887259	0.00842815
a88	0.264714	0.253364	0.207044	0.133605	0.0747755	0.0337688	0.0171924	0.0155359
a25	0.184111	0.220901	0.208065	0.168965	0.10919	0.0555206	0.0286563	0.0245906
a38	0.121617	0.186146	0.203928	0.220745	0.134551	0.0642104	0.0354879	0.0333147
a73	0.129446	0.164283	0.184436	0.23147	0.13711	0.0706394	0.042343	0.0402708
a76	0.157484	0.197287	0.20036	0.211986	0.105374	0.0549251	0.0365978	0.0359856
a73	0.111944	0.118239	0.128658	0.18486	0.155527	0.119891	0.0929209	0.0879601
a84	0.0987103	0.0989915	0.107201	0.162688	0.154151	0.147602	0.11932	0.111336
a38	0.0459746	0.0447308	0.0526518	0.102465	0.113644	0.168411	0.208271	0.263852
a21	0.0670739	0.0560313	0.05396	0.0856807	0.101898	0.144697	0.197106	0.293553
a12	0.0402903	0.0324098	0.0317571	0.0598653	0.10865	0.211513	0.264405	0.251109
a18	0.0287138	0.0232732	0.0230226	0.0383493	0.0754639	0.172194	0.289653	0.349329
a24	0.0626597	0.0423233	0.0341811	0.0353989	0.0514352	0.107731	0.237007	0.429264
a18	0.0601302	0.0398247	0.0321919	0.0358551	0.0527332	0.108784	0.237914	0.432567
a94	0.0509654	0.0282083	0.021329	0.0225901	0.0365963	0.0870075	0.237144	0.516159
a11	0.0566711	0.0260455	0.0189772	0.0226445	0.0365597	0.0883536	0.220922	0.529827
a41	0.0281113	0.0116699	0.00826403	0.0119395	0.0230371	0.0704562	0.228314	0.618207
a12	0.00752939	0.00275575	0.00243162	0.00609684	0.0181465	0.0750047	0.260927	0.627108
a43	0.0100919	0.00432942	0.00378398	0.00793933	0.018173	0.0650293	0.236835	0.653818
a47	0.0080222	0.00372986	0.00336242	0.00663473	0.0162614	0.0609268	0.235975	0.665088
a96	0.0167098	0.00863158	0.00719303	0.0118635	0.0245571	0.0764113	0.247093	0.607541
a12	0.0183379	0.00794025	0.00669933	0.0110256	0.0247408	0.0786941	0.246101	0.606461
a90	0.0157174	0.00659044	0.00565425	0.010083	0.0220937	0.0712482	0.238315	0.630298
a76	0.0110539	0.00549548	0.00550669	0.0106271	0.0265591	0.0791266	0.245162	0.616469
a94	0.0136784	0.00666269	0.00671807	0.0153377	0.0406931	0.10587	0.254919	0.55612
a58	0.0120213	0.00489167	0.00456269	0.00857503	0.0225974	0.0736827	0.241288	0.632381
a11	0.00427929	0.00178531	0.00196489	0.00488674	0.0148437	0.0602892	0.235394	0.676557
a31	0.0105995	0.00459687	0.00418793	0.0079247	0.0192629	0.0642886	0.21814	0.670999
a24	0.0152543	0.00555984	0.00433405	0.00704187	0.0164223	0.0531562	0.205716	0.692515
a9	0.0104247	0.00449453	0.00396543	0.00667533	0.0159575	0.0572263	0.224386	0.676871
a87	0.00401266	0.00242825	0.00323902	0.00880683	0.0223256	0.0737573	0.233685	0.651745
</S>	0.00825894	0.004193	0.00460967	0.00966274	0.0172937	0.0519508	0.191607	0.712424
