 	as-tu	déjà	rendu	mon	parapluie	</S>
a87	0.302968	0.230426	0.186745	0.147346	0.0886704	0.0438452
a10	0.213559	0.165722	0.159163	0.181951	0.164262	0.115344
a50	0.337984	0.246812	0.13108	0.0831874	0.0877149	0.113221
a34	0.452867	0.269097	0.139528	0.0748493	0.0310785	0.0325807
a75	0.527323	0.306903	0.112113	0.033115	0.0120391	0.00850743
a56	0.484966	0.279947	0.128618	0.0504894	0.0261512	0.0298282
a96	0.398318	0.322649	0.172992	0.0517504	0.0300309	0.0242592
a34	0.303342	0.326317	0.213841	0.0764651	0.0472153	0.03282
a47	0.289499	0.289947	0.234488	0.103516	0.0467047	0.035845
a31	0.254414	0.288229	0.229946	0.117258	0.0720163	0.0381369
a0	0.150654	0.201071	0.247991	0.184276	0.13893	0.0770782
a75	0.0920395	0.132171	0.199907	0.210853	0.227291	0.137738
a56	0.0874002	0.127803	0.215061	0.231221	0.214359	0.124156
a93	0.0482775	0.0714029	0.161768	0.247011	0.300686	0.170854
a13	0.0442938	0.0649996	0.147789	0.235057	0.292277	0.215583
a11	0.0132833	0.0216791	0.0686006	0.179955	0.369124	0.347358
a0	0.00648643	0.010661	0.0366379	0.110123	0.368189	0.467902
a75	0.00395044	0.00635434	0.0227632	0.0785722	0.353399	0.534961
a21	0.00798637	0.00942634	0.0214551	0.0638961	0.307931	0.589305
a62	0.00612779	0.00782888	0.0195554	0.0637317	0.330613	0.572143
a50	0.00407725	0.00532551	0.01306	0.0482498	0.319871	0.609417
a21	0.00224888	0.00293685	0.00779166	0.0414756	0.354174	0.591373
a62	0.00436207	0.00488662	0.0117938	0.0518076	0.325618	0.601532
a34	0.00237987	0.00297192	0.0078643	0.0397765	0.328506	0.618502
a75	0.00219934	0.00288438	0.00921695	0.0497098	0.337324	0.598665
a5	0.0012338	0.00171515	0.00578297	0.0339893	0.298671	0.658608
a12	0.00161374	0.00198172	0.00628156	0.0367334	0.309664	0.643725
a62	0.00187139	0.00196857	0.00533596	0.0323676	0.272699	0.685757
a75	0.00415759	0.00431366	0.010718	0.0514122	0.296752	0.632647
a85	0.00304	0.00353974	0.0116012	0.0629326	0.325451	0.593436
a37	0.00295771	0.00351965	0.0109299	0.0617742	0.376258	0.54456
a27	0.00203184	0.00259076	0.00756714	0.0446322	0.283345	0.659833
a10	0.0194356	0.0190759	0.0344446	0.104184	0.304861	0.517999
a87	0.0456195	0.0399978	0.0437452	0.0932757	0.357213	0.420149
a10	0.0463326	0.0393784	0.0442073	0.106438	0.394803	0.368842
a9	0.0254071	0.0252411	0.0383685	0.103584	0.427091	0.380308
a38	0.016104	0.0209367	0.0374435	0.0830091	0.382627	0.45988
a82	0.0107523	0.0143592	0.027161	0.0644212	0.385363	0.497943
a9	0.0258756	0.0307688	0.0447662	0.0856393	0.356819	0.456132
a10	0.0209872	0.025117	0.0419026	0.0904849	0.354304	0.467205
a83	0.0308785	0.0335058	0.0459335	0.0889821	0.327731	0.472969
a11	0.0146325	0.0147874	0.0303979	0.0715142	0.280309	0.588359
a43	0.00746873	0.0082657	0.0203511	0.0555775	0.256155	0.652182
a27	0.0026191	0.00338935	0.0119685	0.0490175	0.272487	0.660519
a82	0.00471532	0.00633397	0.0182829	0.0623336	0.297787	0.610547
a10	0.0127631	0.0152729	0.0336781	0.0812515	0.283646	0.573389
a11	0.0229358	0.0222745	0.0397834	0.0867849	0.276502	0.551719
</S>	0.0123566	0.0118664	0.0283662	0.0744415	0.296693	0.576277
