 	asenza	est	un	imbécile	comment	est-il	incapable	de	résoudre	cette	affaire	</S>
a66	0.186817	0.0965853	0.0897661	0.17839	0.190925	0.10141	0.046958	0.0405653	0.0238153	0.0196992	0.0173992	0.00767044
a87	0.0813747	0.0700626	0.0795818	0.152097	0.193987	0.207115	0.0840794	0.0594278	0.0312426	0.0188001	0.0146113	0.00762163
a40	0.0840887	0.0944191	0.144739	0.253225	0.186778	0.139248	0.0441151	0.0191807	0.0107496	0.00830415	0.00782061	0.00733175
a0	0.107664	0.0630941	0.0630167	0.180732	0.221928	0.13455	0.0710731	0.0505654	0.0288404	0.0262563	0.0307172	0.0215625
a47	0.0906059	0.0590702	0.0551525	0.164143	0.328864	0.137262	0.0271283	0.0176567	0.0229907	0.0265115	0.0330781	0.0375375
a18	0.0859227	0.0675566	0.0865575	0.155752	0.257611	0.125353	0.0366436	0.0235401	0.0236751	0.0329362	0.0473638	0.057089
a75	0.0738422	0.0710299	0.087849	0.120741	0.183829	0.122996	0.0587407	0.0417743	0.0394671	0.0524915	0.066634	0.0806051
a85	0.0894512	0.0914375	0.130816	0.12987	0.172976	0.126491	0.040581	0.0355509	0.0253147	0.0419718	0.0504164	0.0651231
a5	0.0989563	0.101599	0.142261	0.124054	0.141269	0.105412	0.0369849	0.0353341	0.0283349	0.0496938	0.0606488	0.075452
a43	0.128125	0.113292	0.154371	0.127766	0.140105	0.117469	0.0420796	0.0333659	0.025102	0.032503	0.0386374	0.0471831
a88	0.0835516	0.0906509	0.121979	0.101543	0.107665	0.103998	0.0523681	0.0417568	0.0505877	0.0651936	0.0799188	0.100787
a11	0.0481195	0.0602183	0.0864511	0.086982	0.0997157	0.110619	0.0710542	0.0534278	0.0754532	0.0926302	0.096601	0.118728
a70	0.0250196	0.0315666	0.0521456	0.0766536	0.091573	0.110354	0.0853294	0.0648339	0.0894128	0.106446	0.111707	0.154959
a66	0.0326586	0.0348421	0.0454523	0.0554205	0.0595105	0.102737	0.0912193	0.0784749	0.100839	0.12146	0.126037	0.15135
a13	0.0141786	0.0217473	0.0392185	0.0729906	0.0812411	0.100324	0.0822712	0.0548445	0.0909034	0.11199	0.128644	0.201647
a9	0.0142755	0.0191137	0.031945	0.0666341	0.0661637	0.100599	0.08543	0.0594564	0.113414	0.125052	0.127992	0.189926
a87	0.0139543	0.0225007	0.04003	0.0956619	0.0762397	0.0983363	0.0528365	0.0408599	0.0816784	0.0949738	0.125727	0.257202
a23	0.019647	0.0251162	0.0437819	0.124343	0.116338	0.133261	0.0660366	0.0617947	0.0605055	0.0718111	0.101259	0.176106
a99	0.007468	0.0143446	0.0352602	0.0874086	0.0759427	0.0686131	0.055633	0.0642565	0.0943644	0.116469	0.151368	0.228872
a24	0.00161435	0.00438152	0.00901042	0.0172819	0.02181	0.0209356	0.0396347	0.0549454	0.140764	0.192026	0.209589	0.288007
a31	0.000643718	0.00149802	0.00350381	0.00813011	0.0092969	0.0107875	0.0267824	0.0369358	0.126383	0.18795	0.197923	0.390166
a76	0.00295207	0.00476661	0.00807237	0.0124093	0.0125047	0.0114038	0.0215557	0.0403439	0.0850184	0.137915	0.214096	0.448962
a98	0.00386206	0.00613659	0.00869147	0.0148845	0.0111222	0.0115903	0.0173277	0.0323063	0.0989211	0.142822	0.210329	0.442007
a6	0.00211834	0.00341607	0.00398711	0.00519516	0.00455527	0.00497965	0.00887922	0.0163595	0.0834377	0.141726	0.204029	0.521317
a41	0.00186107	0.00234279	0.00281298	0.00345126	0.00277083	0.00376737	0.00717505	0.0133252	0.0864289	0.122659	0.171972	0.581433
a25	0.000950413	0.00126436	0.00142759	0.00152086	0.00110057	0.00171482	0.00519886	0.0110723	0.0977445	0.128029	0.170388	0.579588
a79	0.00085656	0.00150108	0.00153791	0.0014177	0.00107165	0.00155872	0.00499804	0.0106432	0.0919309	0.132205	0.164495	0.587785
a15	0.00109352	0.00181026	0.00223657	0.001892	0.0013143	0.00217619	0.0071928	0.0123487	0.0841593	0.110576	0.140354	0.634846
a98	0.00232949	0.00453182	0.00603659	0.00732263	0.0040643	0.00516577	0.0139211	0.0211766	0.114885	0.125698	0.148875	0.545993
a15	0.00276055	0.00533003	0.00653192	0.007957	0.00447537	0.00492653	0.0134811	0.0205074	0.128723	0.135803	0.151745	0.517758
a73	0.00272313	0.00492511	0.00570711	0.00703467	0.00350048	0.00440907	0.0119726	0.0191999	0.0987889	0.119347	0.14977	0.572622
a75	0.00186192	0.00257025	0.00278555	0.0026435	0.00161385	0.00234642	0.00764355	0.015157	0.0754355	0.103599	0.147724	0.636619
a85	0.00449263	0.00709174	0.00824021	0.0110069	0.00560098	0.00609218	0.0181229	0.0317302	0.134474	0.134205	0.161273	0.47767
a36	0.00404544	0.00743772	0.00791627	0.00772002	0.00418129	0.00533068	0.0157948	0.0264422	0.128957	0.144389	0.159128	0.488657
a27	0.00337859	0.00467683	0.00533644	0.00577799	0.00383837	0.00435518	0.0131039	0.0247245	0.0815436	0.124073	0.168848	0.560344
a57	0.0451288	0.0635399	0.048316	0.0727353	0.0744281	0.0501331	0.0626538	0.0666639	0.0823445	0.103466	0.117981	0.212609
a87	0.110479	0.17441	0.105507	0.0895205	0.0917125	0.0579312	0.074622	0.0609336	0.0558907	0.0483948	0.0502863	0.0803114
a23	0.0740834	0.112027	0.0631574	0.0495171	0.0518845	0.033945	0.0830535	0.0920802	0.108943	0.0833436	0.0813401	0.166625
a87	0.0375101	0.0580441	0.0384886	0.0348031	0.0446796	0.046065	0.126494	0.118209	0.186586	0.100284	0.0786234	0.130213
</S>	0.0149649	0.0214309	0.0155762	0.0169241	0.0234741	0.024202	0.078465	0.0856554	0.172063	0.146455	0.124985	0.275804
