 	elle	oint	le	fétiche	avec	de	la	poudre	de	bois	rouge	et	de	l'	huile	</S>
a87	0.20229	0.212628	0.0870082	0.0601737	0.046855	0.0374654	0.0334699	0.0376891	0.0540252	0.0487821	0.0471975	0.032807	0.0296532	0.0269212	0.0221335	0.020901
a23	0.193662	0.127075	0.0881239	0.078383	0.0701122	0.0656407	0.06128	0.0490948	0.0511678	0.0350189	0.0360806	0.0290772	0.0277322	0.0269364	0.0282459	0.0323685
a79	0.0983479	0.0690954	0.0693064	0.0768253	0.0946582	0.0924488	0.0724408	0.0582154	0.058854	0.0458052	0.0430011	0.0350357	0.0375202	0.0443878	0.0471264	0.0569316
a20	0.206417	0.196561	0.120573	0.0892979	0.0775737	0.0412796	0.0255089	0.0282101	0.0231082	0.0192816	0.0154056	0.0140366	0.0157768	0.0259242	0.0436154	0.0574299
a44	0.251684	0.215777	0.149673	0.109443	0.0776486	0.0407723	0.0245233	0.0254112	0.0202087	0.0166412	0.0149372	0.0112576	0.010064	0.0105583	0.0104253	0.0109747
a20	0.198461	0.160582	0.135992	0.119496	0.0915842	0.0557023	0.0467334	0.041261	0.0276821	0.0233924	0.0213355	0.0155794	0.0128526	0.0139036	0.0163524	0.0190903
a69	0.0878659	0.102209	0.11705	0.122868	0.10497	0.0731402	0.0730165	0.0631841	0.0455827	0.0413834	0.0389398	0.0286573	0.0219542	0.0217955	0.0260866	0.0312978
a4	0.0769714	0.0921834	0.107247	0.109753	0.0991228	0.0762397	0.0769759	0.0680268	0.0487545	0.045339	0.0431105	0.03195	0.0236541	0.025166	0.0336598	0.0418462
a53	0.0941114	0.10159	0.112279	0.121101	0.0995044	0.0756663	0.0772322	0.0653771	0.0433504	0.03813	0.0354265	0.0248093	0.0181372	0.0202158	0.0305975	0.0424725
a90	0.0695923	0.0820647	0.10254	0.113561	0.101846	0.0803054	0.0824709	0.0744922	0.0525811	0.046572	0.0422032	0.0305393	0.0217404	0.0237799	0.0333662	0.0423457
a32	0.081152	0.0873341	0.107316	0.112161	0.0985142	0.0790677	0.0786975	0.0731093	0.0559869	0.0476198	0.0432549	0.0326818	0.0226698	0.0211041	0.0264799	0.0328507
a20	0.0561828	0.0628283	0.080346	0.101722	0.10173	0.0876669	0.087201	0.0744765	0.0559457	0.0496625	0.0448244	0.0366782	0.0299536	0.0320144	0.0437845	0.0549832
a76	0.0534278	0.0557588	0.0705374	0.0907338	0.101142	0.0906787	0.0872759	0.0764531	0.0584646	0.0540105	0.047298	0.0396528	0.0342466	0.0359028	0.0465333	0.0578844
a94	0.057879	0.0514625	0.0646638	0.0761794	0.0925754	0.0917744	0.0893875	0.0766559	0.0651283	0.0605712	0.053979	0.0461613	0.0414297	0.0386996	0.0429639	0.0504888
a98	0.044467	0.046929	0.0592523	0.0764179	0.0951121	0.0960268	0.0913771	0.0815747	0.0647375	0.0601061	0.0525093	0.045768	0.0419967	0.0406404	0.0470272	0.0560579
a73	0.0381496	0.0414045	0.0547337	0.0792877	0.0983446	0.0956561	0.0861179	0.0743787	0.0614667	0.0562908	0.0479018	0.0422491	0.040237	0.0403545	0.0580747	0.0853525
a94	0.0355929	0.0427884	0.0600813	0.0857978	0.100234	0.0949872	0.0835213	0.0780272	0.0641534	0.0583136	0.0480425	0.0423229	0.0399862	0.0396396	0.0542562	0.0722558
a98	0.0281838	0.0350228	0.0483749	0.0638436	0.0783038	0.0881586	0.0892391	0.0818587	0.0694118	0.0653545	0.0558005	0.0492649	0.0479841	0.0479772	0.0634158	0.0878059
a73	0.0267866	0.0299099	0.0358182	0.0437783	0.0578557	0.074417	0.0736054	0.0614438	0.0576529	0.0576634	0.0505385	0.0513529	0.0622325	0.0709562	0.10092	0.145068
a84	0.0275888	0.0352031	0.0396741	0.0519771	0.0726272	0.0845452	0.0791387	0.0716933	0.0640019	0.0631667	0.0546194	0.0531685	0.058429	0.0621683	0.0794951	0.102504
a57	0.0146083	0.0284578	0.0436449	0.062142	0.0661229	0.0733774	0.0799433	0.0795478	0.0664681	0.0676542	0.0617684	0.0559534	0.0490814	0.0501146	0.0829996	0.118116
