 	celui	qui	se	noie	dans	le	fleuve	ne	sait	pas	nager	</S>
a87	0.167869	0.138592	0.0927807	0.0968992	0.0954445	0.121322	0.107056	0.0922129	0.0480034	0.0173532	0.0120836	0.0103835
a23	0.324364	0.175189	0.0645723	0.044296	0.032619	0.0257117	0.0323253	0.0411228	0.0372254	0.0488707	0.0805409	0.0931631
a30	0.131827	0.119262	0.102695	0.0852228	0.0661199	0.0604312	0.0547666	0.0499057	0.0382803	0.0587913	0.0870334	0.145665
a70	0.155841	0.161087	0.133618	0.0988765	0.0711989	0.0690595	0.0621105	0.0513408	0.0376244	0.0373114	0.052616	0.069316
a61	0.255635	0.255805	0.187678	0.152093	0.0401613	0.0279871	0.0154196	0.0116745	0.0116161	0.0121493	0.0118055	0.0179748
a47	0.208732	0.248519	0.245911	0.174742	0.0407707	0.0293155	0.0155391	0.0103757	0.00789991	0.00639686	0.00496944	0.00682967
a62	0.119583	0.171498	0.238036	0.200289	0.0790338	0.0660428	0.042933	0.0286364	0.018638	0.0142292	0.011412	0.0096687
a0	0.0962198	0.132269	0.219972	0.209336	0.100609	0.0932749	0.062133	0.0355487	0.0204734	0.0125113	0.009512	0.00814129
a75	0.0591878	0.0846037	0.14169	0.15852	0.143481	0.141165	0.108187	0.0645871	0.0398652	0.023673	0.0177676	0.0172731
a5	0.081276	0.127707	0.247025	0.24713	0.0985259	0.0730763	0.0432309	0.0271376	0.0122313	0.011247	0.0155832	0.0158294
a75	0.0734945	0.0940375	0.174665	0.258851	0.13348	0.096913	0.0581301	0.0357768	0.0179655	0.0155672	0.0207886	0.0203313
a5	0.0646588	0.0841198	0.143962	0.224869	0.143727	0.105673	0.0654155	0.0425975	0.0261184	0.0239739	0.0350068	0.0398783
a61	0.0832023	0.0988995	0.141411	0.204208	0.161265	0.124392	0.0710392	0.0431735	0.022578	0.0153441	0.0163632	0.0181234
a62	0.0549783	0.0574787	0.0726262	0.126493	0.19919	0.201153	0.137021	0.0722205	0.0264187	0.0137864	0.017692	0.0209436
a96	0.0478165	0.0495454	0.0582708	0.0913113	0.164952	0.195935	0.159223	0.0981269	0.0413027	0.0259164	0.0309003	0.0366996
a34	0.0418048	0.0409523	0.0466913	0.0707118	0.136407	0.194128	0.197345	0.125902	0.0487382	0.026229	0.0327807	0.0383101
a47	0.0474101	0.0469283	0.0550242	0.0786906	0.122347	0.173518	0.178949	0.119019	0.0585014	0.0348612	0.0386679	0.0460828
a62	0.0519155	0.0461544	0.0455753	0.0602717	0.105326	0.138996	0.167585	0.123418	0.0662135	0.0496393	0.0647033	0.0802023
a56	0.0272681	0.0260161	0.0300421	0.0499504	0.0825287	0.116852	0.166685	0.151211	0.10516	0.0758543	0.0833535	0.0850789
a47	0.0389505	0.0386113	0.0437998	0.0572392	0.0882672	0.113874	0.141497	0.122916	0.0890944	0.0753752	0.0869268	0.103448
a56	0.0242194	0.019767	0.0204269	0.0348691	0.0587521	0.0755223	0.101496	0.0942512	0.0819439	0.10615	0.159063	0.223539
a90	0.0154363	0.0134486	0.0151657	0.0265569	0.0458031	0.0614641	0.0902558	0.0865889	0.0955595	0.131576	0.179475	0.23867
a92	0.00980411	0.00853445	0.00975587	0.0186427	0.0349261	0.0474851	0.0722813	0.0717019	0.0914789	0.151543	0.22127	0.262577
a44	0.0132512	0.0117935	0.0129482	0.0208419	0.0404051	0.0535744	0.0671375	0.0597308	0.0639574	0.105239	0.175883	0.375237
a43	0.00406724	0.00320148	0.00329173	0.00669933	0.0146891	0.0211338	0.0329288	0.0356652	0.0524379	0.118238	0.229643	0.478005
a75	0.00184028	0.00109489	0.000657988	0.000858003	0.00206705	0.00385257	0.0093223	0.0145057	0.0364003	0.0841178	0.252974	0.592309
a92	0.00633466	0.00473742	0.00457807	0.00638092	0.0100746	0.0154212	0.0227869	0.0238126	0.0321872	0.0727536	0.183216	0.617717
a37	0.00510564	0.00405988	0.00392813	0.0059186	0.0114237	0.0145879	0.0177325	0.0169382	0.0227367	0.0621275	0.177065	0.658376
a21	0.00108585	0.000829725	0.000636698	0.000895772	0.00150139	0.00203109	0.00338738	0.00424895	0.00882874	0.0416571	0.188129	0.746768
a12	0.00219099	0.00161084	0.00126549	0.00154185	0.00189525	0.00237423	0.00481441	0.00720127	0.0158138	0.0587162	0.206972	0.695604
a18	0.00309398	0.00224108	0.00157416	0.00165148	0.00199359	0.00257447	0.00529766	0.00799581	0.0183769	0.0622647	0.197464	0.695472
a25	0.00758567	0.0058278	0.00300071	0.00176331	0.00296385	0.00384629	0.00669721	0.00977579	0.0216128	0.08207	0.245432	0.609424
a87	0.0025566	0.00193624	0.0012896	0.000956191	0.00107716	0.00123126	0.00231185	0.00404039	0.0131654	0.0985926	0.298665	0.574178
a23	0.0232486	0.0136792	0.00791183	0.00709098	0.0096806	0.00987654	0.0160288	0.0271998	0.0620175	0.146519	0.308822	0.367925
a87	0.0118037	0.00607336	0.00319421	0.00300746	0.00385422	0.00453493	0.00890781	0.015437	0.0381166	0.133398	0.324268	0.447405
a23	0.00991149	0.00654077	0.00390998	0.0036818	0.00687418	0.00674189	0.00917975	0.013609	0.0260286	0.0960042	0.327403	0.490115
</S>	0.00986214	0.00556749	0.00312378	0.00268682	0.00433317	0.00475089	0.00756446	0.0107417	0.0229307	0.0849251	0.280098	0.563416
