 	elle	a	mis	ses	plus	beaux	atours	pour	aller	à	la	ville	</S>
a23	0.323962	0.181399	0.0946047	0.0491466	0.0328785	0.0266465	0.0325642	0.0441897	0.0431524	0.0366229	0.0403189	0.0404057	0.0541097
a85	0.296813	0.157414	0.0756761	0.0540488	0.0631539	0.0756713	0.0679133	0.0565014	0.0437479	0.0291718	0.0284078	0.0256417	0.025839
a87	0.228652	0.168075	0.113429	0.069058	0.0645519	0.0546987	0.0655683	0.0574163	0.0445158	0.0306697	0.0287129	0.0321432	0.0425084
a23	0.225541	0.18014	0.146031	0.103335	0.0842798	0.071063	0.0545204	0.0386816	0.0256979	0.0158258	0.0150602	0.0165788	0.0232454
a87	0.146562	0.108037	0.089616	0.0721155	0.0723133	0.0610116	0.0979238	0.0911792	0.0681132	0.0442019	0.0440531	0.0443297	0.060543
a23	0.111235	0.0921486	0.0849633	0.0690445	0.0753137	0.0751841	0.104869	0.0988775	0.0763921	0.0529005	0.0506232	0.0485461	0.0599023
a87	0.126638	0.110384	0.116742	0.0982417	0.0823217	0.056662	0.0759612	0.0720689	0.0532972	0.0428743	0.0437298	0.0489012	0.0721776
a10	0.100715	0.0879323	0.0830894	0.0650697	0.0632932	0.0626086	0.0860417	0.0866794	0.0768163	0.0652756	0.0666354	0.0676595	0.0881844
a87	0.0657211	0.0615257	0.065443	0.0528356	0.0481264	0.0469237	0.0775638	0.0965674	0.0899644	0.089679	0.0930593	0.0939656	0.118625
a23	0.098942	0.0821501	0.0759079	0.0587391	0.0603911	0.0690905	0.0914858	0.0924871	0.0745147	0.0656649	0.0708299	0.0716922	0.0881048
a79	0.0905835	0.0905663	0.104284	0.0877329	0.0700452	0.0574664	0.0806874	0.0809048	0.067298	0.0646334	0.0632586	0.0634722	0.0790677
a20	0.272089	0.224843	0.164696	0.109806	0.0675913	0.0480944	0.04035	0.0278279	0.0152091	0.00820135	0.00683131	0.00686226	0.00759804
a14	0.193714	0.166879	0.1514	0.115498	0.0887076	0.0765322	0.0744452	0.0558356	0.0325643	0.0153279	0.0108749	0.00903353	0.00918739
a35	0.162069	0.153919	0.156802	0.136255	0.109052	0.0891308	0.0682852	0.051444	0.0324772	0.0155467	0.0101674	0.00765458	0.0071971
a12	0.145852	0.141286	0.152099	0.140861	0.12285	0.097068	0.0708192	0.0515503	0.0328384	0.0169657	0.011228	0.0084951	0.00808692
a24	0.101431	0.10327	0.119157	0.11915	0.119088	0.109169	0.103977	0.0816374	0.0582195	0.0302056	0.0205821	0.0168887	0.0172247
a38	0.0682052	0.0654813	0.0845682	0.097606	0.130882	0.136982	0.132624	0.101974	0.0735568	0.0372685	0.025749	0.0215312	0.023571
a10	0.0613559	0.0583559	0.0686799	0.0778074	0.11647	0.14349	0.144661	0.115265	0.0863651	0.0451444	0.029565	0.0251867	0.0276539
a75	0.0465614	0.043688	0.048467	0.0562928	0.0997854	0.145264	0.168077	0.146014	0.105329	0.0528677	0.0339905	0.0268605	0.0268035
a73	0.0377792	0.0363097	0.0484306	0.0585577	0.080638	0.0929579	0.109134	0.098827	0.0990027	0.0935222	0.0823078	0.0792199	0.0833137
a94	0.0396326	0.0382766	0.0465677	0.0548181	0.0791868	0.0982997	0.110545	0.103427	0.110381	0.0999259	0.0794221	0.0713534	0.0681635
a38	0.0285485	0.0264743	0.031502	0.0383292	0.0593858	0.0772251	0.106888	0.107801	0.120812	0.120632	0.0997791	0.0929221	0.0897013
a75	0.0191516	0.0170706	0.0210569	0.0262521	0.0420764	0.0575821	0.0948017	0.108487	0.127469	0.131243	0.118154	0.119523	0.117133
a41	0.0248226	0.0246897	0.035475	0.043191	0.0487649	0.0496397	0.0691844	0.0878284	0.0983474	0.110286	0.111257	0.135473	0.161041
a35	0.0199053	0.0193628	0.0273617	0.031799	0.0410505	0.0456385	0.0773518	0.105078	0.12856	0.129133	0.117053	0.125044	0.132662
a76	0.0202366	0.0193785	0.0269508	0.0336554	0.0429777	0.0441221	0.0614277	0.0825282	0.118082	0.135383	0.126628	0.139333	0.149297
a94	0.0235026	0.0261017	0.0417811	0.0518799	0.0579419	0.0530194	0.0699103	0.0875238	0.0970628	0.104136	0.106031	0.129311	0.151798
a58	0.0106486	0.0102709	0.0143015	0.017049	0.0248269	0.0328261	0.0572327	0.0815274	0.121488	0.142253	0.143133	0.163602	0.18084
a38	0.00785821	0.00724257	0.00936498	0.0107136	0.0189956	0.031965	0.0609953	0.0813643	0.113891	0.128981	0.147229	0.17463	0.206769
a75	0.00692358	0.006097	0.0082126	0.0105011	0.0203399	0.0349459	0.0683211	0.0878944	0.117863	0.125478	0.137976	0.169014	0.206433
a41	0.0110918	0.0106337	0.0157292	0.0211781	0.0306755	0.0345124	0.0517663	0.0708584	0.100885	0.133517	0.140086	0.168616	0.210451
a35	0.00541806	0.00504554	0.00773425	0.00999401	0.0168292	0.0208934	0.0333521	0.0432699	0.0650399	0.108349	0.150907	0.221967	0.311201
a24	0.00650726	0.00560218	0.00754566	0.00951611	0.0159181	0.0219086	0.0360978	0.0428747	0.0620667	0.103196	0.158191	0.230865	0.299711
a61	0.00540746	0.00523842	0.00708988	0.00719087	0.00877615	0.0100086	0.0175579	0.0254493	0.0437712	0.0887508	0.157554	0.26204	0.361165
a24	0.00607043	0.00576703	0.00701465	0.006251	0.00658816	0.00757586	0.0138232	0.0213571	0.0404289	0.0770645	0.143554	0.263478	0.401027
a32	0.00602427	0.00580793	0.00703458	0.00611801	0.006266	0.00687152	0.0128903	0.0187189	0.0351522	0.0675293	0.13646	0.266585	0.424542
a0	0.0086526	0.00725594	0.00855585	0.00878971	0.0109516	0.012727	0.0220041	0.0260337	0.0373039	0.0638146	0.13194	0.258036	0.403935
a75	0.00589786	0.00460606	0.00510846	0.00553482	0.00839008	0.0088719	0.016334	0.0214064	0.0327345	0.0544052	0.123054	0.256319	0.457338
a98	0.00439782	0.00351003	0.00454336	0.0049237	0.00762462	0.00932128	0.0150014	0.0177384	0.0263206	0.0564758	0.118347	0.249952	0.481844
a14	0.00274143	0.00262045	0.00364318	0.00426913	0.00735699	0.00961087	0.0144137	0.0168884	0.0291971	0.0736173	0.151135	0.279846	0.40466
a41	0.00473908	0.00433378	0.00574661	0.00626844	0.00923796	0.0117757	0.0211139	0.021039	0.0352033	0.0720357	0.135459	0.246895	0.426152
a61	0.00206412	0.00196887	0.00268034	0.00326968	0.00519385	0.00732095	0.0144763	0.0158497	0.0269527	0.0642184	0.132134	0.264702	0.459169
a18	0.0025228	0.00244092	0.00318293	0.00330532	0.00403041	0.00361002	0.00654169	0.00794259	0.012235	0.0332377	0.0906553	0.25596	0.574336
a21	0.00220104	0.00231884	0.00320211	0.00319059	0.0039794	0.00329738	0.00615612	0.00848734	0.0142142	0.0329879	0.09162	0.259242	0.569103
a41	0.00285726	0.00226781	0.00263138	0.00259712	0.00307459	0.0031999	0.00538952	0.00688029	0.0112581	0.0326004	0.0904182	0.260443	0.576383
a18	0.00207317	0.00182148	0.00223249	0.00211443	0.0025677	0.0027878	0.00516505	0.00742912	0.0146186	0.0453735	0.121063	0.280192	0.512562
a25	0.00303585	0.00262862	0.00320033	0.00333767	0.00549419	0.0050427	0.00807848	0.0107704	0.0170633	0.0382889	0.108167	0.269549	0.525344
a87	0.00223563	0.00172164	0.00188753	0.00155152	0.00255662	0.00246679	0.00477856	0.00640652	0.0131079	0.0381865	0.112453	0.276122	0.536526
