 	il	brave	le	danger	</S>
a85	0.165142	0.167796	0.18367	0.165671	0.317721
a87	0.290521	0.218341	0.190139	0.119712	0.181287
a23	0.463793	0.192977	0.149597	0.0936233	0.10001
a40	0.390902	0.213802	0.162763	0.0787488	0.153784
a26	0.341044	0.257005	0.199932	0.095703	0.106316
a35	0.49064	0.266993	0.149467	0.0477113	0.045188
a66	0.469736	0.280585	0.167448	0.0518668	0.0303642
a38	0.36192	0.304951	0.214356	0.0757543	0.0430185
a35	0.341442	0.29894	0.22338	0.0888103	0.0474274
a26	0.304585	0.293942	0.230082	0.111513	0.0598779
a32	0.286826	0.276694	0.219607	0.127482	0.0893916
a75	0.187347	0.252972	0.227872	0.166067	0.165742
a35	0.139639	0.217516	0.230537	0.230736	0.181572
a26	0.0938201	0.177258	0.212019	0.260292	0.256611
a35	0.073275	0.144277	0.179265	0.240212	0.36297
a26	0.0529053	0.111018	0.15305	0.251886	0.431141
a32	0.0417064	0.0813938	0.118878	0.227701	0.530321
a75	0.0253556	0.059694	0.0906485	0.205801	0.618501
a14	0.0188427	0.0487042	0.0770258	0.187345	0.668082
a73	0.0158308	0.0371402	0.0609274	0.172695	0.713406
a2	0.0115478	0.027404	0.0494443	0.150568	0.761036
a57	0.0194516	0.0444318	0.0796756	0.233258	0.623183
a87	0.0429344	0.089333	0.121536	0.268599	0.477597
</S>	0.0366064	0.0788875	0.114478	0.244816	0.525213
