 	mon	enfant	qui	était	très	faible	est	devenu	fort	</S>
a87	0.192857	0.109965	0.0812118	0.0904688	0.129057	0.134222	0.10867	0.0666899	0.0468956	0.0399629
a23	0.262661	0.102339	0.0759061	0.0803556	0.101899	0.139442	0.111495	0.0613694	0.0317492	0.0327836
a38	0.231715	0.187057	0.187693	0.10225	0.070867	0.0612096	0.0496799	0.0408129	0.0334568	0.0352585
a53	0.423743	0.215219	0.103362	0.0447963	0.0298143	0.0264602	0.0250565	0.0319315	0.0449585	0.0546594
a54	0.45272	0.253253	0.115877	0.0478559	0.0331821	0.0275838	0.0176046	0.0140901	0.0161933	0.0216401
a37	0.266269	0.202053	0.14066	0.09755	0.0852058	0.0596651	0.0433971	0.0317757	0.0331499	0.040274
a92	0.162235	0.16986	0.174306	0.149571	0.124724	0.0678786	0.0430227	0.0307192	0.0332726	0.0444113
a37	0.159796	0.176401	0.164219	0.140308	0.113195	0.0687879	0.0482264	0.0353471	0.0385272	0.0551927
a96	0.097171	0.137974	0.176346	0.183417	0.149575	0.0798001	0.048982	0.0353817	0.0388971	0.0524564
a98	0.0839327	0.125163	0.177935	0.203318	0.168059	0.0883255	0.0500336	0.0318495	0.0318535	0.0395301
a41	0.0842213	0.119556	0.155621	0.176002	0.158345	0.105405	0.0642813	0.0438042	0.0403694	0.0523943
a6	0.0835265	0.113123	0.142694	0.169791	0.15236	0.10418	0.0627644	0.0477261	0.0515588	0.0722761
a37	0.0717735	0.0960865	0.121234	0.160891	0.143475	0.103619	0.0702979	0.0623365	0.071278	0.0990078
a98	0.0560932	0.0672022	0.0951792	0.177184	0.181408	0.127956	0.0835631	0.0624298	0.06428	0.0847045
a92	0.039831	0.052914	0.0644324	0.10201	0.119003	0.115319	0.0929481	0.105397	0.132711	0.175434
a25	0.0531476	0.0677184	0.0735664	0.106546	0.116653	0.0992823	0.079497	0.0856035	0.129975	0.188011
a90	0.0498034	0.0629033	0.0671509	0.0934617	0.116726	0.117415	0.100096	0.100163	0.12585	0.16643
a13	0.047269	0.0541904	0.057774	0.0827066	0.0989934	0.106484	0.113468	0.119252	0.135414	0.184448
a53	0.0249838	0.0239579	0.0247758	0.0361936	0.0432308	0.0501987	0.0859715	0.12461	0.204181	0.381897
a79	0.0267124	0.0319133	0.0370057	0.0548124	0.0642766	0.0750445	0.106242	0.128293	0.178475	0.297226
a66	0.0237926	0.0291416	0.0350112	0.0527306	0.0637474	0.0714566	0.101375	0.128455	0.182395	0.311895
a75	0.00187928	0.00196459	0.00266936	0.00613883	0.00944054	0.0146432	0.0366352	0.1194	0.274884	0.532345
a92	0.0149365	0.0185767	0.023912	0.031375	0.033627	0.0380369	0.059803	0.102962	0.221722	0.455048
a44	0.00888707	0.0113985	0.0143363	0.0212085	0.0230942	0.0268299	0.0473756	0.113141	0.239288	0.49444
a70	0.00610054	0.00796706	0.0108596	0.0180631	0.0202501	0.0247803	0.0460215	0.131798	0.267257	0.466903
a66	0.0016006	0.00177941	0.00227365	0.00454035	0.00597785	0.00889275	0.021335	0.0989189	0.292973	0.561708
a54	0.00133699	0.00106845	0.00109701	0.00252633	0.00445888	0.00966206	0.0325338	0.138404	0.295698	0.513214
a15	0.00206137	0.00202941	0.00236158	0.00489615	0.00660897	0.0114976	0.026476	0.111856	0.296023	0.53619
a44	0.00248347	0.00237757	0.00317369	0.00710297	0.0103841	0.0275112	0.0642727	0.149535	0.262862	0.470297
a26	0.00102191	0.00122563	0.00176658	0.00454669	0.00685462	0.0140453	0.0370697	0.129597	0.283318	0.520555
a57	0.00350211	0.0025424	0.00218634	0.00354563	0.00456336	0.0101964	0.0382409	0.126138	0.272294	0.536792
a87	0.0360752	0.0212328	0.0144577	0.0193085	0.0255398	0.0652594	0.12332	0.176378	0.198729	0.3197
a10	0.0709549	0.0485258	0.0323908	0.0384925	0.047023	0.0922887	0.147536	0.184849	0.158965	0.178974
a87	0.0706614	0.0517667	0.0399974	0.049171	0.0586836	0.0962421	0.125982	0.163898	0.16539	0.178208
a23	0.0591618	0.051125	0.0396096	0.051388	0.0627285	0.0983047	0.12658	0.165147	0.16502	0.180935
a87	0.0525346	0.0387698	0.0272843	0.0364072	0.044357	0.105531	0.140715	0.178044	0.165407	0.210949
</S>	0.0254027	0.0199409	0.0138648	0.02186	0.0313189	0.0932612	0.139107	0.219427	0.203895	0.231922
