 	ces	deux	maisons	sont	identiques	</S>
a66	0.536036	0.217772	0.0942292	0.0610178	0.0491283	0.0418166
a87	0.379459	0.244286	0.196345	0.103787	0.0518039	0.0243188
a23	0.444696	0.20692	0.205643	0.0794071	0.0394964	0.0238377
a40	0.406383	0.207478	0.21286	0.0882272	0.0484823	0.0365703
a6	0.5859	0.238774	0.0936216	0.0354686	0.0241189	0.0221164
a75	0.471906	0.321892	0.120652	0.0424082	0.0255337	0.0176089
a37	0.51792	0.336255	0.10351	0.0236153	0.0119034	0.00679716
a21	0.371431	0.32195	0.148897	0.0684248	0.0504397	0.0388576
a75	0.30732	0.301569	0.180506	0.0908317	0.0683936	0.0513785
a47	0.202597	0.251316	0.195134	0.141497	0.115097	0.0943586
a98	0.115038	0.137316	0.141448	0.165873	0.202194	0.238131
a47	0.0578658	0.108674	0.1721	0.220176	0.225918	0.215267
a6	0.00844462	0.0178035	0.0525014	0.170504	0.329395	0.421351
a36	0.0084302	0.017135	0.047173	0.155858	0.337827	0.433577
a37	0.000555038	0.0012972	0.00540834	0.0491347	0.240559	0.703046
a61	0.00126416	0.00260303	0.00781177	0.041168	0.166761	0.780392
a96	0.00311046	0.00765284	0.0234687	0.0809829	0.200198	0.684587
a88	0.00267935	0.00826408	0.0220699	0.0742118	0.211053	0.681722
a62	0.00312428	0.00806356	0.0211302	0.0716956	0.198968	0.697018
a12	0.00218885	0.00581199	0.0179069	0.0706467	0.208468	0.694977
a18	0.00184409	0.00468199	0.0138208	0.0620856	0.187122	0.730445
a25	0.00644114	0.0117507	0.0255334	0.0790311	0.199807	0.677437
a87	0.0413118	0.041439	0.0623749	0.118566	0.22464	0.511668
a23	0.187683	0.125861	0.171594	0.151166	0.150198	0.213498
a87	0.048183	0.0561698	0.0963453	0.125172	0.21259	0.46154
</S>	0.00541613	0.00694076	0.0261753	0.0681703	0.213463	0.679835
