 	ma	ceinture	est	en	cuir	</S>
a66	0.415607	0.268918	0.179622	0.098609	0.0295972	0.00764649
a87	0.528218	0.237705	0.134418	0.0634166	0.0244644	0.0117785
a23	0.569537	0.230181	0.0842288	0.0487669	0.0355652	0.0317214
a87	0.548336	0.183531	0.0740479	0.0486219	0.0746301	0.0708336
a23	0.577037	0.212746	0.0813323	0.0418677	0.0415893	0.0454276
a40	0.390239	0.148454	0.092646	0.088052	0.131507	0.149101
a15	0.406633	0.272178	0.164171	0.094434	0.040466	0.022117
a7	0.228338	0.296804	0.272641	0.154532	0.04044	0.00724478
a15	0.203551	0.306293	0.247791	0.144223	0.0841128	0.0140294
a79	0.104211	0.206881	0.317969	0.221857	0.124399	0.0246831
a85	0.091845	0.189319	0.343105	0.202875	0.131241	0.0416158
a5	0.0976325	0.191606	0.289277	0.191996	0.170537	0.0589506
a37	0.215878	0.214309	0.172654	0.129682	0.1614	0.106077
a96	0.0979905	0.129524	0.153126	0.163244	0.232453	0.223662
a12	0.0306521	0.0423797	0.0814302	0.162788	0.354785	0.327965
a96	0.0101682	0.0133379	0.0315613	0.0983114	0.343746	0.502876
a94	0.0033485	0.00398151	0.0106489	0.0441794	0.273198	0.664643
a90	0.00189244	0.00202431	0.00534238	0.0230334	0.166998	0.80071
a92	0.000500987	0.000689778	0.00225694	0.0130054	0.119256	0.864291
a75	0.00012136	0.000196294	0.000737413	0.00455087	0.0608139	0.93358
a5	5.36887e-05	0.000102657	0.00046744	0.00349233	0.0538386	0.942045
a12	0.000128296	0.000224982	0.000821504	0.00440634	0.0525332	0.941886
a75	0.000227433	0.000400785	0.0015452	0.00778034	0.0609914	0.929055
a6	0.000202848	0.000408046	0.00201308	0.0104503	0.0800032	0.906923
a36	0.000168052	0.000442973	0.00280396	0.0168133	0.105722	0.87405
a26	0.00157305	0.0065808	0.020567	0.0486677	0.133724	0.788887
a57	0.0762395	0.0893405	0.0937079	0.111993	0.195014	0.433706
a87	0.393552	0.181918	0.098839	0.0849355	0.0934168	0.147339
a23	0.466643	0.242284	0.0981948	0.0630336	0.0541822	0.0756618
a38	0.0978129	0.0554546	0.0302225	0.0425525	0.187353	0.586605
a37	0.0402316	0.0238501	0.0283533	0.0569435	0.257136	0.593486
</S>	0.0373882	0.0261059	0.0335303	0.0690872	0.270647	0.563241
